,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,382181,2229729,72571,135198,0,0,29784031152,31104176654,30566086308,120.59,12.62,161.5
1,6094020,18239047,754491,2703806,232,118784,50405849618,51211072907,50659949092,140.15,14.41,160.9
2,223350868,495782552,26700925,40751645,20848,10674176,100938175316,103041664468,100990806064,180.57,24.6,176.8
3,214152132,466002468,35882330,39348749,0,0,96487885378,97247741633,96741246716,180.73,24.83,196.3
4,175700356,393961461,24554366,30405962,0,0,86654190628,82750277829,87142016010,170.34,21.97,275.3
5,24592669,81522548,729098,1371998,0,0,98384353772,76564424142,98566293735,172.73,16.71,268.3
6,29098731,91059564,676185,1124668,608,311296,113985593903,88863011617,114073310761,172.79,16.77,255.7
7,33831636,101102064,1067115,1826325,0,0,117566163104,91783684284,117784201501,173.36,17.03,241.2
8,29984135,94123765,795894,1226638,552,282624,115952314639,90493722538,116070205064,173.03,16.82,246.3
9,29046397,91234640,793082,1179402,0,0,112496263940,87605059629,112585913292,173.05,16.8,246.4
10,28827704,90541773,799680,1145972,0,0,111236099692,86764339142,111345341945,173.06,16.71,246.5
11,28294395,88955500,694763,1121413,0,0,110837073783,86390881822,110947804670,173.02,16.76,246.6
12,29387268,92369718,738786,1228586,41768,21385216,113318227775,88315124525,113431436339,173.07,16.78,246.7
13,21280827,68167079,628674,936619,496,253952,83717842035,65276999443,83795475688,173.11,16.78,246.8
14,27160545,86761210,764881,1199399,0,0,106147041367,83738561495,106341645241,160.61,16.24,247.0
15,139167887,313499017,16854406,29497449,0,0,70010016389,74079447699,70445990537,160.43,21.75,247.2
16,268972364,527758504,22111446,35736297,0,0,98681945921,89718043525,98780973662,181.63,26.07,246.7
17,83748147,191376773,5858088,9627675,0,0,67998774567,59353859379,68366909758,164.21,18.15,234.3
18,43577221,121644226,727439,1557772,272,139264,130441486681,100852063745,130581182707,173.39,17.12,273.1
19,38773160,104995459,727383,1276917,0,0,111727009343,86463387627,111839794945,173.56,17.06,246.9
20,38728210,104762950,681500,1191315,0,0,111695071561,86502630998,111788036099,173.5,17.18,246.4
21,38707712,104580610,720129,1456461,0,0,110483750293,85373323858,110563346121,173.57,17.11,246.8
22,36223540,100922289,557647,1004613,0,0,110163442067,85543152650,110252772862,173.51,16.96,247.3
23,38034215,103494878,591872,1010260,272,139264,109626249961,85223414606,109711450793,173.51,17.06,247.7
24,36968438,102525875,634716,1101882,0,0,111944035770,87011899882,112030209990,173.66,16.96,248.0
25,37317745,100887646,504679,968628,496,253952,107459670809,83586086458,107598081007,173.74,17.07,258.5
26,30140576,82881515,495323,871588,0,0,88347677799,68692243240,88490364584,173.72,16.91,252.7
27,24955817,75888541,629890,1490762,0,0,69035944093,56058108918,69273935810,134.81,15.57,244.4
28,161353393,367735214,20595137,34010607,58928,30171136,78810738798,84473533294,79125917989,175.42,23.78,250.5
29,250492097,505793765,24170341,39134698,0,0,98086256402,92596360776,98231828054,182.31,25.91,218.4
30,290118838,560694512,22250522,35921131,2014,1031168,102049447900,88398398476,102161730434,182.39,26.78,252.2
31,323165608,622731860,22981169,40312774,0,0,112848433799,90544639813,113068425318,180.55,26.67,274.6
32,80210686,179024865,5194107,9690537,2016,1032192,63180980162,53563548998,63627118151,154.1,17.49,274.8
33,46104548,120488703,914252,1804094,0,0,111364737615,85542856642,111441177190,174.01,17.3,275.2
34,50081928,116515311,568860,965858,0,0,111121215065,85795372319,111190465180,173.99,17.4,234.5
35,48970422,114208287,626138,1100409,888,454656,110176818975,85092813347,110286592557,174.1,17.4,246.3
36,45853213,111701713,512409,857743,0,0,111308210101,86169384202,111407883960,174.07,17.38,252.9
37,48708255,115855068,636414,1184049,0,0,111997467078,86427185246,112068554048,174.05,17.43,260.6
38,50441809,119429137,594353,1071863,11368,5820416,113154222392,87396164401,113236122330,174.1,17.32,246.9
39,37203153,89147190,457512,801711,0,0,86253681744,66791242719,86314249120,174.16,17.35,252.4
40,54582014,126776342,787409,1491799,384,196608,117990750320,90813512490,118118556511,174.39,17.39,252.4
41,44031396,104626218,515896,959425,0,0,99735027397,78041525589,99935844106,154.61,16.55,252.6
42,110932252,287542749,13385074,25813861,0,0,65221747103,66476045019,65706554949,160.36,21.67,252.7
43,205908143,448521903,22664087,36804203,61464,31469568,86955037904,93081973922,87065500010,181.33,24.7,252.1
44,258744129,527231313,24788094,40676063,0,0,97431828926,94748461825,97534419483,182.5,25.91,227.4
45,286230829,561146511,23989536,39582380,664,339968,101898811213,92542314095,101990106828,182.57,26.52,273.5
46,308435393,597720897,24356168,39847997,0,0,103998889012,91531377884,104141125815,183.72,27.15,273.9
47,271396096,512789143,19186643,32800615,0,0,87666234238,73475505021,87745100174,183.51,27.59,274.4
48,375908878,703408107,24153730,40146544,0,0,117505464677,96942061679,117570484189,182.7,27.76,280.5
49,294966618,546613130,17972930,30616292,0,0,92614247088,73236482270,92732378085,182.51,27.78,280.5
50,286384510,538344283,17540091,30528045,272,139264,90655127633,74173971617,90748563197,144.3,20.52,280.5
51,38313609,114321821,2460353,5280872,0,0,75797762646,60194403884,76330904462,170.2,16.92,280.4
52,55858895,143241546,1104348,2888548,0,0,114505627193,86705046486,114616759807,174.13,17.34,251.9
53,50217010,117821875,506253,1004802,0,0,109746074364,84791538530,109851747645,174.29,17.7,231.9
54,59580367,128178598,498812,1000543,0,0,114117705880,87811348868,114205369427,174.29,17.47,256.2
55,63204683,133673817,534257,1021673,272,139264,114903404271,88593455668,115004395933,174.35,17.82,256.2
56,41879636,95111283,429653,788341,0,0,87922076207,67875547338,87987768218,174.27,17.45,248.3
57,63661986,131739448,510902,913537,0,0,111558979855,85908515655,111663715947,174.52,17.71,262.0
58,52599019,119994541,521537,975485,0,0,111726927683,86267103466,111806201030,174.4,17.6,256.3
59,57419930,116144007,493949,855807,61736,31608832,95375357948,74607391068,95462269490,144.78,16.45,255.8
60,2866194,9024070,415676,896733,944,483328,2834194332,3812234161,2914058246,69.03,13.08,255.5
61,208379,2349409,48753,192337,0,0,751705222,1113520263,805113073,62.39,12.92,255.1
62,135620,1986881,39503,185848,0,0,609536008,948689559,733623801,61.73,12.88,142.3
63,221237,2693453,43221,196105,0,0,817788546,1168821991,897715781,63.21,12.85,125.7
64,260844,2634184,40075,190907,0,0,2216956137,2643022959,2321812815,96.43,13.05,125.6
65,317858,2599059,53287,248843,608,311296,3264955189,3754606934,3316884271,106.94,12.94,125.7
66,174604,2469309,55507,203444,1344,688128,47179419722,48446106213,47627437733,134.82,13.26,145.8
67,65826891,161414124,8574217,16221664,0,0,62247206954,65002422563,62823872285,169.54,22.01,164.8
68,275578375,593169145,37740559,47627427,0,0,119589626819,118897322796,119766097525,181.61,24.61,196.6
69,214664360,468919968,34443858,39728672,0,0,97169837307,95186079079,97285506774,180.0,24.44,238.4
70,65045468,174625401,7567900,10611027,0,0,72344073142,64336909092,72812024560,162.22,16.94,275.7
71,29095153,91702545,672049,1249906,272,139264,112216312946,87430321455,112363523926,173.82,16.77,275.7
72,29137222,91783731,681843,1214837,0,0,113423843755,88432493173,113546980164,173.98,16.79,247.0
73,22283294,70970201,671538,1051803,0,0,86271302512,67146691024,86372464080,173.78,16.76,255.2
74,28396428,89297854,667996,1170594,60528,30990336,110878243407,86415138386,110977821675,173.95,16.73,255.2
75,29580807,92017417,814615,1277364,0,0,113043119456,88111195692,113155248068,173.93,16.77,246.6
76,29424311,92326773,857025,1334997,664,339968,113053895550,88005276220,113179945338,173.83,16.7,253.2
77,28267926,89562359,719745,1162861,0,0,110284762074,85894974139,110339992946,173.88,16.78,253.2
78,30176222,95397844,770436,1262361,0,0,116624805889,90928866634,116705479692,173.95,16.74,253.2
79,27126783,86147784,695888,1072527,0,0,107442405027,83759504091,107528744578,174.03,16.81,253.2
80,20816713,70647751,1092986,1554453,0,0,67513215201,55899282061,67680945022,151.97,18.59,253.2
81,193651270,415596442,22213955,36756419,272,139264,85815291220,88919121850,86139841955,182.46,25.58,253.2
82,283197454,558890853,23054637,38642109,0,0,107179895850,92825098886,107119291338,166.7,22.2,227.7
83,38959911,110605334,1739253,3617453,0,0,90494742438,71646021629,91056827169,174.15,17.03,277.7
84,37572923,102348652,702889,1157642,0,0,112606793232,87323486310,112688317643,174.05,17.11,277.7
85,39202360,104353759,663063,1266546,0,0,109782135451,84942621803,109867459324,174.02,17.02,242.0
86,37556266,101176015,609413,1014090,272,139264,109149616261,84772792718,109240832669,173.99,17.04,256.0
87,37746038,102462847,573723,1057160,0,0,110089846010,85594011889,110208659326,174.0,16.93,256.0
88,39429320,103938121,619425,1020340,0,0,110376306945,85772273051,110502436147,174.1,17.03,255.9
89,36641681,99105431,525480,884323,57224,29298688,109775873627,85301739266,109848580630,174.13,17.01,255.9
