,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,378549,2660503,45630,154475,0,0,699505404,911589959,742738115,64.99,12.23,136.7
1,598939,8534821,91168,597815,1616,827392,2451217018,3776560789,2651990140,91.36,13.64,117.0
2,448242,4370067,254692,712874,78592,40239104,3460035048,4051211544,3571874073,82.27,13.34,116.6
3,2204905,10051024,632330,1954996,303760,155525120,3440692898,6345930903,3569466187,101.99,13.98,117.0
4,898798,4550832,328507,624220,32256,16515072,2725267573,5378368207,2867735417,102.23,13.93,149.1
5,1074906,5417694,331420,1785689,840,430080,3366259934,6582243145,3421701779,101.57,14.0,142.5
6,4453048,16544112,436584,1419290,1560,798720,8497326091,6824567394,9366937316,106.66,14.53,162.0
7,38216231,125612788,2605093,4069007,3584,1835008,100660320644,5339120683,100774636834,153.92,17.39,162.0
8,40016532,132861910,2896614,4781486,0,0,119726633617,10066553257,119277440332,152.95,17.02,161.9
9,18029019,69391802,1381935,2510840,5768,2953216,48144457323,6704913896,48639127865,134.81,16.05,162.2
10,46886151,179599439,3351832,5493666,3600,1843200,128897731285,14244341301,128558897586,151.88,17.01,225.0
11,23554608,91496824,1929049,3809515,6976,3571712,79891429006,14613967999,80473399894,140.83,15.82,224.9
12,44169338,172095173,3048788,5874656,0,0,106104328723,8050932900,106027057287,153.33,17.49,201.9
13,35969965,141340790,2723937,5807657,0,0,90986766569,10211988822,91315721784,141.79,16.54,223.3
14,33418250,131310602,2282877,4508196,0,0,88132779594,9042502297,87625799736,151.75,16.93,207.6
15,30912321,123380724,2396935,4721994,1536,786432,86076746338,11834579412,86761261012,144.79,16.86,224.7
16,37002607,144694852,2739546,5632267,8200,4198400,87836220580,8445755217,87960060957,143.58,16.72,211.7
17,50924701,197434932,3465776,6415788,0,0,118874706538,7813108369,118705288247,154.1,17.61,222.7
18,23737943,95537956,1926831,4107045,0,0,60092225028,8082726845,60594281167,143.98,16.7,213.4
19,45691630,176737517,3082359,5782454,0,0,107424887471,6742485278,107087287951,153.2,17.29,213.4
20,31552454,122521682,2436698,4762298,840,430080,92927315821,14332322927,93411238700,143.25,16.35,226.0
21,40624446,163488696,2840190,6040766,48,24576,111611318858,13563687683,111389760395,152.91,16.93,213.9
22,24091282,92270043,1793393,3248138,6,3072,60043130053,8393220895,60541541127,142.81,16.58,226.0
23,43674961,173377904,3027560,6447374,0,0,115059232912,10954750362,114823388119,151.07,16.68,212.9
24,31262020,123476401,2285027,4594040,0,0,85445508289,11302584748,85921903869,144.8,16.95,224.4
25,37041922,146868708,2877199,5594179,0,0,90134566934,8465380752,90305062731,143.2,16.77,214.0
26,50057690,192618256,3371757,6036630,776,397312,115680858139,7150586518,115159677373,154.02,17.61,225.0
27,26836614,108007791,2094162,4261202,0,0,76198809662,11835219723,76848275197,143.9,16.44,213.6
28,46361831,178599880,3185521,6167971,2464,1261568,109925236882,7478343808,109648711294,153.43,17.32,213.6
