,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,15208747,44897918,9905317,22723473,0,0,98637887781,23780982655,99394265171,151.17,16.08,120.9
1,12531514,36926543,8106393,18614203,1632,835584,81300302320,19777156796,81855586346,152.25,16.04,137.4
2,13925823,42111611,9162348,21207573,22688,11616256,91030060657,22087656366,91670236624,152.22,16.06,170.3
3,17370615,51859072,11417997,26352860,0,0,112656075372,27473486826,113486300929,152.29,16.05,218.7
4,13892248,41871805,9244650,21325164,0,0,91414375928,22066561349,92077471802,152.47,16.0,219.0
5,14363927,42941128,9616361,22276581,0,0,95132804987,22985151992,95815476814,152.45,15.97,219.2
6,14457827,44208867,9592058,22349316,0,0,94791902195,22892602557,95539884961,152.44,16.02,219.5
7,18056802,54382847,12030629,27839199,328,167936,118405174197,28567945217,119259815472,152.07,16.0,219.8
8,13677149,41526470,8928161,20610093,0,0,88320770424,21372120810,88995050691,152.32,16.07,220.0
9,14008501,42444490,9362476,21525234,2296,1175552,93347928771,22482084502,94000694185,152.61,16.02,220.2
10,12909657,37548050,8626610,19681759,0,0,86124563386,20668944750,86755185882,152.63,16.03,220.5
11,17066464,50061806,11361536,26026842,0,0,113543027689,27374061177,114384041875,152.4,15.99,220.7
12,13740181,41045411,9168778,21041094,63104,32309248,90609477380,21879114911,91281749469,152.52,16.03,220.9
13,13924959,42310414,9173065,21159607,552,282624,90767935678,22044849796,91450350285,152.75,16.02,221.1
14,17165702,50634159,11422774,26297373,0,0,112916007251,27291466760,113722833475,152.39,16.04,221.3
15,14705334,44325662,9841966,22645623,0,0,98013708408,23585161763,98756376779,152.71,16.02,221.5
16,15296340,44629221,10166644,23153381,0,0,101880243657,24434764887,102623819481,152.68,16.01,221.7
17,13592479,40766562,9032742,20631027,30072,15396864,89805083674,21615332318,90467977874,152.96,16.04,221.8
18,16014501,47398139,10612193,24247430,440,225280,106336691313,25842276721,107107453676,152.86,16.04,222.0
19,12476142,35966953,8357885,19047371,0,0,83985361699,20297639335,84551610046,152.96,16.01,222.2
20,15683210,46320567,10458931,23773230,0,0,104581565747,25301275474,105351198958,153.04,16.03,222.3
21,13610340,41271583,9041990,20884145,0,0,89587279362,21695239585,90237142953,153.06,15.98,222.5
22,17536667,52597794,11723018,26914698,0,0,115797819431,27934110257,116620837110,152.94,16.03,222.7
23,14709674,44958661,9771298,22566062,328,167936,96907049044,23388984357,97642218970,153.03,16.01,222.8
24,14534666,44109433,9729852,22378049,0,0,96977816044,23254036412,97661661705,153.07,16.0,223.0
25,13340181,39463981,8909768,20478487,0,0,89018799407,21418694228,89679509094,153.18,16.03,223.2
26,16336599,47756207,10943272,24954039,0,0,109306655936,26179409923,110057261656,152.93,16.02,223.3
27,13555924,41012986,9097646,20861348,0,0,90705433556,21873495691,91394702636,152.88,15.97,223.4
28,13539173,41263594,8965136,20592764,328,167936,89589985705,21597551382,90271273728,152.99,15.99,223.6
29,14980964,44379785,9959771,22710747,0,0,99619575294,24107859076,100351842504,152.93,16.0,223.7
30,15302695,45586858,10254328,23470427,0,0,102355659884,24702932670,103100729982,153.08,16.01,223.9
31,16073008,47662559,10761062,24532424,0,0,107446390864,25864149595,108253843058,153.08,15.99,224.0
32,13652537,39894472,9142746,20961846,63528,32526336,91232921778,21826923294,91885106187,153.18,16.02,224.1
33,14449743,43907833,9635558,22222172,552,282624,95542706841,22980888947,96252816975,153.06,16.03,224.2
34,16768955,49593027,11134706,25485109,0,0,111058684940,26740746743,111889888965,153.08,16.04,224.3
35,11692916,34635596,7760607,17737897,0,0,77659293240,18806970868,78213312100,153.24,16.04,224.5
36,16581484,49352335,11126656,25400818,0,0,111160491087,26635607898,111987672832,152.92,15.99,224.6
37,13502239,41232660,9050603,20888340,56112,28729344,90342062442,21754659187,90979678373,153.19,16.02,224.7
38,13223657,39684282,8761071,20112891,440,225280,87203567624,21024559563,87850383914,153.01,16.02,224.8
39,17224677,51264074,11483429,26382041,0,0,112537270895,27307183379,113282719564,153.16,16.07,224.9
40,15713560,46100621,10552623,24030986,0,0,105489791913,25366465350,106298323729,152.96,16.03,225.0
41,15314935,45436309,10215556,23262460,0,0,101277263067,24476579797,102000278701,153.09,16.0,225.0
42,12643045,37866270,8336254,19073507,0,0,83748157468,20038507201,84285592812,153.16,15.99,225.1
43,16702752,49762835,11017438,25157068,664,339968,110225435829,26560606084,111015731180,153.11,16.0,225.2
44,15583069,45734410,10282069,23344092,0,0,103276420526,24903575218,103991889017,153.13,16.0,225.3
45,13200056,39712777,8787036,20166529,0,0,86999215110,21046192788,87613423612,153.24,16.0,225.4
46,12724177,36564133,8520356,19516291,0,0,85561383044,20524985472,86102381327,153.12,16.01,225.5
47,17263147,51601762,11502006,26393319,0,0,115845471599,27805821207,116646136427,153.05,15.98,225.5
48,13498046,40689994,8815792,20256344,328,167936,87289203958,21087597752,87905161700,152.99,16.0,225.6
49,13862158,42461700,9228766,21349027,0,0,91397323171,22037000029,92050066314,153.15,15.96,225.7
50,18140167,54398020,12107876,27971083,0,0,121797358383,29252357860,122658844159,153.23,15.95,225.8
51,13036872,39460490,8701141,20038481,0,0,87678909997,21097666337,88290902554,153.2,15.97,225.8
52,13338009,39695173,8850124,20300774,0,0,88561694015,21250090635,89174102561,153.1,15.94,225.9
53,16472631,48157845,10848212,24796524,63344,32432128,108339057980,26025388554,109103239692,153.25,15.99,225.9
54,16527026,49275270,11002620,25074041,0,0,109588758477,26533762269,110353970734,153.2,16.0,225.9
55,13059994,39015307,8593146,19827014,0,0,78499509358,19386345882,79003722855,150.62,15.99,226.0
56,12841538,45204870,8018614,25466284,0,0,50072643371,14217964214,50610497657,141.47,15.99,226.0
57,12912909,38446691,7961023,20990893,0,0,34515233080,10740063028,34880352377,116.3,14.74,226.1
58,394146,2891465,77997,214740,54824,28069888,674879055,1036733744,816211534,63.57,12.61,226.1
59,249448,2558253,41128,245472,0,0,708734554,1066380839,813763693,62.8,12.47,218.7
60,314648,2849856,41528,220454,3160,1617920,645399542,922794798,733389315,64.49,12.53,211.8
61,1315057,6580797,734386,3615234,0,0,8341891067,2875442115,8812142598,82.28,13.26,150.0
62,15086604,44026724,10044513,23230821,0,0,99678415125,23875171542,100367218775,152.78,15.95,121.6
63,14844109,41707344,9967946,22675258,0,0,99191042858,23575829468,99862317062,153.04,15.93,121.7
64,13994653,40346256,9330491,21243835,0,0,93118857065,22222180583,93797835433,152.85,15.91,122.0
65,14396214,41432608,9632601,22063431,888,454656,95925088492,22846523584,96614156139,152.97,15.94,184.3
66,14790233,42598049,9935889,22654644,0,0,98286124913,23403342626,99012692262,152.82,15.9,225.7
67,15587437,45483168,10566883,24136964,0,0,105017417164,25002512122,105768434072,152.93,15.91,225.7
68,15278769,44999391,10272622,23346113,0,0,101729200012,24335394224,102532791686,153.0,15.95,225.7
69,13455484,39064639,9049698,20338142,0,0,90171394109,21537061839,90890620094,152.95,15.9,225.7
70,13595528,37728615,9224220,20732650,328,167936,92347264803,21895578127,92928577911,153.04,16.05,225.7
71,14337301,41533131,9589660,21793441,0,0,95707340016,22886459710,96365857908,152.89,16.04,225.7
72,15012756,43906522,10069947,23080129,0,0,99453165387,23772368947,100108786201,152.82,16.01,225.7
73,16993625,48967155,11367845,25712916,0,0,113449056260,27104107589,114229123531,153.17,16.05,225.7
74,14162262,41320899,9524100,21533855,0,0,94987627756,22732913613,95625385493,152.95,16.02,225.7
75,14391941,41843276,9707310,21998030,328,167936,96667640197,23056953668,97396793605,153.06,16.07,225.7
76,16465133,48157387,11120765,25548539,0,0,110010361382,26231765779,110756432823,152.91,16.0,225.8
77,11451919,32161528,7772847,17606752,0,0,78248946675,18535512472,78819525934,153.1,16.02,225.8
78,14479752,42402905,9661526,21937451,0,0,95940908417,22967371575,96715872253,153.05,16.05,225.8
79,18212023,52446311,12312548,27890086,1288,659456,122579090733,29172737920,123465069106,153.03,16.04,225.8
80,13829638,40154086,9317636,21245375,328,167936,93171738251,22184460460,93841496867,153.06,16.03,225.8
81,13812326,40222211,9305394,21176460,0,0,92940914357,22139570494,93643225369,153.12,16.04,225.9
82,13398834,39011294,9013525,20468217,0,0,89634997349,21418162725,90322390854,152.87,16.05,225.9
83,14363167,40593425,9719885,22018547,952,487424,97078067010,23103514290,97724380649,153.15,16.02,225.9
84,14942316,43664407,10061059,22891116,0,0,100291908681,23899553673,100993811750,153.17,16.02,225.9
85,16612680,47954500,11251345,25371935,720,368640,112618009604,26783247904,113447312094,153.01,16.02,225.9
86,13794657,39832883,9297400,21032918,0,0,92881008010,22240023754,93504890877,153.18,16.03,225.9
87,14698905,42950940,9904888,22537906,0,0,98630018965,23537474859,99318421004,152.99,16.04,225.9
88,13797605,40335684,9247112,20838744,0,0,91758606174,22031120246,92399165204,153.29,16.05,225.9
89,14376942,41172850,9733904,22074334,111776,57229312,97509674178,23203498955,98168501775,153.16,16.0,226.0
90,17300799,49410089,11678439,26291209,608,311296,116826733806,27930397675,117620821519,153.18,16.01,226.0
91,14597642,41145062,9895660,22442737,0,0,99338110261,23578948999,100020889407,153.24,16.02,225.9
92,13622384,39602723,9187116,20774772,0,0,91795983326,21920595840,92468669357,153.2,16.02,226.0
93,13893892,40728721,9299783,21056607,0,0,92638841122,22168183940,93349266254,153.05,15.97,226.0
94,16113513,47513496,10964261,25022675,56,28672,108767819632,25942499360,109577084130,153.14,15.91,226.0
95,12603970,37128784,8504781,19389938,496,253952,84419948497,20161009468,85007146172,153.31,15.94,226.0
96,15096009,42680029,10210572,23086706,0,0,102140230032,24260437467,102819088340,153.28,15.92,226.0
97,17121662,48906571,11579989,26068998,0,0,115910904624,27628493625,116714447198,153.15,15.98,226.0
98,14060364,40373007,9346652,21186500,0,0,93132268686,22387741227,93806006922,153.23,15.93,226.0
99,13806292,39610220,9254142,20911292,0,0,92694130769,22147651339,93330993569,153.1,15.91,226.1
100,15133956,43917690,10213251,23175370,328,167936,102159838698,24338763670,102976538164,153.28,15.95,226.2
101,13617874,38951713,9178350,20733322,0,0,91621082155,21824302748,92266285694,152.91,15.88,226.3
102,14824437,43163013,9988400,22848084,552,282624,98718913022,23463630121,99466223844,153.23,15.95,226.4
103,15121733,43397124,10083673,22961575,0,0,100376824120,24044483951,101015183327,153.25,15.96,226.4
104,14658892,41846021,9884551,22565214,0,0,98438423125,23418217093,99130643082,153.13,15.95,226.5
105,14389102,41779079,9704507,22164159,0,0,95917212815,22921033855,96553863825,153.18,15.9,226.5
106,14563306,42517828,9879525,22512394,0,0,98599041237,23474777277,99273327336,153.18,15.92,226.5
107,14677055,42562012,9882151,22411702,328,167936,98823579054,23568017258,99543054364,153.48,15.96,226.5
108,14207872,41193666,9459744,21504496,0,0,94391094820,22517451517,95032645328,153.27,15.96,226.5
109,17486285,50289958,11793890,26802719,0,0,118185327149,28193943929,119019277942,153.34,15.96,226.5
110,11729313,32750695,7982340,18112386,0,0,79743075510,18898822813,80268970605,153.43,15.97,226.6
111,15517083,45252434,10506497,24053555,560,286720,103849817632,24855124188,104579515376,152.86,15.94,226.6
112,13665528,39073880,9164071,20748945,328,167936,91587635458,21825957230,92282752489,153.3,15.95,226.6
113,15683627,45498130,10416822,23725939,0,0,103913721702,24772683313,104687880113,153.23,15.9,226.7
114,16108922,46943472,10835404,24737817,392,200704,108041782985,25720803863,108744025587,153.38,15.94,226.7
115,14849252,42811644,10016195,22860584,0,0,99842525481,23866961305,100582023095,153.32,15.91,226.7
116,13528409,37285650,9170140,20659125,0,0,92093407947,21894181354,92692284093,153.22,15.97,226.7
117,13853529,39940095,9316447,21113527,496,253952,92295419305,22020979106,92969024425,152.91,15.91,226.7
118,14374624,42252828,9378478,22366596,0,0,74687233596,19174952944,75240217790,145.19,15.96,226.7
119,16151642,47051651,10381249,26673255,116648,59723776,51805434153,15010111668,52524749059,129.62,15.5,226.7
120,2962730,8878284,1732495,3685197,0,0,5991538573,2558185656,6175529617,65.06,12.87,226.8
121,232245,2391751,25995,223357,0,0,665550545,1071656638,777761205,62.75,12.94,226.6
122,251041,2686726,24132,214039,3384,1732608,818413025,1224088452,888427442,64.79,13.13,215.4
123,452100,3022449,59290,281207,0,0,882131959,1185170772,943820049,67.22,13.33,187.1
124,8827819,28307248,5448236,13266343,0,0,58835701489,14376135136,59561965167,151.23,16.2,123.5
125,17553559,50244305,11174058,25572586,0,0,116521487443,27722246726,117291247505,153.1,16.22,123.4
126,14006759,38893152,8978667,20470275,0,0,93402550167,22185231375,93978127162,153.0,16.22,123.7
127,15344630,44126266,9794160,22575898,0,0,100948045030,24081137851,101626886463,152.98,16.21,144.5
128,15896424,46069566,10012381,23074070,832,425984,102022384825,24498971036,102734097830,152.92,16.21,226.8
129,12576632,37053414,7996324,18459508,0,0,83306212951,19776116926,83859974213,153.17,16.17,226.8
130,15178607,43803338,9659808,22217901,0,0,100212553681,23887917759,100933908484,153.17,16.2,226.8
131,16805213,49190565,10781390,24904588,0,0,111895650117,26639552220,112652417619,153.13,16.21,226.8
132,14635818,40601496,9378536,21346926,0,0,97738890609,23100052066,98374207904,153.36,16.23,226.8
133,12344652,35959352,7667266,17683428,328,167936,79756678705,19052223614,80308410633,153.07,16.2,226.8
134,15679950,45666805,10049224,23083228,0,0,103950051220,24661938488,104665440154,153.02,16.2,226.8
135,15249280,44073175,9731594,22273663,0,0,100913019854,24048450127,101593030919,153.03,16.16,226.8
136,15368516,44472331,9837453,22560003,0,0,101242246010,24034473920,101918241556,153.19,16.2,226.9
137,13948192,39690275,8855532,20170674,0,0,92030960897,21857544632,92661743089,153.43,16.24,226.9
138,17985056,51688062,11416916,26030364,328,167936,118537122884,28390427809,119295976429,153.23,16.29,226.9
139,13745964,38078660,8827468,20073312,0,0,92207575830,21857570646,92870093318,153.25,16.31,226.9
140,16245507,46783821,10343203,23721627,0,0,107353471712,25522404715,108084833022,153.29,16.28,226.9
141,14519079,41587526,9321317,21270449,0,0,96867919743,23004031115,97528264651,153.22,16.3,226.9
142,15368321,44534295,9865008,22645673,0,0,102693246836,24398955095,103380609508,153.21,16.34,227.0
143,14558016,42157741,9168755,21031990,1840,942080,94293350325,22497566622,94968312264,153.24,16.33,227.0
144,15155717,43454456,9600369,22010492,0,0,99409845385,23627061330,100123047323,153.22,16.32,227.0
145,15032077,43404754,9615893,22045256,616,315392,99635040379,23655013905,100249139554,153.12,16.31,227.0
146,12739839,35929325,8211501,18927535,0,0,84528545923,20018054850,85083101313,153.22,16.31,227.0
147,16656849,48562058,10695136,24611019,0,0,110293295999,26226481925,111059008787,153.17,16.29,227.0
148,12823243,37812016,8058578,18636058,552,282624,82739385803,19917343281,83336570244,153.27,16.35,227.1
149,16041261,46603856,10241376,23517285,0,0,106250110112,25181548872,106946276623,153.19,16.3,227.1
150,16370029,47081708,10300089,23620393,116888,59846656,106111392115,25426174546,106951791868,153.26,16.34,227.1
151,12049272,33523440,7701419,17597589,0,0,80371016608,18965715804,80806388783,153.17,16.32,227.0
152,18528548,52623943,11782725,26769140,0,0,121585318724,28834464940,122434735058,153.38,16.33,227.1
153,15058465,43317627,9528848,21731080,832,425984,98975741016,23569507545,99663769168,153.2,16.33,227.1
154,14214994,40513680,9017991,20506527,0,0,93320760481,22358771720,93928442570,153.3,16.33,227.1
155,14993044,42956677,9568942,21923619,56,28672,99435607091,23620584162,100079868161,153.18,16.33,227.1
156,16213336,47004097,10382390,23808348,0,0,108084328474,25619965261,108806434810,153.33,16.36,227.1
157,14074549,40030009,8947204,20320523,0,0,93166417022,22129782062,93831805620,153.25,16.35,227.1
158,14552825,40919098,9193428,20942991,496,253952,95507686082,22824427490,96130958114,153.34,16.32,227.2
159,14764995,41578450,9459864,21584084,0,0,97782613685,23289995868,98394814533,153.24,16.32,227.1
160,14777886,42503620,9452955,21553057,0,0,98650220979,23348012689,99301242203,153.29,16.32,227.2
161,14972712,43440199,9588543,21876248,0,0,99801990572,23624620451,100485430299,153.14,16.32,227.2
162,14285392,40990987,9107833,20740692,0,0,94266611508,22455048293,94917565236,153.26,16.31,227.2
163,15918878,46227152,10089960,23097994,1048,536576,104437545348,24918591142,105145040179,153.24,16.3,227.2
164,14008418,40288353,8917712,20300424,0,0,92486165133,22076769930,93095819277,153.16,16.32,227.2
