,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,933288,3733626,825152,1030022,0,0,2315950186,2308700640,2848898364,101.6,15.23,151.9
1,992816,3688337,1036203,1308331,11760,6021120,3497643646,3247428054,3614765202,101.02,15.23,168.1
2,780210,3179035,834435,1084691,1224,626688,2848827048,2606684433,2905549927,101.11,15.22,167.5
3,1233828,7129853,1021537,1369826,0,0,3498754655,3208751748,3646961836,101.45,15.27,167.1
4,12122906,88758689,38762,116090,0,0,2720264048,1955561524,2757341099,106.92,19.89,166.6
5,14986599,110636331,62048,162770,0,0,3266039997,2208337083,3350219482,106.22,19.89,166.4
6,11905864,88568138,58788,145941,24824,12709888,2592992147,1750828151,2664232879,106.85,19.9,175.3
7,14909362,110790853,70700,164550,608,311296,3254873729,2250894016,3347197084,106.56,19.9,175.2
8,12046584,88751761,69917,141361,0,0,2754767583,1879436079,2786911768,106.84,19.92,175.2
9,15161769,111419169,103519,211301,0,0,3414944606,2334751406,3501415234,106.96,20.0,175.2
10,11986344,88630353,59012,167867,0,0,2676593410,1753278562,2716040967,106.57,19.92,175.2
11,15015089,110972423,73579,183515,22904,11726848,3328319561,2201413863,3395668700,106.84,19.88,175.3
12,12022098,88903774,84233,153458,440,225280,2633624451,1775649227,2734154251,106.54,19.93,175.2
13,14985619,109343671,111968,212617,0,0,3254077909,2114099757,3307888379,106.74,19.93,175.3
14,15085610,110700422,90353,255248,0,0,3363329392,2201954770,3420379168,106.72,19.91,175.3
15,11718626,86671014,27465,85007,0,0,2427361303,1546221717,2513368100,106.73,19.92,175.3
16,13368108,103308923,73139,143479,20832,10665984,3254409133,2010098474,3332844873,106.28,19.34,175.3
17,6470921,18713299,467582,591913,440,225280,2560162383,2291510700,2613471397,101.36,15.8,175.3
18,8158712,18489338,579800,798906,0,0,3195070627,2953952350,3278822321,101.89,15.65,175.2
19,7051623,16538063,452178,629081,2632,1347584,2645232681,2429551276,2706297932,102.0,15.7,164.0
20,8535259,19189949,606235,762571,0,0,3356866997,3140362957,3431887063,102.06,15.53,164.1
21,6857315,13637001,485087,672533,24736,12664832,2735763676,2693277786,2765596935,101.92,15.37,164.2
