,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,182184,1221806,14732,70755,0,0,464092419,714090735,538076955,64.33,12.06,136.5
1,781583,9670873,134947,685396,2648,1355776,2888013039,4703899273,3152098849,94.11,13.97,123.9
2,10463975,79698412,6271480,21700990,37296,19095552,49492898488,23974318388,49727822846,143.47,15.63,123.4
3,24959755,132863023,18242393,40608467,1392,712704,68259257391,34652803277,68491986901,169.25,17.32,160.7
4,31091496,170249088,23388808,48140719,20552,10522624,72699250136,38560947695,72792048880,173.49,18.05,226.0
5,32546355,198011455,24538187,55595528,0,0,88717382274,47032979118,88771431394,172.25,17.35,245.9
6,22743559,135559621,18697951,43405040,6,3072,73510231889,38616312529,73621669265,171.93,17.23,258.4
7,25157746,149453990,19153196,43623396,0,0,73832435019,38799710621,73925683018,172.06,17.42,241.2
8,28851981,153110721,21712819,44665749,440,225280,72008835409,38112073480,72104645892,172.33,17.74,247.7
9,31162560,155577194,23512291,44911464,0,0,72153165065,37926338071,72253610643,172.72,17.97,247.7
10,28530961,142449964,21529818,41430274,0,0,72406019334,38144757764,72443814900,172.19,17.73,257.0
11,29162820,147485087,21528691,42340621,0,0,74197568349,38693194358,74283298438,172.68,17.68,251.6
12,28328780,141656223,21162750,41405455,0,0,72865619806,38196297962,72928336906,172.59,17.63,243.9
13,24453689,134832257,19069017,41074873,0,0,72107046895,37985803727,72172294729,172.44,17.3,256.8
14,29237878,169619620,21806593,50132836,216,110592,90242440130,47460602526,90365433336,172.45,17.27,251.6
15,29867308,157003552,21361139,42954498,0,0,73019899451,38183858169,73120350196,172.9,17.7,251.5
16,30099225,158944727,22138958,44274315,0,0,71921134472,38004544118,71959345130,173.71,17.84,243.6
17,33226448,175604932,24381079,48876631,0,0,71865857606,38378146398,71928743370,174.68,18.15,259.8
18,33318910,179195635,24541673,49086460,0,0,71338782283,38180088181,71417308068,174.89,18.15,253.5
