,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,627343,4684512,78612,333846,0,0,2217241227,4169085739,2363542532,71.04,12.8,143.9
1,318880,2027560,48571,209635,31456,16105472,2231580336,4887196480,2353349540,73.07,12.5,129.9
2,611976,4503443,79178,321947,35248,18046976,2820782976,5902244519,3005444746,69.37,12.43,129.6
3,462034,4341437,102481,321017,32784,16785408,2797404395,6001991677,3062559962,68.34,12.45,130.0
4,572789,5355049,126444,518018,34280,17551360,2643667957,5266996979,2847332592,76.43,12.88,129.8
5,398046,3905597,83611,292396,30832,15785984,2092282549,4278077094,2272621011,69.12,12.47,129.8
6,358241,4076921,81647,373826,31344,16048128,3079415003,6625629914,3238806057,69.38,12.44,130.3
7,447304,4022101,93814,370680,30160,15441920,2478249897,5039599032,2608157441,70.17,12.69,130.1
8,396243,3683659,73508,372196,29512,15110144,2519936441,5272591168,2695959789,69.79,12.64,129.6
9,331184,3998267,77414,451580,30984,15863808,2712472698,5819964838,2891594822,69.1,12.46,129.4
10,338537,3575977,84950,401738,33088,16941056,2450452427,5154922056,2590908684,70.49,12.67,129.0
11,162105,1489629,42281,291195,29496,15101952,1746906862,3816544040,1874240376,67.63,12.24,128.7
12,619544,5154160,94114,486448,30672,15704064,2815188736,5625774543,2977905578,68.62,12.35,128.7
13,394923,3331802,64694,393215,32088,16429056,2215855672,4545138776,2370816152,69.23,12.58,128.7
14,365719,3249314,66758,409053,30944,15843328,2330957237,4783831336,2429247172,69.76,12.52,128.7
15,306178,3391982,55956,396636,33008,16900096,2409721594,5061830790,2518413347,68.07,12.37,128.5
16,260848,3446923,55813,479237,31328,16039936,2392844178,4877236506,2512813663,69.45,12.33,128.4
17,421412,3870891,57102,385515,32424,16601088,2177890177,4345940513,2307663068,69.05,12.44,128.2
18,328660,3790959,57458,402925,32952,16871424,2390035750,5035241569,2562042285,67.91,12.32,128.1
19,1057540,4553553,119625,534157,28456,14569472,2832515162,5638295215,2996665914,68.49,12.57,127.7
20,282584,2733818,48304,352858,30368,15548416,2272544877,4755835556,2388967712,68.14,12.37,127.5
21,368545,4282075,80970,429120,32632,16707584,2842535813,5941882704,2958430315,67.51,12.39,127.4
22,223289,2409866,52169,256772,30056,15388672,1787374391,3833486808,1896396418,71.63,12.52,127.2
23,327710,3461643,79970,369027,28424,14553088,2478886270,5312807231,2592752842,70.77,12.5,126.9
24,317177,4069317,81292,404125,30152,15437824,2933571108,6206951111,3081883858,69.33,12.46,133.2
25,273264,3286980,59621,365310,29544,15126528,1936310475,3934167162,2079000100,66.97,12.4,132.6
26,272367,3595020,59554,393513,31232,15990784,2098455991,4249256251,2221418342,66.92,12.41,132.2
27,440772,4010836,72143,499542,27840,14254080,2329537054,4483216369,2481660425,67.48,12.62,124.7
28,274330,3355925,48666,474785,23824,12197888,1929769447,3888774031,2100023393,67.85,12.58,124.7
29,213039,3041498,48598,426964,25480,13045760,1807454371,3533958852,1913203680,66.79,12.43,124.6
30,223633,3524382,55278,418920,26832,13737984,2323311256,4741544179,2461158416,67.67,12.59,124.5
31,96211,1540961,29288,193136,27424,14041088,1541109357,3332445658,1637336104,65.83,12.4,124.6
32,319113,3789693,54299,348926,24968,12783616,1840228821,3617909462,1950058955,67.96,12.42,124.8
33,305338,3530325,60015,444447,272832,139689984,2202107482,4402314118,2300624577,66.15,12.38,124.8
34,253571,3288876,45984,421729,26152,13389824,2018010646,4043006053,2129179133,66.92,12.48,125.2
35,243821,3618984,53242,424079,27312,13983744,2456701744,5084829428,2606358006,66.87,12.44,125.1
36,245573,3163950,49797,361181,26928,13787136,2006943417,4108624234,2112566093,66.92,12.32,125.1
37,430253,3790154,78948,448045,25752,13185024,2248036775,4542284360,2372383761,71.79,12.76,125.1
38,305223,3824150,74269,569539,23920,12247040,2851338237,5571920281,2986089483,72.08,12.67,125.1
39,414105,3420278,50984,361566,26048,13336576,2133132720,4238499241,2259646804,67.93,12.4,125.2
40,177521,2210513,39200,253983,26480,13557760,2155833800,4763930303,2273179904,67.97,12.53,125.4
41,309672,4300747,61490,342317,24456,12521472,2391429144,4956416792,2572062007,66.81,12.41,126.0
42,205631,2796923,55965,364082,27760,14213120,2006445246,4261538926,2151985976,67.48,12.39,126.0
43,337089,3686599,67418,288964,25192,12898304,1920570568,3911684274,2043299517,68.42,12.36,126.0
44,338819,3829107,77424,383008,25528,13070336,2444177510,5183723500,2605285952,67.05,12.37,126.2
45,222126,3247191,61118,262379,22024,11276288,1741610330,3533233019,1846602434,66.64,12.37,126.1
46,252599,3895933,71998,345983,26664,13651968,2514738429,5364023572,2674777045,70.79,12.72,126.2
47,327421,3539500,80780,398043,25784,13201408,1994446416,3997353880,2106326235,66.95,12.47,126.0
48,238289,3348620,56607,381295,25288,12947456,2027266547,4201184019,2142040567,67.98,12.4,125.8
49,274077,3786426,66005,412496,25328,12967936,2476230864,5225823092,2639712645,67.94,12.51,125.9
50,195643,2395565,41917,377747,24448,12517376,1991508434,4126833205,2076534467,65.76,12.31,125.8
51,144730,2190712,34305,299504,24480,12533760,1894276462,4032968949,2016814996,67.68,12.55,125.7
52,353283,4026811,58228,454649,27608,14135296,2617102811,5430345060,2801674242,69.06,12.45,125.8
53,313786,3244931,56850,343547,26496,13565952,2016615934,4167858258,2191745961,68.79,12.42,125.5
54,443998,3656202,94342,380846,26040,13332480,2217114849,4511494059,2394153743,67.12,12.59,126.2
55,237286,3258103,56641,285566,25944,13283328,1876561220,3784871173,2018465654,67.78,12.49,126.3
56,192322,3166814,62775,344531,27776,14221312,1894704105,3868218052,2028141223,68.59,12.64,126.2
57,398516,4258797,91933,405167,24640,12615680,2404615455,4932336442,2615634912,67.57,12.59,126.2
58,256965,3683882,75261,358115,24128,12353536,2140636357,4214746756,2277269187,67.3,12.76,125.9
59,215716,2686851,48795,395382,27208,13930496,1957658830,3976404931,2087942272,66.49,12.56,125.8
60,412883,4293415,74714,525091,25080,12840960,2334210284,4637873766,2475875921,67.49,12.68,125.8
61,103624,1416871,35472,293008,28368,14524416,1775163388,3813254942,1871129561,68.45,12.76,125.7
62,388499,3751402,68633,533199,27264,13959168,2218095351,4352845763,2339353410,67.53,12.64,125.6
63,314584,3595123,66352,443147,26880,13762560,2319818389,4705029829,2444958601,67.87,12.53,125.7
64,277268,3613363,65556,368920,254000,130048000,2473970242,5267988373,2601123525,69.17,12.66,126.1
65,297123,3931341,67922,424118,25272,12939264,2358824062,4870376910,2552899615,66.88,12.56,126.2
66,254805,3620211,55493,361964,28536,14610432,2238591949,4763800466,2379321221,69.05,12.86,126.4
67,452028,3993703,73967,403352,24776,12685312,2157368931,4363430137,2260413047,68.55,12.69,126.1
68,257261,3710175,58328,487420,26280,13455360,2755507683,5877405787,2882152144,68.52,12.68,126.0
69,207076,3119549,51158,409220,26584,13611008,1875458899,3793762395,2021266500,67.97,12.63,125.9
70,101882,1287798,29323,239384,26712,13676544,1811094906,3987033946,1944442119,68.27,12.72,126.0
71,223840,3473531,60796,491943,23904,12238848,2362709828,4833207811,2549066954,68.77,12.71,126.2
72,1101962,4927081,123818,503449,28040,14356480,2294147631,4270806939,2436550191,67.72,12.66,126.1
73,326796,3462986,59408,354770,24792,12693504,2011922036,4100653763,2135648166,66.2,12.41,126.3
74,291106,3392413,62422,483569,25944,13283328,2501978528,5154009497,2660346729,67.5,12.73,126.7
75,268384,2854169,47379,437528,28920,14807040,2299184784,4781653196,2425289296,68.85,12.57,126.6
76,261339,3124887,52363,485469,26504,13570048,2323445991,4681436527,2471192982,67.8,12.74,126.4
77,510996,3984059,78185,372435,26088,13357056,2133184847,4108772923,2307921680,70.7,12.83,126.4
78,262832,3376306,57827,392466,26120,13373440,2185538407,4305048328,2298525506,68.8,12.7,126.2
79,239638,3496876,46922,373292,24888,12742656,2247209234,4574945274,2438531000,66.44,12.6,126.1
80,348207,2196335,47082,283346,25016,12808192,2079192768,4454295756,2212019626,69.53,12.84,126.5
81,188793,3000245,59595,271743,27648,14155776,1998286578,4292377681,2154930703,67.19,12.62,126.6
82,401030,4058790,85266,445799,25960,13291520,2176615859,4304147730,2351380922,67.91,12.85,126.5
83,291337,4092831,79540,673121,25328,12967936,3015966704,5667456403,3231288006,72.13,12.6,126.5
84,244033,3561451,67968,517794,24928,12763136,2440729362,4640506312,2601984663,68.08,12.71,126.5
85,201724,3425110,66471,425279,28200,14438400,2265517870,4497376622,2396651712,67.26,12.68,132.3
86,207756,3354624,59495,362813,27592,14127104,2133127518,4281829642,2279000398,69.67,12.88,131.7
87,495419,5929648,111225,666751,26752,13697024,3325203274,6780250495,3542433205,73.77,13.08,125.8
88,340954,3445331,62084,440760,25312,12959744,2238208802,4556961032,2397942972,68.36,12.77,125.5
89,163340,1552471,31827,260809,25968,13295616,1731410846,3698782399,1856760813,67.44,12.64,125.9
90,291762,3814538,61480,459379,25168,12886016,2569552590,5208639367,2703384573,67.96,12.82,132.3
91,174530,3039891,41997,325797,24976,12787712,1838596465,3778630577,1946916722,66.82,12.59,126.0
92,407327,4561272,83126,501259,22360,11448320,2801872587,5823220619,2940079326,67.69,12.7,126.0
93,272513,3401487,50892,318103,24568,12578816,1933567934,3871364853,2074703832,65.29,12.64,126.0
94,244794,3159207,45494,364471,68304,34971648,2004924943,4081085279,2148351484,67.98,12.62,126.0
95,218084,2995335,39097,414861,203728,104308736,1986214152,4020550934,2083993200,70.76,12.79,126.0
96,245584,3467176,64327,458478,25768,13193216,2238730718,4497358340,2376781844,67.99,12.78,126.0
97,434073,4080280,69722,409221,23736,12152832,2382912917,4885111638,2572795363,69.24,12.73,126.0
98,335780,3899616,78494,396053,21896,11210752,2652923628,5530302416,2857255454,68.6,12.86,126.0
99,258756,2929219,45671,347603,29152,14925824,2080549572,4354284791,2241596825,67.4,12.72,126.1
100,223384,1511782,27302,286536,27416,14036992,1812593355,3941924840,1954488419,69.46,12.86,126.3
101,294695,3351973,63542,475685,25904,13262848,2573484509,5364135945,2764558916,70.87,12.9,126.4
102,575861,4484695,112649,569484,27808,14237696,2944011294,5500618000,3129408312,70.23,12.95,126.2
103,296319,3758200,61296,531175,27192,13922304,2721817206,5205665409,2920791573,69.91,12.78,126.6
104,280865,3514106,65969,466678,27176,13914112,2529680707,5083157898,2699079187,72.08,12.66,127.1
105,210706,3150078,59898,344306,27456,14057472,1938917473,4040338191,2143749344,68.83,12.74,127.3
106,216226,3510046,67702,457149,27424,14041088,2468213906,5143960156,2672677930,69.28,12.88,132.4
107,329409,4051604,75355,353347,28184,14430208,2042518023,4009583491,2199217381,67.18,12.69,131.7
