,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,102901736,406817216,48609172,184676246,0,0,71822139763,9157714778,72065914836,180.34,35.2,294.4
1,122064498,520452066,57559795,232779465,18304,9371648,83442494820,10644011035,84344267932,177.62,35.48,283.2
2,112736555,506525549,52305021,232814820,7616,3899392,80814902323,9861877147,79800552600,184.09,36.8,271.1
3,111557858,512923799,52713971,236478065,0,0,84148817529,9037605263,84049446642,191.32,38.79,289.2
4,150197181,674934054,66247797,289499500,0,0,108686972446,11708181851,108885990603,189.69,38.35,295.8
5,151562940,687398685,68063922,309591318,0,0,110244196529,10732912032,110637792965,190.03,38.31,296.2
6,114794881,527333094,52926254,231879718,328,167936,87049215744,8581242386,87564769395,189.61,38.19,296.8
7,153869768,701146789,69743770,323006197,0,0,112866022079,12340546729,112825341417,190.45,38.39,297.4
8,114005774,517301493,50300311,234374922,0,0,86797638093,8967559613,87171476550,190.96,38.36,297.5
9,115280747,519518504,50989669,229372668,0,0,83187962490,9347431986,83712401253,191.54,38.62,298.0
10,150915214,676806263,70945850,314409836,0,0,108736119031,11092864649,108488699958,190.54,38.65,298.2
11,144919828,665274928,65645386,296816640,776,397312,109046331134,10721346851,109996238679,193.63,39.14,305.5
12,66512649,311157580,29075236,132122349,0,0,50090384728,7713998363,48987036553,124.45,21.75,305.3
13,341823,2435084,62724,192908,0,0,676311635,1054273447,772695487,63.44,12.53,286.2
14,223948,2498142,43923,199727,0,0,636630490,1007756257,772864207,62.76,12.63,138.9
15,271173,2494746,49951,262873,0,0,670445957,943398134,776361232,63.95,12.59,120.9
16,63883,904981,14503,67394,74384,38084608,343211677,601926898,420775432,74.34,13.84,120.8
17,111022599,498823339,51307616,226632155,0,0,105903855700,9753678743,106269974085,186.49,38.07,121.1
18,137110920,601066898,61380444,265133516,0,0,94351436260,9534116001,94869033183,186.05,37.53,209.5
19,110790930,462453380,51158553,207302448,0,0,72746649229,10119456875,72683587669,172.56,33.69,299.4
20,116908060,516051354,54961313,238139487,0,0,80919663315,8949075695,81205754241,185.87,37.26,288.9
21,146083871,669409765,66859324,302830355,272,139264,104809871363,9239233355,105176371271,191.54,39.06,278.8
22,110151266,492838315,48729901,222406989,0,0,78633644906,7690113891,78560967559,192.37,39.08,298.5
23,153209049,709814121,68258718,313953641,0,0,112165029298,10470513322,112831952907,194.21,39.44,308.5
24,146444918,653966852,67058373,303284614,0,0,104282500446,10339307515,106580981638,192.22,39.16,307.9
25,122786184,549832165,55672446,243658537,0,0,87412238339,8880777434,85804856515,191.34,38.81,307.6
26,138888332,635353756,62639564,288408896,328,167936,103124311540,9306151850,103518958872,193.89,39.16,307.6
27,143530724,652320342,64086323,291449151,0,0,105182896138,10156722761,105338890722,192.86,39.02,307.6
28,150046307,675797588,66537963,305987743,2632,1347584,110489506983,9943869892,110667354619,194.74,39.5,307.6
