,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,pkg_pwr,ram_pwr,ref-cycles,power
0,51752,888550,164,35682,0,0,172539342,136505932,22.93,5.43,203169672,99.4
1,111397,1574954,3773,71456,664,339968,244701953,237644527,22.69,5.33,298149394,108.8
2,81105,1603796,3486,122540,0,0,361507079,313443482,22.49,5.28,398570196,92.9
3,9122,1096141,185,36855,0,0,164778932,167950010,22.23,5.18,244056463,92.8
4,9533,976194,1060,50111,1736,888832,184278411,146122507,21.99,5.12,220196875,92.8
5,92418,1991095,7496,89840,0,0,317617205,327021697,22.73,5.34,419704186,92.8
6,7522,1188748,30,56973,720,368640,156089996,158819937,22.27,5.15,210620012,93.0
7,64544,1472469,4114,65910,0,0,228822058,224960342,22.28,5.23,304966931,129.0
8,18400,1175301,738,74558,0,0,222759801,183459766,22.17,5.17,274205141,96.6
9,3145,737962,34,65901,0,0,130665811,109363239,22.03,5.02,185000419,96.2
10,17948,960978,1234,34030,0,0,196053503,187287997,21.9,5.08,240418045,95.8
11,3600,999090,199,29002,272,139264,163521744,124679348,22.14,5.03,186991330,95.5
12,98989,1090686,7339,83179,0,0,220340992,208109022,22.14,5.2,270471060,95.2
13,20036,1165535,960,92373,0,0,253396888,181492137,22.0,5.2,273006787,94.9
14,4064,780012,160,45952,0,0,123681361,119810768,22.11,4.99,192794681,94.8
15,1753,943654,171,39793,56,28672,135024368,121077027,21.95,4.97,213467295,94.5
16,61834,849808,454,26221,1448,741376,162760179,132049811,23.15,5.35,193943423,94.4
17,173264,1935878,19245,91446,0,0,295724081,252961672,26.93,5.68,342569783,94.1
18,68099,1981694,2192,89649,0,0,236652919,195568989,22.49,5.34,326448050,94.0
19,5420,801787,151,33168,0,0,136266169,133641262,22.08,5.07,187710938,93.8
20,2805,1006462,58,46380,0,0,133774447,124686169,22.04,4.99,201938588,93.6
21,36825,820208,484,36179,2792,1429504,168102638,138177166,22.11,5.06,186258888,93.5
22,96545,1898384,10509,93861,0,0,306192565,322000070,24.17,5.85,382875037,93.4
23,57653,2384678,10248,77504,0,0,375744437,315327128,22.6,5.52,429548859,93.3
24,6916,979593,378,42518,0,0,174485134,150625283,22.57,5.48,240591805,93.2
25,1494,832659,45,46125,0,0,86163204,100345832,22.06,4.98,163350589,93.1
26,2974,1053360,63,45313,1616,827392,175985351,139459567,22.06,5.0,213854880,93.1
27,87126,1282163,7679,87967,0,0,200267917,206863771,22.31,5.22,268684747,93.0
28,18346,1140105,1041,54562,0,0,224657597,176481745,22.11,5.18,261455747,93.0
29,2397,682182,407,44295,0,0,125005205,110600515,21.94,4.97,157686367,92.9
30,9849,1001296,420,40261,0,0,136954011,147579721,22.01,5.05,212450276,92.9
31,3527,878710,393,31990,272,139264,105200482,125851212,22.3,5.13,168016847,92.9
32,181643,2501725,13402,134845,51328,26279936,343037561,359380087,33.47,6.41,435009270,92.9
33,10901,1042286,1789,56405,0,0,157428129,157540522,22.44,5.34,205382418,92.8
34,7724,1279297,3717,50423,0,0,233658220,185778892,21.95,5.1,258912897,92.8
35,4056,806204,679,38926,0,0,127950822,108420114,22.11,5.06,175114929,92.8
36,89680,1442071,7537,107365,720,368640,286365674,252238085,22.41,5.28,318737264,92.8
37,109798,1758292,8190,108097,0,0,311774269,300231652,22.73,5.5,371278080,92.8
38,15953,855828,785,57214,0,0,183490993,152287839,22.1,5.25,219252081,92.8
39,46752,1146870,2534,69059,0,0,233037185,195412267,31.29,6.08,264675112,92.7
40,111941,1605948,5779,92914,0,0,280346836,251664185,27.51,5.98,356491451,92.7
41,50129,1479313,1931,49432,328,167936,163676249,169846797,36.05,6.26,218590542,92.7
42,165063,1683986,11664,164901,0,0,376842348,359826304,24.87,5.76,439385091,92.7
43,136069,1987557,5635,101430,0,0,273326904,289429626,31.04,6.01,371690089,92.7
44,20871,1452022,594,58985,0,0,182023458,178706352,22.34,5.25,295173310,92.7
45,2384,775820,197,35339,0,0,146871265,113284290,22.23,5.11,171103278,92.6
46,6787,880681,84,39670,2456,1257472,169586558,147377175,22.17,5.04,205753213,92.7
47,169336,1960030,5734,116277,112,57344,345359235,375048069,31.39,6.22,415771511,92.7
48,75676,1401525,290,61386,0,0,112055061,137845457,40.0,6.07,235977782,92.7
49,22611,859125,374,30603,0,0,113264988,138144116,39.62,5.11,180257418,92.8
50,2621,879253,208,35193,0,0,109737443,105278725,39.59,5.03,176536502,92.7
51,3154,629845,166,35950,888,454656,136534975,124330533,39.58,5.01,143931754,92.8
52,90932,1084213,5516,109917,0,0,181101295,210714795,39.7,5.19,234326383,92.8
53,31538,1096539,701,73854,0,0,154538305,160307966,39.41,5.12,221284588,92.8
54,3634,863528,17,33772,0,0,139736830,121236884,39.46,5.01,160640062,92.8
55,6090,808471,39,56411,0,0,141775393,139765640,39.63,4.96,155137422,92.8
56,5600,862473,30,42533,888,454656,141084088,144321482,39.6,4.97,174970716,92.9
57,121043,1552328,5769,57702,0,0,244036452,240794820,39.38,5.17,274315392,92.9
58,8720,943027,530,61183,0,0,155279201,141509386,38.86,5.13,175476268,93.3
59,9058,676294,109,10257,0,0,83191829,104497015,38.82,4.97,142429655,93.6
