,Unnamed: 0,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,0,7625784,24967058,778142,3001116,0,0,16913625730,37946198840,17838337146,119.71,15.01,180.5
1,1,8266262,27242484,792400,3309286,2608,1335296,18368687542,38609027654,18445854576,118.56,14.81,180.8
2,2,10494378,35935930,1170696,4320114,0,0,23289719960,49079603964,23519787184,119.02,14.76,180.9
3,3,7809312,24715076,838484,3222792,0,0,18135065782,38820647628,18190797412,118.32,14.78,181.0
4,4,7732856,24627236,831182,2777456,0,0,17986697476,38531057854,18035520094,118.01,14.79,181.2
5,5,9247524,30159694,1033784,3488432,2640,1351680,22210307808,47704920514,22278141250,118.19,14.75,181.1
6,6,8140124,26283704,825620,2845796,488,249856,17952792870,38373407598,18035542418,118.31,14.81,181.1
7,7,9792144,31456994,1013798,3901430,0,0,22144534180,47870342712,22229051916,118.22,14.77,181.2
8,8,7770400,24567246,813016,2650826,0,0,17536676074,37867076466,17602069630,118.17,14.78,181.3
9,9,7212168,20959402,658594,2582294,0,0,17220412292,37567324912,17249270822,118.12,14.75,181.4
10,10,9359038,29865642,1006820,3562836,2752,1409024,21843607864,47203990498,21922951872,118.1,14.75,181.5
11,11,7685826,25844300,854070,2917758,544,278528,17898403926,38528649860,18027336884,118.49,14.82,181.5
12,12,9387080,31066644,978834,3809878,0,0,21805906208,47325367628,21957907482,118.34,14.75,181.7
13,13,7835854,25273572,760218,2617560,0,0,17585311334,37946119558,17689313698,118.44,14.8,181.8
14,14,7062182,23844046,773718,2823116,0,0,17562734462,37952282118,17676856160,118.36,14.74,181.9
15,15,8664450,30022924,920468,3479950,2576,1318912,21952641364,47556886948,22042186504,118.5,14.74,182.0
16,16,7745216,26403070,766448,2895814,48,24576,17679792296,38124341670,17829151198,118.64,14.76,182.0
17,17,9659824,30693480,862746,3658974,0,0,21889741816,47146632944,21962460302,118.47,14.75,182.1
18,18,7505538,24586136,757444,2982918,0,0,17455673418,37742405166,17513212598,118.52,14.77,182.2
19,19,6871882,21488870,624182,2587006,0,0,17241063878,37713205464,17277315556,118.46,14.76,182.2
20,20,9066370,29197414,859636,3215496,2592,1327104,21761576330,47030429714,21797001382,118.34,14.74,182.3
21,21,8387916,25552678,727224,2964766,1768,905216,17690831074,38000865140,17756211196,118.54,14.79,182.4
22,22,9630562,29863720,907036,3512190,0,0,21770980232,47034769442,21826419154,118.69,14.76,182.4
23,23,8278590,25533538,748978,2984304,0,0,17668352076,38072321934,17700165014,118.65,14.78,182.5
24,24,9597004,29346742,903228,3164266,0,0,21807051888,47088085832,21876749898,118.68,14.71,182.6
25,25,6956284,23636018,735322,2601840,3024,1548288,17567875512,37904263798,17604805732,118.61,14.77,182.7
26,26,10227426,30574610,886742,3615718,720,368640,21871380882,47195439002,21954322736,118.81,14.75,182.8
27,27,7891236,24745166,861022,2748192,0,0,17661130550,38010684628,17736236386,118.81,14.78,182.8
28,28,7504584,24991882,805110,2698018,0,0,17404657352,37683061894,17498023550,118.57,14.76,182.9
29,29,10147742,30614140,982428,3345742,0,0,21563632792,46638667770,21689122814,118.74,14.76,183.0
30,30,7042214,20893264,647344,2503440,3120,1597440,17064569072,37446632066,17096093504,118.67,14.78,183.0
31,31,9721860,31372182,943902,3293208,151310,77470720,21943800296,47353052164,22086083498,118.68,14.74,183.1
32,32,7889010,25356856,808582,2875652,0,0,17425221316,37743883756,17546025792,118.7,14.78,183.1
33,33,9633406,29582820,886268,3714862,0,0,21695220608,46850445980,21734111880,118.81,14.74,183.2
34,34,7656860,28729308,781346,3256360,0,0,18388921608,39457718830,18429897764,119.25,14.79,183.3
35,35,8612666,26426058,731742,2899984,3216,1646592,17740404948,38276697506,17776931390,118.77,14.77,183.3
36,36,9784362,30567576,965734,3631126,584,299008,21929293486,47166128236,22009604828,118.88,14.74,183.5
37,37,7748474,24747604,762060,3136502,0,0,17495991150,37690532032,17525746872,118.67,14.75,183.6
38,38,9552980,29265968,916552,3563174,0,0,21620776560,46716787582,21663427112,118.66,14.74,183.7
39,39,8033354,25093884,746086,3004052,0,0,17509204368,37865415160,17577066910,118.7,14.78,183.8
40,40,9500664,29106398,922000,3033016,2928,1499136,21638231380,46686428662,21681171628,118.8,14.76,183.9
41,41,7495814,21662604,708384,2489634,536,274432,17035703484,37193944542,17122374116,118.83,14.77,183.9
42,42,9534618,29802446,914264,3004400,0,0,21681424700,46893403064,21788521282,118.53,14.74,183.9
43,43,8002830,24381898,753322,2574860,0,0,17561243094,37757126548,17625087462,118.71,14.79,184.0
44,44,7515186,24121438,856568,2703956,0,0,17504430816,37784492910,17598459486,118.78,14.73,184.0
45,45,9697122,29800072,895936,3456102,3024,1548288,21568519274,46658799004,21645849076,118.75,14.77,184.0
46,46,8041736,25875312,814714,3046064,552,282624,17482230640,37768351800,17597052188,118.93,14.8,184.0
47,47,9717132,30386950,979352,3460552,0,0,21729951260,46955370974,21823863384,118.88,14.75,184.0
48,48,7444494,23795536,806460,3070196,0,0,17289298196,37473902566,17370269026,118.9,14.8,184.0
49,49,9222912,30020066,956960,3512880,0,0,21535924160,46707305798,21643660232,118.78,14.78,184.0
50,50,7989170,23476724,743574,2807404,3024,1548288,17117462112,37201199796,17196639930,118.84,14.76,184.0
51,51,9836074,31077950,966820,3927244,552,282624,21813341618,47264983286,21975162654,119.04,14.75,184.1
52,52,7095784,22201546,668742,2625316,0,0,17022404860,37124457792,17085216954,118.8,14.75,184.1
53,53,9595070,29096096,898008,3591370,0,0,21427417806,46598986210,21542640804,118.72,14.76,184.2
54,54,7842428,24928936,757572,3051498,0,0,17456733472,37800755918,17539155424,118.95,14.73,184.3
55,55,9394950,29427108,982464,3426188,24264,12423168,21710894514,46902695604,21789496258,119.07,14.8,184.3
56,56,7935732,25317532,771710,2925564,1624,831488,17424331780,37630827482,17541514462,119.07,14.77,184.3
57,57,7741723,26597238,795576,2797174,112,57344,18008256546,38452274597,18111025748,119.2,14.77,184.3
58,58,9940996,30356968,952368,3426016,0,0,21895855700,47257192592,21940334076,118.99,14.76,184.3
59,59,7840432,23881644,791606,2602832,0,0,17555967590,37745568094,17603153444,119.03,14.76,184.4
60,60,9295064,29075822,954652,3584834,3912,2002944,21635731284,46897332656,21699696076,118.96,14.75,184.5
61,61,7462282,22897650,687286,2560836,0,0,17029906002,37185697418,17107054516,119.13,14.75,184.5
62,62,9555204,29304106,962126,3459790,122184,62558208,21605843004,46772071334,21730830344,119.04,14.74,184.5
63,63,7977942,24133790,736978,2867992,0,0,17457389128,37754361442,17487820660,118.74,14.72,184.5
64,64,9460562,29381834,1007066,3475220,0,0,21568083586,46766229364,21631136556,118.91,14.77,184.5
65,65,8028254,24972980,826506,3048928,3688,1888256,17469891296,37668577568,17572216586,119.04,14.8,184.5
66,66,9693428,30701506,932472,3695014,0,0,21708730552,46947204884,21818985480,119.14,14.75,184.6
67,67,7484878,24561106,781676,2721800,0,0,17455501062,37698300970,17585354258,119.05,14.78,184.6
68,68,7650780,24474478,758212,3023584,0,0,17281531512,37425427532,17396717800,119.04,14.75,184.6
69,69,9225760,29422456,889792,3577254,0,0,21475661228,46646967024,21539699632,119.05,14.74,184.5
70,70,7600132,24496782,738278,2757630,3296,1687552,17297304428,37395620894,17371627012,119.04,14.76,184.6
71,71,9546036,29817942,920522,3056648,0,0,21794559314,47026209470,21875636990,119.13,14.77,184.6
72,72,6851232,20691690,630618,2291750,0,0,16866538408,37059400694,16889641560,119.02,14.78,184.6
73,73,8990460,28709578,868214,2921988,0,0,21498116912,46595419508,21545780882,118.94,14.75,184.6
74,74,7661718,24604544,691238,2756794,0,0,17390854382,37531380150,17421274392,118.67,14.74,184.7
75,75,9228234,28899896,916904,3176072,3240,1658880,21706935556,46880387098,21743655078,118.9,14.74,184.6
76,76,7902704,24901138,744544,2795156,0,0,17509893814,37591818754,17579303972,119.06,14.8,184.7
77,77,9594460,29124468,878056,3532734,0,0,21565760522,46706129300,21639177630,118.95,14.77,184.6
78,78,7318114,23815166,752580,2821224,0,0,17358559756,37441083414,17429480454,118.99,14.78,184.6
79,79,9164406,29873666,995140,3465708,0,0,21554010708,46757770078,21687092966,119.0,14.78,184.6
80,80,7636970,24304474,769544,2953708,3520,1802240,17294262124,37437718078,17396447680,119.03,14.73,184.7
81,81,9988034,30283604,1032278,3719068,0,0,21692471604,46912893768,21790996148,119.03,14.81,184.7
82,82,7360488,21979536,754520,2373954,0,0,16946649518,37067844782,17039964862,119.0,14.76,184.7
83,83,9554172,29102350,949870,2971800,0,0,21628580796,46854847446,21738241108,118.94,14.77,184.8
84,84,7564126,23599838,716684,2485054,0,0,17087456314,37192054836,17158236362,118.89,14.76,184.9
85,85,7955158,25116436,808092,2594260,4080,2088960,17381683586,37609249624,17465015500,118.7,14.71,184.9
86,86,9687900,30071668,1007270,3580504,0,0,21640330622,46703240682,21733734912,119.07,14.79,185.0
87,87,7968698,25074430,797000,3065994,0,0,17442377664,37704902002,17536017050,118.95,14.76,185.0
88,88,9274308,29849874,929270,3554222,56,28672,21470368792,46622691150,21595181358,118.93,14.76,185.0
89,89,7419994,23999472,766514,2704824,0,0,17242777010,37359077990,17339672848,118.83,14.76,185.0
90,90,9044638,28733192,924896,3525426,3856,1974272,21467158708,46572322860,21545292614,118.92,14.78,185.0
91,91,7709114,25599086,757042,2679244,448,229376,17399071490,37641750018,17530372510,119.04,14.76,185.1
92,92,9003698,29677560,879282,2992110,0,0,21556730354,46713136326,21587851014,118.91,14.74,185.1
93,93,7144548,21083254,671274,2227510,112504,57602048,16818927584,36885523742,16840049224,118.86,14.77,185.1
