,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,rss,pkg_pwr,ram_pwr,power
0,0,0,0,0,0,0,0,0,0,32848,132.16,15.85,192.2
1,0,0,0,0,0,0,0,0,0,32848,127.42,15.31,192.6
2,0,0,0,0,0,0,0,0,0,32848,131.27,15.66,201.8
3,0,0,0,0,0,0,0,0,0,32848,134.23,15.78,201.2
4,0,0,0,0,0,0,0,0,0,32848,128.66,15.57,209.5
5,0,0,0,0,0,0,0,0,0,32848,131.1,15.54,199.4
6,0,0,0,0,0,0,0,0,0,32848,128.55,15.52,199.7
7,0,0,0,0,0,0,0,0,0,32848,136.23,16.06,199.7
8,8032,310382,10222,75716,0,0,9149471020,18231554742,9162333768,32848,134.73,15.92,200.0
9,0,0,0,0,0,0,0,0,0,32848,131.23,15.76,210.2
10,0,0,0,0,0,0,0,0,0,32848,130.11,15.45,201.0
11,0,0,0,0,0,0,0,0,0,32848,125.65,15.3,201.1
12,0,0,0,0,0,0,0,0,0,32848,148.09,16.19,200.8
13,0,0,0,0,0,0,0,0,0,32848,178.7,17.17,200.4
14,0,0,0,0,0,0,0,0,0,32848,176.9,16.79,268.6
15,0,0,0,0,0,0,0,0,0,32848,178.86,16.93,259.9
16,0,0,0,0,0,0,0,0,0,32848,178.13,17.04,260.1
17,0,0,0,0,0,0,0,0,0,32848,177.1,17.03,260.5
18,41792,638382,50524,133148,0,0,8768720768,18881639474,8778077292,32848,178.49,17.07,260.5
19,0,0,0,0,0,0,0,0,0,32848,178.25,17.1,260.6
20,0,0,0,0,0,0,0,0,0,32848,176.26,17.03,260.9
21,0,0,0,0,0,0,0,0,0,32848,178.44,17.11,260.8
22,0,0,0,0,0,0,0,0,0,32848,178.32,17.1,260.9
23,0,0,0,0,0,0,0,0,0,32848,176.84,16.95,261.1
24,0,0,0,0,0,0,0,0,0,32848,177.6,17.09,261.0
25,0,0,0,0,0,0,0,0,0,32848,178.45,17.2,261.0
26,0,0,0,0,0,0,0,0,0,32848,176.34,17.01,261.1
27,0,0,0,0,0,0,0,0,0,32848,177.8,16.91,261.1
28,12632,462786,15560,79174,0,0,10070913760,22266686990,10080354446,32848,178.12,16.92,261.0
29,0,0,0,0,0,0,0,0,0,32848,176.4,17.11,261.2
30,0,0,0,0,0,0,0,0,0,32848,178.21,17.07,261.1
31,0,0,0,0,0,0,0,0,0,32848,178.35,17.11,261.1
32,0,0,0,0,0,0,0,0,0,32848,177.32,16.93,261.3
33,8552,500580,7486,107914,0,0,9511391252,21207546832,9519701458,32848,177.67,17.15,261.4
34,0,0,0,0,0,0,0,0,0,32848,178.01,17.1,261.2
35,0,0,0,0,0,0,0,0,0,32848,176.56,16.93,261.5
36,0,0,0,0,0,0,0,0,0,32848,177.3,17.03,261.3
37,0,0,0,0,0,0,0,0,0,32848,178.46,17.14,261.2
38,17860,289086,20472,56978,0,0,10642444136,26860257140,10630534008,32848,177.39,16.88,261.3
39,0,0,0,0,0,0,0,0,0,32848,177.91,16.97,261.4
40,0,0,0,0,0,0,0,0,0,32848,178.51,17.07,261.3
41,0,0,0,0,0,0,0,0,0,32848,176.97,16.97,261.5
42,0,0,0,0,0,0,0,0,0,32848,177.65,17.04,261.5
43,8692,42518,10912,17140,0,0,8119425846,21011965306,8121047404,32848,178.31,17.06,261.5
44,0,0,0,0,0,0,0,0,0,32848,177.66,16.81,261.5
45,0,0,0,0,0,0,0,0,0,32848,177.68,17.06,261.6
46,0,0,0,0,0,0,0,0,0,32848,178.55,16.98,261.5
47,7702,43036,10256,16634,0,0,8136639350,21000940194,8137427614,32848,176.92,16.98,261.6
48,9734,262196,18640,81896,0,0,10031045184,24200038226,10050501798,32848,177.9,17.01,261.7
49,0,0,0,0,0,0,0,0,0,32848,178.3,17.04,261.6
