,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,5740146,173041024,2505480,28053378,0,0,36921183688,15877891478,37084910356,179.9,16.04,258.3
1,25097757,578958550,9452548,98980579,0,0,121659591045,55506601749,123399530738,180.28,16.24,258.1
2,85998189,1447949125,28629586,256620200,0,0,288353687903,132322204338,293268535935,181.0,16.31,258.0
3,45656549,696667750,14913204,127637136,0,0,144808662415,67957699298,146951209688,180.41,16.4,258.1
4,47600256,897001009,15486691,157290194,0,0,183194997417,82839858779,185863960175,181.01,16.19,258.4
5,47507014,783929356,15426789,136713843,0,0,162850609780,74312730807,164868944058,180.35,16.29,258.6
6,33040811,582051204,11065609,103755055,0,0,118984920425,54042400951,120733401434,181.42,16.24,258.9
7,46074686,794309623,15468163,139442173,0,0,167360315965,74964493933,170011697113,180.58,16.16,259.1
8,47832896,785734884,15782719,140009541,0,0,160841577568,74582716375,163085293966,180.99,16.31,259.4
9,22438666,404490308,7374624,68942266,0,0,78688735030,36735144974,80138000658,180.74,16.22,259.5
10,72752075,1186067898,26171479,215405452,0,0,243755602019,109002747236,247250740016,180.14,16.4,259.6
11,36932060,610237548,12375343,109678281,0,0,132619775618,60609844283,134367321670,180.89,16.26,259.9
12,38807682,646056994,13068045,112687298,0,0,131653686910,59127896184,133428471164,180.76,16.28,260.0
13,56146560,1012166330,20386245,181229906,0,0,206597780814,92510617497,209662951106,180.75,16.15,260.2
14,36982282,779974047,14598514,136351024,0,0,156275696329,69720007958,158833428027,181.57,16.04,260.2
15,19264282,334029657,7650202,60721336,0,0,73645909677,34038777870,74590964643,179.36,16.14,260.4
16,40831503,844986445,15606047,152147510,0,0,177730087803,79292431270,180195554003,181.17,15.96,260.7
17,26412727,493613072,10423699,90367183,0,0,102251547408,46984525136,103736193208,181.18,16.24,260.7
18,88666199,1413994975,30077260,249826248,0,0,281608446518,128376222162,285859739139,181.3,16.4,260.8
19,42092693,611837805,14351101,110994445,0,0,127029982340,58905569628,128548755232,180.63,16.47,260.9
20,19941162,347040510,6858123,62098098,0,0,76820127645,35426158560,77813395713,180.41,16.2,261.3
21,59472313,1020910693,20075024,180943788,0,0,214560712903,95859774081,217749094365,181.23,16.24,261.5
22,50590745,761480059,17788762,141884065,0,0,161081425648,73478849193,162864010108,180.3,16.37,261.6
23,70602025,1048690119,23237585,192595082,0,0,223268361583,101984461840,226145781828,180.72,16.39,261.7
24,39709857,598055381,13346259,106189828,0,0,126369328410,56574112858,127843730759,180.68,16.44,261.9
25,48525981,715213401,16998266,131450316,0,0,153978173941,68339144291,155945354882,180.49,16.39,262.1
26,64684685,1037837830,17883638,176750152,0,0,201076970511,91079375095,203836651668,181.82,16.26,262.2
27,39796756,686933430,12695542,114489770,0,0,129117343996,60555420164,130967337814,181.34,16.35,262.3
28,58769648,923112070,17465694,157122382,0,0,187633474820,83917878262,189937448926,180.11,16.28,262.5
29,57839976,957004072,18180002,163897904,0,0,189812801828,87605119998,191979987264,180.35,16.28,262.7
30,23629544,420347918,7091142,69451966,40,20480,82809787094,37794084580,84165718306,182.13,16.24,262.7
31,88570066,1451781044,25590024,243864756,0,0,280713414794,129936538154,284995814990,182.03,16.18,262.7
32,39494012,635359074,11919360,107981930,0,0,124832031068,56328369276,126777289170,181.55,16.32,263.0
33,45531428,763641432,12508456,126992530,0,0,152459691802,68706688748,154272932814,181.89,16.19,263.3
34,52507404,862243358,14204786,141764238,0,0,168354002844,78097041908,170686702488,181.78,16.22,263.4
35,26923598,457209262,7374716,74780084,1536,786432,87953030710,41240940054,89147057304,182.31,16.2,263.6
36,81592552,1494207012,25022378,243620722,0,0,271642396032,123376930080,275754159114,182.11,16.41,263.8
37,39825420,566986524,14567480,119362824,0,0,155345347140,73814202866,157844255338,180.86,15.92,263.9
38,55820336,945496240,17231406,156059296,0,0,188621887350,84484262992,191237539274,181.97,16.27,264.2
39,58486970,1021015054,18548466,170491546,1928,987136,193300469442,86744260134,196247183212,181.74,16.25,264.2
40,26299326,414199216,7920760,70957388,0,0,76573251318,35566427404,77648591848,182.1,16.37,264.2
41,82881494,1378821546,25420680,230379204,0,0,252702210740,114982268934,256604012670,182.74,16.31,264.4
42,0,0,0,0,0,0,0,0,0,182.44,16.13,264.5
43,94004552,1728672098,28265640,287383438,0,0,318190166070,146616535218,323130440954,182.63,16.19,264.7
44,0,0,0,0,0,0,0,0,0,182.58,16.3,265.0
45,82638902,1376169270,24530622,228558660,0,0,260069701264,117790916940,263700101766,181.18,16.42,265.3
46,58995398,833014226,16586472,142463954,0,0,161967782988,72190697646,164021691040,181.74,16.42,265.4
47,72167218,1142498466,21774290,193294938,0,0,223018389160,99127693830,225555011452,181.48,16.37,265.4
48,40624084,604886666,12421860,104113946,0,0,114856413152,53226044872,116321448186,182.31,16.45,265.5
49,92276320,1414037218,26339440,240177788,0,0,265532286538,120245918288,269283821404,181.45,16.48,265.5
50,54487538,874572312,14825000,148767798,0,0,164309457168,75126653296,166600930490,182.6,16.32,265.5
51,28971360,482721958,8277944,79280274,0,0,91753436104,41768294912,93073230726,181.95,16.31,265.5
52,71642234,1233352260,22359652,206972348,0,0,228719988824,104390686842,231885297612,182.86,16.28,265.6
53,59830738,971196054,17413026,162903428,0,0,184430324964,83590051766,187244266106,181.53,16.29,265.7
54,45296370,690861532,12134904,115721658,0,0,129560804180,60887933736,131320640270,181.8,16.39,265.7
55,42288168,719176278,11878624,119884978,0,0,133078907128,60680308384,135170268814,182.07,16.24,265.8
56,65954780,1085346912,20085490,183536188,0,0,195908553322,91501747196,198761140526,181.99,16.34,265.8
57,46954102,803934180,14632186,133229746,0,0,141723533608,63953012210,144168001260,182.6,16.29,265.7
58,63812042,1064128998,15915954,182612334,0,0,205710972128,99893667522,208106352026,180.17,16.19,265.8
59,28598056,494310922,8157982,93821280,0,0,142511599204,68013516780,143870284540,172.92,15.77,266.0
60,48302808,625822286,24552324,125134348,0,0,194832782178,88728583362,195682158470,178.65,16.89,266.1
61,72508950,807375514,38480962,162778684,0,0,236823478404,107970182416,237910387048,180.29,17.59,258.1
62,63815210,638034586,36887670,129677570,0,0,189292030494,86573343472,189877507778,181.17,17.84,258.2
63,53900480,575971200,30462092,116328206,0,0,180506716832,81605481028,180949186176,179.7,17.37,265.3
64,55259388,597945306,29513028,120947010,0,0,191886040636,86503891824,192583190408,180.22,17.37,265.5
65,75661214,819918564,45528880,173343740,0,0,249110310974,113934184184,250097366720,180.66,17.5,265.7
66,61219202,639906726,35091422,135138054,0,0,195977406230,90237038988,196485793628,180.72,17.68,265.5
67,50381238,601224416,28049896,125166098,0,0,173442668830,80705800486,174266613160,179.07,16.98,265.7
68,38487078,648707812,15465768,127114586,0,0,196709642120,92772331040,198352081622,175.23,16.15,265.9
69,51630212,557589336,30250874,122006836,0,0,172770777460,80173041354,173719312414,179.95,17.24,266.1
70,21453824,681927180,3757156,118999874,1768,905216,222424199312,94897251026,223209751244,174.78,14.99,259.2
71,22472708,470110950,5553450,82677384,0,0,118120189388,51593914462,118619172528,179.98,15.79,259.5
72,55314476,1112197756,18363618,188706338,0,0,217415746168,96956906926,219575393092,181.64,15.9,259.8
73,67585344,1203183806,21717238,211078450,0,0,236194462608,105544011324,238605434768,180.8,16.08,259.6
74,46043974,763208170,13924764,134927394,0,0,146712065672,65299946372,147995989290,181.7,16.24,266.2
75,24107468,435732342,7497392,76047142,0,0,80606170632,36397927940,81435044176,181.81,16.05,266.1
76,99784232,1539925584,30758002,274185356,0,0,292449872774,131796042318,295334529884,181.59,16.39,266.1
77,64245576,1051979116,20560960,188421996,0,0,188087539084,84631718468,189693713452,182.45,16.22,266.1
78,44625828,721228838,14543690,133115536,0,0,134287775520,60081312286,136421403052,181.14,16.38,266.2
79,82991976,1181841014,26546304,212589840,0,0,234960544020,104246962752,236117356050,181.12,16.54,266.3
80,59133120,906578646,19253998,159955968,8,4096,174043978806,77879737440,175527278314,181.26,16.35,266.4
81,54888280,821866158,16395192,148219468,0,0,158013703210,72215899430,159634063852,181.36,16.36,266.3
82,54306592,809684746,17076858,143006370,0,0,157003128784,70125270028,158284389298,181.53,16.42,266.3
83,58255896,933707608,18146182,165428140,0,0,177263628838,78732376696,178853499380,182.05,16.35,266.3
84,57897412,896383456,20245520,172300888,0,0,191134523114,86258074636,192764231322,181.06,16.07,266.2
85,50030406,843441370,17480738,168138844,0,0,203891884454,91680424018,205633796398,180.72,15.89,266.3
86,42511012,676399948,12975264,120139534,0,0,139757312616,63106263680,141081287552,180.9,16.32,266.3
87,28204496,411048676,9132398,74102258,0,0,79073970778,34983232292,79777425694,182.12,16.41,266.2
