,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,thread-count,pkg_pwr,ram_pwr,power
0,37415868,337142010,1310452,18682168,0,0,150478178392,211292493428,151177793554,0,194.52,17.52,275.3
1,82338864,691508886,4572602,32861526,23048,11800576,176812950628,238883229632,177826234318,0,195.26,17.36,275.8
2,53454696,810805352,10736958,39344404,0,0,169460313394,234679458838,170190429734,0,191.32,16.71,275.8
3,60953902,993116332,15438614,57428346,2240,1146880,217950863020,304319825680,219444959100,0,192.9,16.95,266.9
4,35751810,531215096,9037464,36803626,0,0,168920873280,233581341432,169671845058,0,188.03,16.44,261.7
5,54454890,248507672,5212190,31705558,0,0,171461549036,229644032040,172391366124,0,182.51,16.7,261.8
6,31282912,142807850,2019466,13369510,384,196608,163767092922,222958385002,165169998204,0,179.23,16.06,262.2
7,74926740,171622038,3481486,19624598,0,0,222692862000,291343766452,224109979504,0,177.75,16.91,262.0
8,74453540,151429220,3346960,18451366,1944,995328,156033824594,211471449736,157714244792,0,181.31,17.37,272.5
9,26964158,158425066,2556530,16404190,0,0,168266022972,218525528356,169600189282,0,180.0,16.85,277.6
10,47380562,409726400,1992530,21785364,0,0,178315950818,249048682021,179048236905,0,190.98,16.86,277.3
11,78572692,708587856,6704764,37545164,89376,45760512,172534064928,227306181548,173413741478,0,188.7,17.22,277.0
12,66740132,1043169904,21503900,52553740,0,0,176721050036,244164834350,177911928424,0,191.66,17.09,269.2
13,55879890,825930074,14268674,65969468,1840,942080,224545963544,309884062350,225884110088,0,186.71,16.84,268.6
14,48491956,293844228,7063456,38902036,0,0,162726536578,217730100398,163452406462,0,182.73,16.59,268.0
15,52728466,229025936,3871950,25047294,0,0,210867606732,293695886264,212269061728,0,181.18,16.67,267.7
16,73907522,160948770,3011916,16484242,0,0,172662514562,230847473232,173767782212,0,179.09,17.17,260.1
17,72233378,144263036,2537818,16997970,0,0,170265637096,235365513336,171593302660,0,180.07,17.33,276.3
18,30758994,216426922,2163208,21315140,272,139264,169252172334,233442106470,170722943740,0,182.6,16.85,276.2
19,48150588,432998268,1429050,22964646,0,0,176845838624,249827925086,177649136106,0,191.61,16.88,275.6
20,78782332,766121300,7504194,42341932,0,0,177380895034,230146312064,178287050604,0,186.54,17.16,275.4
21,57350018,882587214,12273760,40857412,0,0,175544397882,238941038138,176422414572,0,189.54,17.0,269.5
22,55686282,898625178,13971232,58965832,0,0,223393369674,308186537030,224413909934,0,186.06,16.73,269.3
23,41253554,279106454,5358924,33089492,160,81920,169315530880,234965143704,170562445262,0,182.57,16.38,264.0
24,57963028,243771998,4130440,27697740,0,0,170740098154,236172455798,171850317630,0,183.38,17.21,264.0
25,39965068,111421636,2066056,12710108,0,0,153921085534,208380125148,155300670042,0,179.16,17.01,263.6
26,110309326,209118228,3965536,24287506,131080,67112960,213805162686,291163068084,214926038088,0,180.75,17.42,269.1
27,23790834,114558352,2093582,12918180,0,0,163865355816,224305011396,165315960838,0,176.33,16.07,278.5
28,44385994,466224432,1599934,27170506,720,368640,182837096696,255806774556,183814780366,0,192.93,17.18,278.3
29,87291970,820608618,6480528,46162168,0,0,179115218196,238837457130,180099133006,0,190.36,17.44,271.9
30,53347410,793195520,10457336,39825646,0,0,160891449444,224832432552,161685903104,0,188.09,16.83,272.0
31,42139216,677256460,10676676,43928716,912,466944,181179488042,252008615439,182276825077,0,186.19,16.4,271.6
32,42440970,608933772,9974004,41769186,488,249856,170125349919,246508196871,170691264680,0,186.3,16.61,271.2
33,53619890,263490248,5104444,34362554,1336,684032,165989993630,242150649322,166762412856,0,182.21,16.87,262.9
34,41356310,195013834,3453410,22218728,0,0,221941662914,320927026230,223825315074,0,180.19,16.69,268.0
35,79545150,169864402,2989554,21822024,10696,5476352,148404829158,209629168334,149763330026,0,180.45,17.32,267.8
36,66999566,144058268,2303376,13264960,0,0,153176275152,216492119460,154783312066,0,179.52,17.07,279.9
37,47209262,391333678,3057500,28294158,0,0,219570837478,306924047042,220859061756,0,190.16,17.42,279.6
38,74859556,622707904,3434314,30494258,496,253952,145620594060,202134813270,146501127764,0,190.2,17.38,279.3
39,40265366,681212438,13142650,41434544,0,0,161102753618,234210455900,162174311860,0,188.55,16.49,278.8
40,64615926,961397820,14171260,54395478,0,0,206408299876,298979583060,207687386086,0,189.76,16.88,270.6
41,36294112,505615250,8100332,35514408,0,0,158114210954,227764073258,159264830260,0,186.08,16.54,270.3
42,46107774,260950220,4836186,34478318,0,0,156080248692,217550640586,157234434890,0,183.36,16.82,265.1
43,50767774,209283514,3353310,20609544,160,81920,175894265756,248353636340,176824830042,0,181.06,16.7,265.5
44,48878026,113059466,2990976,15392242,0,0,166140855400,232866788412,168141618348,0,179.19,17.13,265.2
45,103704172,204882268,3906792,24365800,0,0,218816661164,304055906506,220406133620,0,180.92,17.47,277.7
46,28582780,237058196,2418344,20800072,0,0,167481657770,227604891558,168665029176,0,184.34,16.91,277.8
47,43398564,396607382,1209234,20610402,0,0,157460813168,222046022688,158355674502,0,191.56,16.59,278.1
48,88994750,894304420,8063010,45669322,160,81920,171177776790,223427684024,172240346158,0,189.22,17.91,277.6
49,56400138,879538780,17869892,51282772,0,0,186771724924,250778055384,187698623904,0,188.23,16.89,271.7
50,53050808,799765816,13141040,51314518,0,0,182882335526,251627562716,183791544728,0,186.49,16.63,271.2
51,52073960,339668782,5703520,34969684,0,0,214887796710,294173491292,216345093010,0,182.08,16.52,264.5
52,50402654,228793214,3831064,23339022,221832,113577984,173122582032,230959721938,174256913050,0,182.04,16.96,264.8
53,42962472,109423098,2612546,15660922,552,282624,158424908634,211771074660,159395893132,0,178.38,17.01,264.7
