,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,thread-count,pkg_pwr,ram_pwr,power
0,65330,1176188,32194,141466,0,0,102948070230,168824283522,103681930286,0,170.55,14.12,235.0
1,44170,1084944,24906,124976,4888,2502656,121801884712,197766160424,121793960988,0,169.92,13.99,235.5
2,44890,1821342,22520,137192,0,0,106438479826,178632300218,106224665914,0,175.77,14.27,240.6
3,17214,1480674,7202,69388,0,0,47846602040,86604724062,47848980350,0,176.75,14.52,240.9
4,12326,952526,6960,49958,0,0,32283153636,58096624520,32300050512,0,175.94,14.54,241.4
5,23198,2089690,8750,108968,0,0,72872868540,131038315622,72850011260,0,176.62,14.07,250.5
6,13702,820276,7890,47254,0,0,30352408942,54023279178,30383147338,0,176.42,14.41,250.5
7,20820,2057256,9528,96820,0,0,61830931710,110640854590,61824363176,0,177.06,14.44,250.5
8,5428,1162568,2230,47798,0,0,31255822660,56086850608,31354347636,0,177.0,14.48,250.6
9,20166,2675976,8152,118460,0,0,68190530470,120840482394,68133836584,0,177.21,14.52,250.8
10,19318,2150640,7696,93744,0,0,57698282082,102851276552,57800247304,0,177.29,14.53,250.9
11,27866,1959968,11166,113762,0,0,57636207090,97315060180,57732081320,0,176.83,14.8,251.0
12,42898,2981288,17088,188842,0,0,101662792530,163463841394,101746821514,0,176.12,14.89,251.3
13,54486,3066518,22778,206034,0,0,76064852792,122224951804,76053832516,0,176.69,14.96,251.4
14,35194,3224534,25594,182184,0,0,62733423510,102240485948,62752662872,0,177.92,15.14,251.5
15,46070,3305358,24438,208312,0,0,72592597214,117178891456,72677279816,0,176.93,14.77,251.5
16,33796,3006832,11626,139088,0,0,53351732346,89002436744,53298578798,0,176.82,14.87,251.8
17,13096,1393380,5824,66114,0,0,26614179004,45488631190,26593427578,0,177.29,14.84,252.1
18,22118,2785926,10114,134624,3344,1712128,57838664108,98704403300,57868157882,0,177.12,14.92,252.2
19,34400,3286070,12294,162260,16,8192,55626546884,94614068944,55657518924,0,177.56,14.92,261.4
20,20654,3020034,13726,151678,0,0,60260726784,102932956456,60266770326,0,177.0,14.81,248.3
21,22314,2175830,8470,102524,0,0,46742451854,79861500302,46799601042,0,176.81,14.72,262.1
22,17960,2015706,6676,101184,0,0,47652974192,81478948960,47626918336,0,176.49,14.64,249.2
23,16010,2118202,8180,116688,0,0,47735845378,81415666052,47864815092,0,176.7,14.73,249.8
24,12730,1460206,5554,63590,0,0,26252961754,45055741538,26190397276,0,177.45,14.64,250.2
25,25788,3851772,9010,172454,0,0,77075171022,129185224278,77149580152,0,177.51,14.69,250.6
26,27272,2843798,10852,148172,16,8192,79704344382,128388137292,79862675316,0,176.36,14.31,251.0
27,37200,2831438,17828,184068,0,0,80064197058,130009812350,80057940980,0,177.42,14.98,263.1
28,44248,4669996,30262,298462,0,0,93486354350,152006845430,93484035206,0,177.07,15.09,257.1
29,31466,2862834,19382,157682,360,184320,55220252214,89615367022,55282914162,0,177.49,15.04,247.2
30,43600,5003682,31416,266726,0,0,91493438854,146428654104,91442836950,0,177.81,15.07,264.5
31,14914,1422846,7016,74782,96,49152,25351511830,42399626688,25429752376,0,176.6,14.57,257.9
32,18410,2746444,7968,121846,0,0,50401001826,87003570360,50351260798,0,176.83,14.41,257.9
33,22264,3184520,13476,138854,0,0,52731197496,89788018780,52692566874,0,176.96,14.45,257.8
34,11294,2671766,5436,114456,0,0,42522612040,72663134700,42571823958,0,176.86,14.36,248.6
35,13174,2311136,9216,113446,0,0,44481449926,76142855232,44575816026,0,176.91,14.35,254.0
36,22202,2816340,14262,146626,0,0,65733531100,112619818520,65729246658,0,176.66,14.36,254.0
37,16130,2376576,6900,110532,0,0,47251027216,80968592214,47198962570,0,176.36,14.37,262.8
38,17902,2751642,5060,113490,0,0,49358287390,84148458140,49433867636,0,176.78,14.35,256.8
39,13928,2814572,7376,119996,0,0,50294560696,86266030116,50325831106,0,177.94,14.45,249.1
40,26308,2291528,8964,127268,0,0,60255906826,99159697512,60394962614,0,177.33,14.78,254.4
41,30780,2651456,16908,165174,0,0,71966498478,117166055000,72100113120,0,177.46,14.94,262.1
42,52502,4648066,33622,275110,0,0,108415341780,175080402590,108372580490,0,177.15,14.87,261.6
43,33992,2435354,13610,148188,0,0,57939681464,92678518670,57947457352,0,177.27,14.88,261.1
44,28166,3829340,15938,210614,0,0,69183635528,113024640240,69118116412,0,177.36,15.68,260.8
45,14194,1621440,6576,83726,0,0,27567000716,48147162548,27720093418,0,176.62,15.88,250.5
46,21682,2774240,7738,122806,0,0,54370831924,93651518444,54292260636,0,176.43,16.02,264.8
47,21098,2449972,6456,109500,0,0,50667590156,88157642790,50715046472,0,176.19,15.97,264.1
48,21884,1948590,8890,100130,128,65536,46860955734,81644282498,46906473470,0,175.95,15.91,259.0
49,22482,1747352,7126,92408,0,0,53046746058,91301070710,53059244254,0,175.48,15.86,258.9
50,18718,2501682,8670,124322,0,0,53999273530,93243350280,53918039196,0,176.74,15.77,258.8
51,21526,2715706,6444,122290,0,0,54203284484,93956670204,54284591306,0,177.03,15.5,258.6
52,11840,1414890,5728,65910,0,0,26498219340,46218392432,26521700268,0,176.48,15.89,258.5
53,25520,2972378,12094,142684,0,0,66446795296,114130526266,66476629886,0,175.49,15.79,258.6
54,5822,1143814,2924,54610,0,0,26193916212,45043547694,26215484124,0,175.53,15.8,258.6
55,17740,2915782,7968,118704,0,0,50418376198,86663213808,50472329958,0,176.33,15.45,258.5
56,14370,2953864,10116,135974,0,0,51675056170,89255234074,51594976640,0,176.99,15.44,258.3
57,34012,3680764,12732,176440,0,0,76447277036,127634925058,76644458712,0,177.37,15.13,258.2
58,22658,3177656,13576,147828,0,0,63992509092,101638356910,64002383016,0,177.61,14.84,258.2
59,41872,3895764,26676,228234,2888,1478656,60264114378,96540732924,60307582762,0,177.96,15.04,258.3
60,55168,6155116,50554,372266,0,0,90771962876,146090446414,90916292330,0,178.27,15.13,258.3
61,35554,3740980,27484,248160,0,0,55194194282,87839190764,55093037718,0,176.4,14.73,258.4
62,52120,2172962,29632,179154,0,0,127092487186,199757325320,127289468204,0,170.36,13.97,258.6
63,30676,921922,15978,87336,0,0,90239862836,147492038172,90258612310,0,170.9,15.06,258.8
64,20940,772490,13536,75166,8,4096,76057405718,125492960032,76201250458,0,168.85,15.99,258.4
65,28400,937762,15940,83376,0,0,79568108124,131582331318,79464592744,0,167.13,16.34,242.0
66,30890,1240586,11214,104190,0,0,104246997188,176970120670,104687657746,0,165.96,16.44,248.8
67,28582,1056616,14890,95794,0,0,81516636282,137299236938,81262293346,0,167.72,16.24,248.6
68,15872,862376,6590,70714,0,0,68259094980,117449121602,68366766734,0,168.47,16.25,248.2
69,30852,1164220,15090,99568,0,0,78594431788,136419055390,78735148116,0,167.6,16.25,247.9
70,9288,557128,3280,41076,0,0,42218349210,73260474310,42103380888,0,167.39,16.19,247.7
71,34216,1392554,15158,122176,0,0,105559905970,179612502432,105495785468,0,168.8,15.88,247.6
72,13694,747500,5782,63762,16,8192,56113910012,93997572126,56035252704,0,170.49,14.95,247.4
73,19958,2029202,8834,115500,0,0,67748829380,114274912654,67714068966,0,176.24,14.39,247.4
74,16056,3634476,7402,136736,0,0,59243643732,101205159886,59221706986,0,177.44,14.36,247.3
75,27162,3391114,17736,149440,0,0,49930435248,82138203086,50104768946,0,177.93,15.2,247.8
76,33496,4148136,29132,292468,0,0,63753036142,102952458550,63693155090,0,178.13,15.32,260.9
77,69210,5489414,54618,394750,0,0,103190117836,165892982272,103334387438,0,177.52,15.24,260.6
78,48264,3920618,34930,276888,0,0,78458326992,126023826760,78488324898,0,177.87,15.27,260.5
79,38038,3673568,26022,219092,15352,7860224,69282362460,112639316926,69257852520,0,178.14,15.18,260.4
80,13036,1736292,8918,86232,0,0,32941431060,54721446458,32882509054,0,177.21,15.56,260.3
81,31416,3653176,15962,160712,0,0,55699706860,92882611320,55718576942,0,177.25,15.42,260.2
82,18982,2770368,9096,125236,0,0,48256968934,82409224072,48386366582,0,177.39,15.61,260.2
