,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,16758355,28973245,404570,2688600,0,0,7516554798,8470463429,7914006835,119.88,15.77,184.8
1,4255051,21982771,578169,4474946,1898544,972054528,11285923036,14662609644,11312364248,120.12,14.88,185.0
2,1297719,11442626,178648,2631643,1294528,662798336,7751870523,9841402198,7756273955,116.59,14.74,185.4
3,1420899,14067132,268505,3760676,1989576,1018662912,10096047763,13450744376,10095270743,116.95,14.64,185.4
4,1265605,9897300,141541,3038961,1235272,632459264,8305600563,10659382081,8081664214,113.3,14.55,185.5
5,959043,8765755,146706,2638567,1846928,945627136,6770229453,9185623419,6798511161,114.42,14.53,185.0
6,1242278,11827971,185369,3401175,1103656,565071872,9101587358,12225153594,9180334193,115.72,14.59,178.3
7,948075,9147137,183048,2758785,1258112,644153344,8303570874,12102630426,8269800532,117.24,14.65,183.7
8,2293712,15551697,359718,3804886,1501096,768561152,10223371662,13170559590,10081102083,115.96,14.76,183.8
9,2957185,18868019,414666,3932982,203408,104144896,8636912233,11700673562,8586667879,116.85,14.76,184.0
10,2379252,15563044,275631,3102280,148736,76152832,6891175592,9354996161,7064064728,116.66,14.73,183.9
11,2774433,20376889,439165,4429588,208232,106614784,9796816501,13274730836,9585471478,117.23,14.64,183.9
12,2446767,15841623,409655,3609987,182176,93274112,8295932491,11417947465,8217688769,117.81,14.64,184.0
13,2782549,19695781,412060,4585008,197968,101359616,9626472984,12982848567,9761166997,117.46,14.76,184.1
14,1851156,13377382,212149,2961945,637872,326590464,6748958107,9075406535,6730840540,114.89,14.71,184.3
15,3545243,20450390,357356,4021357,1247976,638963712,8604466333,11188201159,8394699098,115.08,14.72,184.0
16,2219299,16000967,292853,3382186,1074776,550285312,7270735081,10100724668,7277146580,115.54,14.6,183.9
17,2954812,21380336,416882,4820747,1195648,612171776,10300060039,13960628687,10366755821,117.34,14.68,183.8
18,2384045,17785275,315040,3460410,1101840,564142080,8110748560,11409446783,8116950213,117.61,15.01,183.8
19,26458661,47194960,686702,3764498,649104,332341248,10323004565,9464690047,10375609410,118.21,15.81,184.0
20,23618075,43479513,272293,3031816,998936,511455232,8629392215,7340584523,8622811316,115.64,15.52,184.2
21,17931099,35269293,44136,2147357,987216,505454592,6622564234,6146887363,6684116260,115.14,15.47,184.3
22,19321068,33976435,60331,2275159,1534368,785596416,6718344852,6105445133,6551371859,115.81,15.57,184.2
23,25965037,49683374,67468,2918286,1191040,609812480,10525558353,10172980932,10514951613,116.48,15.47,184.1
24,20151969,39074957,40248,2231291,943456,483049472,8421925263,8239125507,8474397464,118.03,15.57,184.1
25,27336376,50450939,171968,3027265,1028280,526479360,10571015890,9959104300,10450605549,118.8,15.73,184.3
26,24868041,45413814,86310,2927356,953200,488038400,10873509128,10634256646,10773978691,117.77,15.55,184.5
27,21996392,42946162,79679,2333833,1158488,593145856,8695658165,8243363654,8662275260,117.33,15.58,185.0
28,26198852,49105109,61173,2714651,1212040,620564480,10336094221,10546752995,10403132411,117.91,15.55,185.1
29,21651151,40198069,126130,2379994,1198800,613785600,8241022733,8128565938,8189122572,117.66,15.54,185.1
30,23800436,45235197,84550,3005139,1232624,631103488,10121962211,10235196068,10143718114,117.56,15.5,185.2
31,20011837,39288744,73203,2409141,1213976,621555712,8322413640,7770678728,8377872660,117.52,15.55,185.4
32,27037994,47393037,75013,2828089,1413168,723542016,9661958329,9189529137,9652410011,117.32,15.59,185.4
33,21128809,41145503,217275,2560892,1100968,563695616,8527021896,9362427811,8642320676,118.24,15.61,185.4
34,23589993,40606161,165037,3266212,1173760,600965120,10284333144,11126769718,10311685713,117.83,15.52,185.6
35,18396730,29786490,26646,1950089,834352,427188224,6784502677,6693743384,6744826489,116.94,15.44,185.7
36,28011802,51172612,137867,3313259,1117656,572239872,11150220898,11688014513,11255850202,118.34,15.48,185.5
37,22591977,45809988,143275,2886970,944624,483647488,9593601774,9164984104,9649231846,117.11,15.5,185.6
38,18850543,40467586,166683,2611469,809536,414482432,8524063108,8166259690,8529579376,117.88,15.43,185.5
39,24080935,46062238,82749,2924508,991728,507764736,10163471880,10306943915,10176477839,117.86,15.41,185.6
40,14219152,35361368,133959,2564354,127728,65396736,8741393733,9627951816,8810720884,118.25,15.51,185.6
41,21893393,39714913,124275,2596056,88232,45174784,8465280228,7989502903,8492312686,118.0,15.54,185.7
42,26888950,49652724,214090,3291173,371272,190091264,11165869100,10750487103,11100662498,118.55,15.59,185.8
43,22294557,44906061,548133,3313464,277544,142102528,10151176168,11589927298,10178347476,121.36,16.26,185.8
44,27410108,50031602,309050,3096974,253824,129957888,10306742265,10255885387,10517037512,117.26,15.55,186.1
45,23205792,43316754,148742,2841915,629024,322060288,8956308917,8519048203,9021078380,116.62,15.47,186.4
46,19958890,35384163,71065,2489435,611984,313335808,7881818872,7807043007,7872357776,117.63,15.47,186.3
47,18618613,35870106,86497,2418601,1033384,529092608,8674521591,8233915557,8647991707,117.27,15.44,186.2
48,25525413,53852279,96653,3127666,665000,340480000,10843580538,10167806850,10780982042,116.94,15.46,186.1
49,20297177,39654094,182457,2714500,1149608,588599296,9063678566,8532671312,9103942754,117.29,15.48,186.0
50,19060646,32560128,50187,2328539,617984,316407808,7570678056,7066103075,7576390526,117.08,15.5,185.9
51,24349291,47203800,149239,2819958,882776,451981312,9656960787,10002340214,9649521002,117.45,15.48,185.8
52,21115040,42127516,169372,2853905,938304,480411648,9501789231,9468851092,9554997312,117.83,15.36,185.8
53,12037532,25175540,126545,2309844,850304,435355648,7839406010,9838530726,7992683018,117.01,14.41,185.7
54,1840010,10369272,144560,2755171,828392,424136704,9161598806,13952837917,9251812211,112.87,14.4,185.7
55,1654256,11843906,136479,2840342,920272,471179264,7783320121,10719298411,7822146192,108.92,14.32,185.6
56,1063688,8869106,135953,2608939,941752,482177024,6607646265,8068724447,6575847584,106.65,14.34,179.0
57,1046449,7507434,46890,2213157,869656,445263872,5333720374,6127393345,5426752270,108.35,14.44,178.5
58,1159630,9968792,134934,2944243,801872,410558464,7796937842,9643759977,7812399653,109.77,14.29,172.4
59,1099640,8220330,114414,2431659,798480,408821760,6035065663,7057366389,5809450195,107.7,14.39,172.6
60,1827662,11193189,126108,2938306,832248,426110976,7660398876,9194610544,7699863465,108.44,14.39,173.0
61,880579,8888270,106580,2757995,987056,505372672,7244476429,9313324332,7181748214,108.3,14.38,173.2
62,680797,7681936,73125,2532342,1078432,552157184,6556240811,8401567458,6491833746,108.89,14.5,173.3
63,1344225,10103603,136664,2959040,756880,387522560,7642421441,9886416014,7723070169,107.68,14.36,173.5
64,1399455,9058134,121087,2653786,887472,454385664,6912763674,8753806447,6932456258,109.26,14.46,173.7
65,1448242,8682298,137002,2351250,874456,447721472,5877777109,6873717856,6070795478,110.85,14.52,173.6
66,1613122,10487085,160231,2986481,795136,407109632,8185773847,9905361838,8163820128,108.11,14.29,173.9
67,894797,7981833,52553,2372697,234832,120233984,6901940313,8770840771,6917801654,108.73,14.46,174.3
68,923152,10081776,44756,2952415,231440,118497280,8309871210,10338567075,8215843191,108.98,14.38,174.3
69,1800457,9024237,43422,2205068,318448,163045376,6015117848,6840697261,6059713408,107.49,14.38,174.4
70,1021737,10176741,87033,3013546,261520,133898240,7878609502,10006004030,7904286943,107.77,14.41,174.4
71,900441,7739649,42701,2223945,438096,224305152,6199810954,7414394698,6202153966,107.61,14.43,174.3
72,1805384,11159719,46615,2913573,1022376,523456512,8099087391,9812519890,8123475048,107.61,14.41,174.3
73,684010,8769384,155964,2717031,827744,423804928,6602262789,8345505421,6368930156,108.26,14.44,174.1
74,1221620,10121644,52392,2701938,903120,462397440,8017283456,9695843146,8087524895,108.54,14.34,173.9
75,1229557,8588383,71926,2552568,944648,483659776,7036869985,8697914763,6856703641,108.36,14.42,173.9
76,647758,7246020,47143,2204739,862968,441839616,5781136496,7050133040,5849936122,108.94,14.42,174.1
77,1725657,11334704,131454,2878606,929592,475951104,7993396210,9712762499,8062217297,107.29,14.33,174.2
78,696850,6211361,44752,1657198,795656,407375872,4876634730,5898558355,4802859196,108.4,14.26,174.3
79,898057,9935103,92435,3237835,522984,267767808,7793672054,9801742288,8152047253,110.32,14.5,174.2
80,816420,9601931,80054,2815066,796312,407711744,8125630408,10093830961,8116902946,107.91,14.28,173.9
81,785730,6991557,31167,2183034,957216,490094592,6437128270,7244195731,6394429955,108.35,14.33,174.1
82,1529729,9922564,72289,2627306,580272,297099264,6962413119,8472941707,7051639274,108.16,14.49,174.2
83,1052725,10040925,62824,2954918,995016,509448192,7486474434,9029998984,7405293720,108.72,14.34,174.2
84,1103100,8110650,61216,2589377,1018960,521707520,7116710182,8734074866,7152951784,109.54,14.42,174.2
85,1235874,8216337,76919,2618078,678408,347344896,6105459174,7323185753,6079002106,107.53,14.36,174.3
86,617450,8446964,26610,2797945,1152712,590188544,7304511181,8976588882,7335936658,109.05,14.39,174.5
87,1610725,9064434,36114,2681281,813304,416411648,6490425213,7504623398,6292741154,107.99,14.38,174.5
88,686716,7335205,58196,2504919,827352,423604224,5466753905,6829038103,5596803511,107.69,14.29,174.4
89,956654,8061028,23324,2701808,893224,457330688,7089496488,8618197846,6924334739,108.57,14.41,174.4
90,1137537,8154641,42953,2344435,646240,330874880,6158424524,7381670819,6247395590,107.87,14.42,174.3
91,1219598,8731007,29461,2726279,1038888,531910656,7363576277,9061483896,7369394263,109.04,14.42,174.3
92,634931,7151962,23334,2480543,537000,274944000,6615900513,8028640711,6555346545,107.14,14.15,174.2
93,936269,9209952,42736,2687628,1100512,563462144,7625277108,9010721280,7582345855,109.09,14.44,174.3
94,978090,7116988,10748,2137646,910544,466198528,5218268058,6483619417,5432324256,107.65,14.37,174.3
95,1166807,9496196,94510,2948241,394712,202092544,7789817280,9555771343,7913023683,109.27,14.22,174.1
96,967555,7152982,20413,2104370,1052456,538857472,5649892572,6372544581,5482091161,110.12,14.36,174.1
97,1213581,9729772,94716,2748640,562352,287924224,7506653210,9417509752,7579095843,109.4,14.34,174.0
98,1062574,9112632,84796,2921427,180776,92557312,8240485593,9797581788,8180699849,108.71,14.42,174.1
99,569370,7040225,34597,2136262,201920,103383040,6235016203,7531881741,6206293721,112.66,14.48,174.5
100,1160274,9246159,41721,2927505,110256,56451072,7846139401,9685153884,7917730831,113.67,14.86,174.5
101,1799970,17437397,612451,3523618,169616,86843392,8554821099,11096372166,8416806282,107.71,14.43,174.6
102,768286,9672149,132954,2507655,297744,152444928,6716960300,8573135488,6672729360,108.52,14.33,181.9
103,1020312,7968795,44893,2643870,920472,471281664,7280861505,8767339628,7064963732,108.91,14.33,181.4
104,1370878,9657254,58967,2844807,794416,406740992,7181951183,8663551213,7204399373,107.38,14.21,174.4
105,674977,5998840,34937,1977123,578168,296022016,5100091488,6326864968,5038444111,106.75,14.3,174.3
106,381686,7613745,30140,2725904,679480,347893760,7023240123,8924120048,6971567903,108.53,14.4,174.4
107,1332185,8842757,29870,2793302,817272,418443264,6963849245,7900710985,6849498206,108.91,14.35,174.2
108,1517384,10492141,43089,2866592,568728,291188736,7742217466,9473201162,7692970709,108.32,14.39,174.0
109,792504,7623116,30044,2480577,772560,395550720,6585736332,8117549096,6594916730,108.14,14.36,174.0
110,1173688,7124656,24992,2109147,617032,315920384,5800325176,6873020658,5851750737,108.52,14.23,174.2
111,567452,7523728,31670,2610802,923016,472584192,6787315646,7888796183,6612280070,106.64,14.26,174.2
112,1011986,6773564,35923,2365017,568952,291303424,5557695785,6299161119,5349697679,105.67,14.16,174.3
