,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,108427,3237996,6858,14634,0,0,1327593729,1589078762,1309564416,171.46,16.69,246.2
1,464280,9146414,94814,313382,0,0,5543587419,6292137803,4844784694,171.75,17.05,258.5
2,95593,4788731,35756,64993,0,0,2316414415,3326242887,3307996945,170.67,16.79,236.4
3,60353,4499743,19800,59930,0,0,5362823555,5571370384,5576899033,170.92,16.57,192.5
4,52164,4826876,8886,19715,0,0,1642147231,1979874556,1846519468,171.27,16.45,199.6
5,118670,11251389,242057,317086,0,0,5278011539,4588486994,4163401898,171.4,16.66,205.2
6,89038,4957709,49285,57281,0,0,3816382883,3615937033,4753495542,170.43,16.82,214.2
7,223797,19133295,133286,274089,0,0,9007660043,8864656364,9100700098,153.5,16.2,255.5
8,245174,40234634,201511,353156,0,0,8751324094,8854525743,8657646379,127.65,14.8,255.0
9,570230,9750389,196254,292763,0,0,18979572793,16082355321,18670604829,129.26,14.89,241.4
10,484105,11316180,172060,307854,0,0,7391785214,10544388304,7938421814,128.34,14.96,250.7
11,848645,11870258,278314,691650,0,0,9109002266,10755925398,9369823026,144.28,17.54,261.8
12,184653,4543451,38275,21544,0,0,3473395150,3600866487,3425994023,171.26,16.99,254.4
13,121838,15277749,30636,236966,0,0,3262835630,3649714487,3498894441,171.43,16.81,243.9
14,103091,3113202,12257,117352,0,0,4921708010,4179551207,5823808845,169.32,16.29,257.0
15,111024,4987976,17003,30254,0,0,3396942496,3075950933,3010822167,171.59,17.44,245.0
16,130064,14267147,16985,133956,0,0,4721003228,4326153140,4594385679,173.06,18.28,254.9
17,88855,20029491,13651,87492,0,0,3058184716,3212108565,3316051724,171.85,17.48,255.0
18,136534,13007847,17303,128179,0,0,4410684824,3507049491,4852738784,170.85,17.06,254.6
19,157621,5462097,51612,77109,0,0,6992710043,4642792254,7699472331,170.0,17.17,254.2
20,131578,855025,199349,51977,0,0,2015865906,2846636706,2134630326,171.06,17.05,242.6
21,209617,3246030,39208,214367,0,0,4497724541,5056314759,4347165137,171.08,16.51,250.2
22,323897,4467143,17102,34198,0,0,2423748703,2977308710,2768588064,171.81,17.14,250.2
23,783953,9582192,23395,54840,0,0,3107856692,3952843744,3322061760,171.53,16.69,250.3
24,219519,7237017,147890,327035,0,0,4437368489,4087361785,4526799792,170.22,16.41,250.0
25,207944,2855908,18056,30738,0,0,3367249880,3519979422,3298516969,170.59,16.74,249.8
26,86511,4574765,44205,26151,0,0,2895601506,3214244119,2997113362,171.31,16.78,249.6
27,157594,11437983,17082,39807,0,0,3867017044,4229362821,3643139905,171.71,17.1,249.5
28,102209,11060990,55861,75746,0,0,3981011074,3697633035,4106346949,170.88,16.9,249.3
29,74567,6637476,13270,31676,0,0,4258036253,3521665329,4487168469,169.59,16.23,249.1
30,45601,9956679,79013,37899,0,0,3767189876,3435559157,3656163400,170.32,16.13,249.1
31,36481,15262442,16265,125462,0,0,3491174100,3468538734,3451292928,170.11,16.18,259.3
32,215063,21744930,11109,53149,0,0,4230547746,4003138288,4330264907,170.69,16.49,252.2
33,82954,8192850,17436,42375,0,0,3988912103,2489115110,4336193598,169.1,16.54,252.1
34,137568,5006375,13975,97489,0,0,6300024169,4204637957,6192451036,169.37,16.67,243.1
35,178825,1005542,37657,117906,0,0,2652779520,3226165886,2441626974,170.65,16.84,249.2
36,117159,2201545,17917,41398,0,0,3617215563,4046108458,3631954543,171.49,16.92,249.5
37,383151,5311393,22174,46752,0,0,3103373543,3411728644,2945833989,171.52,16.71,195.5
38,671025,11569298,323545,295609,0,0,5310442173,6033207301,5283621626,170.63,16.46,195.8
39,46174,2042197,28690,119764,0,0,3633070111,3459254949,3708657363,170.21,16.4,196.2
40,90640,2758182,12045,41368,0,0,2757542906,3014951177,2825349396,170.8,16.68,203.0
41,76509,7940437,17105,95530,0,0,4089619030,4766969459,4053238284,153.27,16.23,202.5
42,393176,18798880,201086,190265,0,0,11910284179,12489237837,12341286198,129.79,14.85,189.2
43,285514,29667897,93380,96625,0,0,9342295467,9235392660,8962532449,127.48,14.73,206.9
44,516020,25523433,428437,524275,248,126976,18382944030,14680931866,18196162594,128.08,14.71,191.5
45,216069,7598962,24398,72766,0,0,6611796411,10518501655,6575307611,125.8,14.72,196.9
46,767799,20195932,682513,544585,0,0,12047493259,14699028892,11914645170,126.17,14.75,205.7
47,243397,11549103,23308,152004,0,0,6423557992,9157071265,6353449940,126.01,14.79,198.1
48,319922,21193222,97554,200328,0,0,14356488272,13255341501,14594916363,128.01,14.76,250.5
49,284513,34580779,141834,437894,8,4096,9512570566,10714433438,9915648534,127.18,14.79,268.0
50,371296,21723097,115752,204974,0,0,16908966443,13173610429,16463745350,127.22,14.76,267.9
51,905164,9892443,388651,125813,0,0,6177619493,8813156163,6189279269,127.03,14.84,267.9
