,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,35267,384182,3962,18532,0,0,189899681,463740206,236761572,64.02,12.26,142.5
1,78202,883093,8259,40113,5512,2822144,308433103,750896968,403579324,60.6,11.92,114.3
2,2843,243236,198,10066,0,0,173173305,518620638,231306794,60.21,11.62,114.1
3,146766,1015232,2242,84865,11200,5734400,1687232870,4258683967,1779299235,75.11,12.75,114.2
4,19830,344807,1810,23262,0,0,4222712339,11205144043,4263409324,102.0,12.1,114.7
5,35328,399164,5094,33123,0,0,5174306611,13826324025,5277101500,101.29,11.9,114.9
6,25027,361290,7128,12636,180344,92336128,5217362341,14067351525,5281175346,100.93,11.87,114.8
7,1520,167161,206,4529,336,172032,4110167085,11077655235,4155956036,100.78,11.68,136.3
8,16336,300028,835,11582,1288,659456,5125460071,13700443415,5228862545,100.61,11.69,158.7
9,62138,447639,836,42866,0,0,5236535414,13878624387,5263499836,101.22,11.89,158.6
10,17250,438574,94,4772,0,0,4121103308,11217386481,4207009921,101.35,12.02,158.6
11,46450,408128,1256,6111,1193104,610869248,5234108658,13918140706,5307968168,101.14,12.15,158.5
12,10790,248896,991,13867,684520,350474240,4179553459,11098960439,4204769695,101.98,12.85,158.4
13,9609,215301,338,10025,0,0,5092116885,13513719835,5187634406,100.7,11.74,158.4
14,42064,249709,983,20592,0,0,5201201634,13846500520,5233952381,100.61,11.68,158.5
15,9934000,11021853,14518,12743,0,0,5434210231,11671797799,5495783594,102.88,14.34,158.6
16,2189343,2714647,922,5904,5424,2777088,5447938079,13665811517,5532608980,101.09,11.96,159.0
17,15016,262066,4045,12038,392,200704,5132491739,13642247742,5213060385,100.96,11.74,158.9
18,8314,150490,1983,10893,0,0,4091476548,11046585053,4142496664,100.98,11.72,158.7
19,6287,202449,359,12742,2056,1052672,5123469547,13601178986,5174650123,100.81,11.66,159.3
20,24910,238909,65,13395,0,0,4088777224,10961019786,4169492483,101.2,11.96,159.2
21,13639,367035,5644,16167,0,0,5107163080,13739016932,5183949528,101.22,11.82,159.0
22,32071,310064,527,6608,0,0,5105132192,13458871533,5157837637,100.92,11.64,158.9
23,3905,168277,1127,12972,0,0,4090374761,10993672320,4133886151,100.85,11.75,158.8
24,4923,257173,2153,13431,328,167936,5129537692,13766212424,5184697425,100.98,11.74,158.7
25,14218,294598,5244,19638,0,0,5128072676,13772258731,5183885744,101.3,11.9,158.7
26,11695,190919,1249,12070,11872,6078464,4069977496,10890226293,4120461756,101.08,11.82,158.6
27,5912,355416,3796,28592,392,200704,5211633134,13943961199,5227989218,101.35,11.96,158.6
28,37370,352013,748,13210,0,0,5080278016,13629429312,5149688328,100.78,11.71,158.6
29,4850,166294,472,7448,720,368640,4054565159,10692588102,4094041021,101.02,11.74,158.6
30,30316,322376,2518,34761,0,0,5121114033,13634363396,5178005816,101.73,12.11,158.6
31,7157,309135,393,16300,0,0,5057963013,13436125353,5124721796,101.06,11.83,158.6
32,3550,127506,2140,9316,0,0,4055320000,10749074085,4092177677,100.95,11.7,158.5
33,7009,165299,217,23792,0,0,5063239339,13542044629,5118642829,101.0,11.8,158.5
34,6577,230234,352,25005,272,139264,5094907164,13715927980,5140676929,101.02,11.9,158.6
35,8910522,9847991,5712,22082,0,0,5321127767,11303113610,5357533215,102.97,14.5,158.5
36,3219902,3793028,4042,30804,0,0,5585975421,13596129665,5652815492,101.81,12.32,158.5
37,9446,261319,127,18471,392,200704,5093475523,13542099803,5148959097,101.17,11.84,158.5
38,9403,215611,422,6483,97040,49684480,4035872859,10754600135,4087878120,101.19,11.93,158.5
39,50803,314147,823,18802,1000,512000,5053325156,13518936096,5113826197,101.61,11.98,164.5
40,22610,280356,204,18040,0,0,5059531826,13718516200,5136821186,101.35,12.02,163.9
41,9736,175649,1824,9753,0,0,4042679822,10783623526,4088740256,101.19,11.97,158.4
42,5330,208929,564,17333,0,0,5044106190,13564151598,5109810947,101.35,11.9,158.5
43,3405,141089,241,22043,0,0,5053009507,13364961284,5106191572,101.24,11.96,158.5
44,32943,176739,3530,20783,272,139264,4079059288,10708311270,4108379316,101.79,11.93,158.6
45,31873,282924,3978,26666,0,0,5097650028,13571707534,5157663896,101.55,11.83,158.7
46,7853,272843,47,19087,0,0,5019421356,13193909078,5085236303,101.34,11.76,158.8
47,5870,196506,440,8571,392,200704,4032758532,10668023768,4082979301,101.24,11.82,158.7
48,11938,251148,2333,31082,25456,13033472,5070477349,13426744563,5115108260,101.6,11.91,158.8
49,29896,278197,162,12162,1000,512000,5051143971,13268012109,5111443231,101.72,11.95,158.9
50,21217,264911,1304,17619,0,0,4054976302,10689182077,4109225017,101.35,11.88,158.9
51,11001,279975,1125,16303,0,0,5016953327,13334018951,5061361052,101.45,11.84,158.9
52,6921,205218,866,14586,0,0,5041989374,13191823291,5095177185,101.17,11.76,158.9
53,2153,119837,959,11099,0,0,4024626516,10819218864,4068570586,101.43,11.92,158.9
54,29231,198075,223,13040,272,139264,5008880667,13446873109,5077648823,101.8,11.99,159.0
55,10507167,11618631,4487,25971,0,0,6517819405,13797764671,6572711794,102.94,14.54,159.0
56,1626953,2016232,3976,14076,0,0,4303200025,10738858916,4346208855,101.62,12.14,159.0
57,25500,342163,1975,16098,392,200704,5052213034,13434071949,5135668411,101.61,11.98,159.0
58,6691,228379,4477,16870,24368,12476416,5039009727,13362587386,5095899236,101.45,11.95,159.0
59,4248,130465,453,12375,888,454656,4025596905,10749920874,4079000090,102.24,11.97,164.3
60,51306,279722,5541,26498,0,0,5104579635,13299240214,5150137141,101.54,11.97,163.8
61,13472,247247,4035,14201,0,0,5064170553,13384104916,5110609183,101.42,11.8,163.2
62,2715,182288,159,5756,728,372736,4026100274,10577920001,4074362191,101.74,11.73,162.8
63,3164,249643,1420,13356,13144,6729728,5036878280,13321310696,5089315293,101.51,11.8,162.4
64,5477,299005,1380,13884,440,225280,5061790461,13323625518,5109991214,102.0,12.01,162.1
65,12369,247595,2191,13196,0,0,4085557325,10756739601,4125451783,101.72,11.97,161.7
66,11297,264455,4714,19527,0,0,5040930325,13213653998,5102201904,101.19,11.72,161.4
67,8112,272992,3056,10726,392,200704,5049157865,13391926133,5108854630,101.75,11.87,161.2
68,6025,219690,1095,7532,13200,6758400,4034503876,10509244039,4069586946,101.67,11.98,161.0
69,31590,293284,140,5921,944,483328,5005667336,13455529266,5080071853,102.13,11.97,160.9
70,27389,323445,6884,18953,0,0,5068622938,13523093437,5116786557,101.7,11.92,160.7
71,5522,201053,280,7173,0,0,4024018461,10835233196,4066438352,101.81,11.95,160.5
72,6753,229293,159,7596,0,0,5041107402,13532263416,5096368541,101.49,11.77,160.4
73,5384,192845,481,12232,11480,5877760,5043812940,13536755749,5082351289,101.51,11.9,160.3
74,29352,235053,64,4574,440,225280,4045092267,10635023206,4082904900,102.22,12.05,160.3
75,8954138,10100834,1599,13098,0,0,6280027460,14049679698,6369515594,103.34,14.67,160.2
76,3105603,3653717,3543,12853,0,0,5503133117,13593249349,5574279929,101.61,12.16,160.0
77,3800,167129,659,19238,392,200704,4049718319,10941616855,4074554630,101.86,11.97,160.0
78,9536,247335,205,7720,0,0,5025449220,13623961606,5099222996,101.47,11.9,160.0
79,55141,344491,851,11609,14840,7598080,5088381292,13463027854,5182770680,102.27,12.28,160.5
80,67972,314880,2615,17589,3024,1548288,4095690139,10897424238,4143513342,102.02,12.26,160.6
81,14139,255729,910,13504,0,0,5039650644,13442883310,5107204834,101.53,11.89,160.5
82,4884,225721,1518,13488,0,0,5051197287,13278976631,5090229255,101.57,11.9,160.3
83,3919,222887,267,8045,0,0,5022259529,13610961710,5083551334,101.7,11.98,160.3
84,3405,194237,308,4751,14160,7249920,4027227443,10724314257,4072818744,102.11,12.22,160.4
85,74075,507621,6274,19114,0,0,5054009930,13693268048,5143153097,101.88,12.22,160.3
86,14297,276014,1839,18956,0,0,5055566753,13456174194,5080429357,101.54,11.91,160.2
87,3758,177675,143,3149,392,200704,4021383720,10850865194,4057824401,101.52,11.88,160.1
88,7112,259992,2540,10490,0,0,5016447696,13514424694,5070660127,101.58,12.02,160.1
89,4139,192345,932,13972,13856,7094272,5017955132,13493991434,5104917907,102.18,12.2,160.2
90,14883,199863,281,19652,0,0,4038452345,10742814751,4098982827,101.6,12.04,160.2
91,33556,393302,14457,13641,0,0,5045083177,13324657678,5109482509,101.63,11.99,160.2
92,4714,258782,2755,10915,0,0,5009017439,13230161827,5077554984,101.44,12.06,160.2
93,2638,172159,198,7405,0,0,4023305126,10696958061,4067243661,101.37,11.99,160.1
94,3714,248062,2705,24011,11640,5959680,5041042077,13373456013,5077950286,102.27,12.25,160.2
95,10524284,11666928,8582,18269,1232,630784,6539303010,13933010629,6583200352,103.2,14.63,160.3
96,1564452,1929483,1401,11397,0,0,4302560985,10756187455,4334473337,101.66,12.29,160.2
97,60056,360468,2891,22394,0,0,5089140997,13359862197,5141912637,101.84,12.23,160.2
98,1847,198077,106,14766,0,0,5009558745,13413063728,5083283357,101.69,12.0,160.2
99,4290,162963,543,11419,14104,7221248,4024455668,10588218857,4053984247,102.02,12.23,160.8
100,27226,331104,7744,27793,0,0,5059444595,13228833161,5100903278,101.93,12.24,160.8
101,9666,192798,97,24593,0,0,5037622687,13221378560,5079498901,101.73,12.08,160.8
102,21371,226481,361,9898,0,0,4032546809,10767549696,4077188462,101.32,11.91,160.7
103,3653,207815,794,27559,0,0,5016637276,13158200117,5059854382,101.82,11.97,160.7
104,2222,208008,260,14443,11584,5931008,5004455723,13221854018,5056056914,102.3,12.15,160.8
105,14286,248426,3427,17758,0,0,4039919199,10564540227,4084728925,101.39,11.96,160.7
106,16221,242625,645,26633,0,0,5033800675,13289882104,5099798179,101.78,12.06,160.6
107,8356,214608,361,21789,0,0,5032082010,13343274612,5088184081,102.03,12.04,160.5
108,2035,110304,853,16288,0,0,4041903041,10604217343,4081602261,101.3,11.89,160.4
109,7462,203377,195,16599,12368,6332416,5022652890,13401329252,5102630448,102.42,12.22,160.5
110,64368,513364,3998,36792,0,0,5135849152,13596300393,5218733573,102.23,12.47,160.5
111,12317,189863,2391,15567,13672,7000064,4067971239,10644908766,4110386244,101.89,12.25,160.4
112,7583,224951,1250,14579,0,0,5128733126,13667270607,5174007063,101.86,12.3,160.4
113,43879,248704,372,13643,0,0,5050789783,13575293840,5112474532,101.76,12.04,160.3
114,8061,186777,1048,16157,12656,6479872,5034361237,13449763660,5095972162,102.02,12.13,160.5
115,8928853,9789617,7761,23993,168,86016,5310399064,11315574443,5361159457,103.66,14.79,160.6
116,3045254,3622419,5840,11635,664,339968,5501423743,13535518777,5572965587,101.82,12.17,160.7
117,13243,234609,4785,13054,280,143360,5072215790,13406146043,5121263998,101.9,12.16,160.6
118,11532,227859,498,12506,0,0,4046846909,10698010500,4101019151,101.55,12.09,160.5
119,1854,159022,420,16831,0,0,5048309601,13243608027,5106261937,102.19,12.2,161.1
120,20792,195702,4730,35615,13592,6959104,5061170050,13320183711,5142828569,102.06,12.3,161.1
121,7965,198711,430,12454,888,454656,4036185250,10610039988,4088172780,101.75,12.08,161.0
122,3237,180677,187,11749,0,0,5058526196,13281917072,5115944924,101.58,11.91,161.0
123,33523,276342,533,14760,0,0,5064248179,13501079378,5129464619,101.92,12.27,160.8
124,2179,197379,168,20140,0,0,4017924841,10749680496,4081065862,102.1,12.3,160.9
125,28513,355555,1310,13988,13272,6795264,5103871693,13572084407,5158359887,101.92,12.35,160.9
126,12047,264900,988,17173,440,225280,5050263180,13454071756,5110214729,101.91,12.18,160.8
127,12386,164353,168,9702,280,143360,4039958503,10754270036,4114170155,101.79,11.97,160.7
128,30040,230239,740,18191,0,0,5075753907,13195293496,5125186120,101.7,12.09,160.6
129,2586,209249,282,11506,0,0,5048425701,13165941039,5091405495,102.31,12.33,160.8
130,18532,245314,1117,13630,13160,6737920,4065668653,10712467653,4144589065,102.03,12.31,160.7
131,17803,235911,1201,17726,944,483328,5040829252,13479091083,5118092461,101.61,12.15,160.7
132,7048,158469,678,18537,0,0,5071958443,13282422679,5128121702,101.96,12.33,160.6
133,60593,263313,193,11941,0,0,4081111977,10704010495,4157193970,101.88,12.19,160.6
134,44895,257211,4794,19858,0,0,5151938865,13631933386,5184906288,102.35,12.36,160.8
135,8302827,9124032,1755,15266,14776,7565312,5186889216,11303176525,5263825280,103.73,14.6,160.7
136,3955646,4522155,2820,12104,440,225280,5612692786,13641625201,5686461017,101.8,12.41,160.7
137,20849,253541,1444,15219,280,143360,5104002807,13430551193,5156449718,101.81,12.25,160.7
138,46434,225902,1122,15577,0,0,4057651357,10801691609,4117619162,102.18,12.34,160.7
139,7595,223574,187,9890,2384,1220608,5073955885,13441061543,5120138387,102.5,12.53,161.3
140,23995,338810,2585,17518,12880,6594560,5086157028,13486530244,5164398990,101.86,12.34,161.3
141,7956,180198,1145,15498,0,0,4070543812,10736743228,4119915615,102.11,12.28,161.2
142,6242,202817,88,16219,0,0,5059938497,13478858709,5121991834,101.82,12.21,161.2
143,30728,234705,207,12261,0,0,5093201942,13499220662,5132465647,101.55,12.08,161.1
144,5073,156443,632,9923,440,225280,4071553691,10764893850,4109543896,102.33,12.31,161.2
145,28998,363454,193,25465,12824,6565888,5093638255,13648899353,5170523770,102.01,12.26,161.2
146,19633,255343,2452,17267,0,0,5106906608,13515399124,5149827491,101.73,12.06,161.1
147,1928,166490,15,6893,280,143360,4047013630,10863896279,4089738779,102.05,12.28,161.0
