,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,pkg_pwr,ram_pwr,ref-cycles,power
0,23627,2155007,96,76851,0,0,288671864,213967678,25.15,5.52,328485038,114.6
1,9091,3452936,98,195651,664,339968,445916678,314523012,25.9,5.2,498351545,93.3
2,119506,4736845,3269,235609,0,0,559787691,403562730,27.41,5.6,630482874,93.2
3,34033,5174158,635,272752,0,0,656438136,465009059,28.95,5.27,700940273,93.2
4,562715,7312755,53571,479652,280,143360,1061774656,1208040248,33.11,6.06,1206714961,93.1
5,152541,6819092,7130,308333,56,28672,1343605537,1818450195,40.07,6.67,1375105244,93.1
6,97548,5092619,1776,233205,3408,1744896,592290169,460506763,28.04,5.41,688053663,93.1
7,100415,4582550,4083,246776,0,0,546891100,416776582,26.39,5.51,615657442,93.0
8,26917,3194411,534,167882,0,0,431054490,299495273,25.83,5.35,483153777,93.0
9,38973,4772756,1422,206399,56,28672,609949037,451280484,26.1,5.28,673546863,93.0
10,4361,3186268,539,171186,0,0,452706161,289216220,25.1,5.19,471238387,93.0
11,5088,2623783,707,140825,384,196608,386043881,265745681,24.51,5.19,418049236,93.0
12,194294,6622706,5693,428046,21784,11153408,1131477091,1568859079,36.23,6.3,1407959570,92.9
13,63790,5241088,12775,294433,0,0,714473089,552015530,29.83,5.42,739986990,92.9
14,118014,6761150,6106,446930,0,0,1127322180,1588265518,35.31,6.36,1450770464,92.9
15,142601,7779838,8377,401894,4424,2265088,1285902289,1842544175,37.94,6.39,1462229783,93.2
16,38820,3140533,2608,158222,1336,684032,438785232,315181388,25.66,5.46,462436024,93.2
17,135032,3621727,12738,264661,0,0,554471289,452011644,28.12,5.52,613917496,98.4
18,127980,5177265,8245,279558,0,0,728391230,676921053,31.5,5.71,802250920,98.7
19,84475,8883800,1673,557418,0,0,1658319159,2457870006,40.34,6.52,1985744916,98.8
20,137645,5507872,5406,250759,5544,2838528,768183316,917872191,34.68,5.87,866016552,98.9
21,30129,3996769,235,153470,1336,684032,448784200,374040248,27.07,5.3,553037265,99.2
22,301549,8130749,64856,803909,0,0,1623210132,1540332221,36.22,6.67,1645909417,99.3
23,328578,8681402,96759,884985,0,0,1743116281,1727356691,39.9,7.0,1774674080,104.9
24,215404,7437010,66561,791949,0,0,1477710084,1512098603,40.08,7.02,1500223438,104.6
25,397422,10491050,91409,1107930,0,0,1860890821,1757582301,40.06,7.03,1909072886,104.1
26,321927,10641153,67929,870638,115912,59346944,1639941531,1473303802,40.08,7.0,1717695156,97.7
27,417871,11121697,110264,1023542,0,0,1984082255,1931942805,40.12,7.02,2063123342,97.7
28,282101,8080313,71257,840120,0,0,1629901110,1587575782,40.03,7.0,1654574465,97.9
29,255572,7504291,61624,731524,0,0,1590281360,1580037070,40.01,6.99,1613535420,97.4
30,362189,10775348,102424,1168083,0,0,2240844874,2202474761,39.99,7.01,2315864326,96.9
31,238206,8836088,56238,720885,153600,78643200,1287523148,1225095075,40.07,6.99,1373192316,112.6
32,312746,9466244,99459,886477,13872,7102464,1545578026,1617257007,40.13,7.06,1611520432,131.8
33,306320,10129755,98120,1374727,0,0,1778340931,1986027837,40.07,7.04,1805481130,95.3
34,209197,7196170,89835,986567,0,0,1523363282,1738957178,40.11,7.05,1547253727,95.0
35,185841,6711044,90492,923925,0,0,1462635156,1769900457,40.11,7.07,1471145315,94.7
36,318932,10851495,88536,1145753,191512,98054144,2005571834,1949772483,40.03,7.01,2032953923,94.5
37,291151,10622785,51195,860011,0,0,1472384359,1306446548,40.02,7.0,1553316177,94.3
38,286170,10039932,74583,878903,0,0,1770547624,1664662731,40.02,7.02,1793562628,94.5
39,260727,6518705,49805,725008,6,3072,1474984563,1433740031,40.07,6.99,1482514141,95.0
40,526674,9685099,83230,977001,0,0,1876936045,2129246687,40.09,7.03,1930050894,101.3
41,317584,9422126,62768,864995,52128,26689536,1794730891,1750939290,40.05,7.01,1863042241,108.0
42,158902,8960717,52566,864751,0,0,1712316763,1667036979,40.09,7.01,1739914414,107.5
43,267212,9074810,70415,906561,45928,23515136,2082469513,2076150460,40.05,7.02,2106600096,122.7
44,287713,9567957,72834,993029,0,0,2180955259,2147719466,40.06,7.02,2182434912,123.1
45,233421,5205947,48643,562273,4928,2523136,1315669626,1379911110,40.02,7.01,1344236841,104.4
46,335312,11255921,65018,1032424,62824,32165888,2038528168,1951269643,40.11,7.02,2074759283,104.1
47,296044,8203412,64742,932164,0,0,1966084772,2003037852,40.09,7.03,1982418093,103.8
48,319987,6760805,61263,794603,0,0,1861133339,1893060784,40.06,7.03,1869794106,103.4
49,230888,7441053,55829,779825,0,0,1562931433,1510877036,40.13,6.98,1576289254,102.8
