,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,7919629,97212316,3720408,23054499,0,0,17924524645,10272909918,18241303889,164.89,16.15,247.7
1,9711643,131063802,4645564,30507897,122672,62808064,24009991333,14788064448,24177102716,178.44,16.19,253.6
2,11556927,144609273,5355446,32219295,0,0,25261350215,14513130233,25293178984,177.59,16.43,253.5
3,8611160,96377288,3892893,22730326,16008,8196096,17630261539,10096043169,17763250053,177.78,16.63,253.5
4,13880098,156974939,6720630,36860451,0,0,27218749143,13959583769,27542942049,176.9,16.74,253.5
5,11196326,124108248,5158056,29742592,0,0,22925206458,13022040158,23203277714,177.29,16.7,253.6
6,11257417,125216014,5414985,29592973,0,0,23013403446,13324268298,23262746171,176.88,16.8,262.8
7,11471232,123783320,5525222,29744554,0,0,22454707621,12021436895,22767151192,177.2,16.82,257.1
8,11721386,124199689,5535837,30050595,720,368640,23146319320,12928441407,23197797841,176.42,16.94,257.0
9,11397667,120289612,5549782,28787508,0,0,22213116496,11813094347,22385373127,177.37,17.11,247.5
10,11193387,120819354,5465327,28984751,0,0,22441488372,12108164713,22549524743,176.89,16.93,248.1
11,11659411,130375805,5648924,30505552,56,28672,22477069692,10798290153,22680987934,176.9,16.63,254.6
12,11659774,126427692,5474637,29223764,0,0,22025039755,10705321810,22109740481,175.8,16.79,261.8
13,11326181,126104922,5437553,29626842,1560,798720,22169003871,10980826014,22244198896,176.99,16.76,261.1
14,8114568,95734324,3978359,22221303,0,0,16494938116,8163897377,16580038848,177.4,16.66,246.6
15,11241350,131906704,5338349,30236052,0,0,22875785122,11334772132,23062816194,176.89,16.72,263.9
16,11511904,128673307,5469470,29475355,0,0,21742720228,10375014879,21895850178,176.06,16.78,257.1
17,10946537,122642014,5289734,28053354,0,0,20931769335,9919013210,21115557578,176.73,16.69,257.0
18,13456180,154227880,6433757,35167487,392,200704,25865642327,12197535987,26084212450,176.95,16.65,257.0
19,10627639,125787257,5025990,28413768,48,24576,22284720332,12234621109,22453819909,177.27,16.62,257.1
20,11288594,126725714,5307607,28919464,0,0,21806080701,10771360821,21972786487,176.45,16.78,257.3
21,11281700,130310760,5353831,29809110,66768,34185216,22181743414,10782423835,22381580176,177.52,16.71,257.4
22,11202070,130163235,5115752,29173399,0,0,21777067893,10488134840,21961224947,177.09,16.5,257.5
23,11266092,128677886,5396987,29665325,0,0,21844449704,10299571113,21965229438,177.26,16.68,257.6
24,10870268,123599631,5075339,27712754,1672,856064,21100309586,10330640164,21134966342,177.53,16.81,257.7
25,11420376,127888565,5194382,28725348,0,0,22015004810,10968230965,22003320463,177.27,16.7,257.8
26,11783301,134422981,5481515,30112137,62936,32223232,23034148133,11367634766,23051853864,177.53,16.67,257.8
27,10566999,123403258,4950878,27686126,0,0,20796821288,10181353900,20953205904,177.29,16.64,257.9
28,10922295,129263407,5168776,28864260,35888,18374656,21748850193,10560392582,21861912371,177.39,16.73,258.0
29,11204201,124882013,5163903,28315347,30792,15765504,21318857106,10301577553,21345241714,177.68,16.71,258.1
30,11687347,130951377,5425021,29397538,0,0,22755888195,11478784381,22934576562,177.63,16.79,258.2
31,11931169,134101538,5593707,30299586,14056,7196672,22654283672,10856155785,22819034526,177.76,16.72,258.4
32,11043144,124882902,5076903,28249563,0,0,21817224730,11326948380,21973719074,177.46,16.64,258.5
33,11538895,130272278,5365962,29488920,0,0,22837662909,12126296076,23030848172,177.39,16.75,258.6
34,11140999,126357792,5186977,28257821,944,483328,21788414485,10979928192,21806886704,178.16,16.68,258.7
35,11918054,136187667,5497016,30336173,0,0,22840066006,10922600118,22933650318,177.61,16.79,258.8
36,11644544,127648576,5475504,29037968,0,0,21563231755,10195630488,21649940483,177.64,16.85,258.8
37,10909083,121284835,4994116,27184347,0,0,21393008924,11187666687,21463501074,177.71,16.84,258.9
38,11515280,128411076,5354527,29257071,280,143360,21527433969,10198972711,21766302149,177.69,16.65,259.1
39,11902395,131878293,5520654,29891891,608,311296,22761113427,11437318839,22796012672,177.5,16.9,259.2
40,12188751,130646445,5658375,29816971,0,0,22284004154,10714441554,22419790946,177.51,16.74,259.2
41,11382302,124567610,5222404,28117993,68072,34852864,21571217685,10866446059,21763021050,177.84,16.82,259.3
42,11393245,124210683,5184812,28319134,0,0,21161288021,10015782209,21256120916,177.65,16.74,259.4
43,11710603,125706860,5293583,28494401,3112,1593344,21590547622,10454065937,21630558260,177.59,16.79,259.6
44,11808903,127304125,5481856,29200416,0,0,21961945348,10790065590,22163983060,177.65,16.82,259.6
45,12305055,129670561,5486396,29197637,0,0,22326961515,10869530980,22541228090,178.0,16.82,259.7
46,11388687,124198577,5009612,27843396,0,0,21733339207,11290754637,21914113369,177.74,16.7,259.8
47,12397577,138111870,5650521,31277992,0,0,23494926562,11037262780,23461832787,177.94,16.62,259.9
48,11470221,126055495,5168944,28296143,1112,569344,22205357951,11633533342,22390204263,178.31,16.78,260.0
49,14507213,155398417,6491930,34950462,0,0,26390720491,12621826685,26516374129,178.2,16.8,260.0
50,9458777,102389907,4346335,23314628,0,0,17323397239,8183865334,17459071850,177.93,16.79,260.1
51,14661833,157827471,6613720,35989999,0,0,27986911728,14746503154,28086052651,177.7,16.8,260.1
52,11679008,128979132,5268084,28782051,0,0,21604671529,10443138531,21864681347,177.82,16.85,260.2
53,11170648,122278626,5191235,27932267,720,368640,21184043383,10596441996,21338313151,177.76,16.84,260.3
54,12521033,131657629,5563320,29413626,0,0,22128777643,10424959766,22288927742,177.55,16.94,260.3
55,11427267,122318109,5053394,27383407,0,0,20793122789,9873234906,20943627557,177.79,16.86,260.4
56,11886078,126598967,5419458,28657834,0,0,21733163672,10748060930,21961888726,177.78,16.92,260.4
57,12524117,133008257,5609575,30096489,70712,36204544,22638106887,10712294159,22740028608,177.47,16.88,260.5
58,11579893,123187572,5284166,27909439,1168,598016,20941757850,9935037437,21118625222,177.74,16.93,183.4
