,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,22408,278715,0,7118,0,0,62487690,152528127,116874806,61.72,12.17,132.1
1,142481,722496,7877,46592,11088,5677056,211383963,411608578,288219149,59.52,11.8,207.6
2,26556,325102,563,4237,4360,2232320,89843323,208601280,151913834,59.71,11.82,231.5
3,40941,558164,168,14352,0,0,182848692,365222643,231188789,61.92,12.22,231.4
4,89103,1231383,2333,65702,0,0,40718957244,63950349216,41146826428,123.24,13.8,231.4
5,40296,687855,654,37326,0,0,99644744181,155133835415,99754103240,164.29,12.83,231.4
6,9778,442816,258,19614,16072,8228864,98825126822,153735220555,98888430865,163.97,12.35,231.3
7,22057,546572,2652,28441,552,282624,128941601934,200615376534,129015068421,164.26,12.42,231.3
8,20050,430146,3656,30938,0,0,98627383364,153461464664,98700851037,164.13,12.53,231.3
9,17286,363821,1821,23275,0,0,98869379789,153722104166,98923146582,164.31,12.37,231.3
10,16794,301816,487,21163,0,0,124336439332,193392142502,124394243630,164.19,12.22,231.4
11,4173,192304,57,14301,12208,6250496,101302801287,157502496965,101348444978,164.15,12.14,231.5
12,8790,318645,49,17373,440,225280,122077834317,189823528726,122166271804,164.2,12.12,231.6
13,6728,248932,543,13383,0,0,98588357256,153282521257,98662762432,164.35,12.29,231.7
14,17504,375820,590,20530,0,0,99475014033,154720678251,99538460441,164.19,12.39,231.8
15,13406,325867,841,25677,0,0,126853637335,197306091999,126908492538,164.35,12.3,231.9
16,3027,202148,105,14564,13496,6909952,100228362917,155866715624,100298426791,164.52,12.09,232.0
17,7792,344362,1080,29797,440,225280,122140129902,189979838730,122190390766,164.49,12.25,232.2
18,7857,263002,138,17406,0,0,97363276500,151340541126,97444823336,164.72,12.22,232.3
19,19987,392873,2112,25565,0,0,101624090612,158236698857,101680267169,164.73,12.36,232.4
20,8261,344430,1327,16305,0,0,122945235977,191348061161,123021858901,164.63,12.22,232.6
21,3534,257992,105,9913,12208,6250496,102603007589,159650486539,102653627956,164.73,12.08,232.8
22,2466,263812,100,10674,440,225280,102264016587,159048293322,102308948140,164.78,12.15,233.0
23,7105,365838,1008,18181,0,0,124734936513,194044226775,124836181156,164.77,12.37,233.1
24,11217,302322,414,15210,0,0,100074863764,155654609570,100150432832,164.85,12.35,233.2
25,283535,766213,24272,45027,0,0,102423160660,159235346907,102517363580,165.05,12.53,233.4
26,7200,316381,2557,18432,13552,6938624,125777721592,195726380804,125866977271,164.76,12.27,233.6
27,3987,165538,95,15232,440,225280,98926112414,153870569695,98990564515,164.9,12.19,233.8
28,18180,362679,3452,39343,0,0,127200831483,197795438990,127258941764,165.11,12.39,233.9
29,9533,278127,2783,23206,0,0,101068752319,157188180269,101108130695,164.95,12.42,234.0
30,8457,271533,254,12797,0,0,99228245400,154377753130,99278927065,165.03,12.29,234.2
31,3364,290896,47,16060,12264,6279168,123794582414,192535887962,123870041458,165.13,12.24,166.9
32,2249,198781,55,14342,0,0,98735011908,153625215969,98801011986,164.98,12.11,117.6
33,8419,368290,66,17596,776,397312,124114852898,193041864218,124207590458,165.2,12.37,117.5
34,13894,290089,1487,13994,0,0,67374522987,105101741289,67343525562,126.18,12.38,117.6
35,6347,188208,314,7071,0,0,60798795,174251419,107527196,59.89,11.92,173.9
36,1353,120457,366,7881,12208,6250496,46060627,127250614,82584566,59.51,11.99,235.1
37,9208,174422,1211,28484,480,245760,86481511,193278723,129722850,60.18,12.1,235.1
38,71893,519917,351,19712,464,237568,23763963810,37515237721,24102060240,89.35,12.34,235.1
39,9011,317179,1142,15789,0,0,99386527060,154732272992,99440397348,164.88,12.5,235.1
40,4515,221764,995,19786,0,0,100227355962,155970566917,100294221210,165.17,12.4,235.2
41,2548,307080,33,16356,13944,7139328,126219282328,196539192053,126269724184,165.26,12.23,235.2
42,32513,619106,3832,37808,0,0,102161964039,159010739867,102233596843,165.26,12.64,235.3
43,12399,279349,1084,32978,496,253952,122917844363,191317956791,122999401079,165.26,12.53,235.3
44,8765,273845,32,19890,0,0,100585376567,156593524106,100621674825,165.26,12.53,235.4
45,4800,337080,101,23651,0,0,103716387174,161458469602,103810078914,165.12,12.42,235.5
46,1524,261365,19,25586,0,0,103162381486,160484971979,103217158556,165.16,12.31,235.6
47,17596,520107,760,32791,11648,5963776,128057960644,199341744261,128172589933,165.22,12.43,235.7
48,7016,258869,148,19662,608,311296,98164594668,152777568353,98213340678,165.3,12.54,235.8
49,11280,326818,680,27204,0,0,102140812169,159027713155,102195273576,165.31,12.48,235.9
50,6584,260868,801,25925,0,0,123893843699,192827243202,123974683723,165.43,12.43,236.0
51,4468,319105,4044,24017,0,0,98078793388,152551688914,98123589967,165.31,12.45,236.1
52,2620,188451,187,27562,10528,5390336,122017032455,189817617743,122096823701,165.4,12.41,236.2
53,47501,293851,194,22359,552,282624,102226745526,159163335264,102276325249,165.58,12.57,236.3
54,10857,284350,75,27146,0,0,100492697113,156444462511,100536665536,165.5,12.56,236.4
55,5658,270735,115,23311,0,0,124342406501,193532447093,124429281564,165.52,12.49,236.6
56,1841,234042,29,17336,0,0,98922149021,153868770072,98991573935,165.5,12.41,236.7
57,3639,312571,30,17358,12152,6221824,123188419853,191780373796,123269807185,165.48,12.33,236.9
58,4888,296176,146,11402,1504,770048,102310778002,159230561083,102384400258,165.69,12.58,236.9
59,17931,341671,560,22712,0,0,99242734920,154559818952,99293903163,165.5,12.57,237.0
60,4894,349217,552,16823,0,0,124285235878,193474813124,124365865959,165.49,12.54,237.1
61,1434,268575,158,14692,0,0,97167612022,151230850844,97213534087,165.54,12.45,237.2
62,1723,248189,131,19679,11648,5963776,124600660966,193910996314,124657446599,165.68,12.42,237.2
63,3495,252939,1945,25262,552,282624,102004603985,158775314931,102050028242,165.66,12.61,237.3
64,8407,333460,81,20818,0,0,102517742102,159557367260,102575127496,165.58,12.61,237.3
65,5095,325279,219,19313,0,0,125699187659,195657995975,125786498412,165.58,12.47,183.8
66,1468,261694,92,13219,0,0,99505942894,154872428191,99572665726,165.75,12.5,120.3
67,3501,239238,252,14488,12040,6164480,98715997456,153675235097,98762991538,165.69,12.38,120.2
68,14618,421011,2201,29426,944,483328,101843196562,158685276150,101976323082,128.8,12.58,120.2
69,2027,134219,382,18147,0,0,77325443,188532990,104268349,59.46,12.25,162.0
70,24609,453166,3982,17144,0,0,118786027,232266792,147212338,60.11,12.47,237.1
71,12437,311493,212,11641,0,0,85756431,185394693,122509695,60.36,12.33,237.1
72,11737,250244,2194,18425,12544,6422528,11405294451,18372768389,11711913325,87.88,12.53,237.1
