,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,51023335,267141136,11247224,59097707,0,0,35815860742,27679141964,35426309833,169.33,23.91,264.0
1,63786921,277822630,7789933,46458974,1840,942080,34176633368,41152643438,34414418769,166.11,22.91,256.8
2,71058707,528255012,12345554,69799608,37184,19038208,44834169596,36500112041,44743883480,168.98,24.77,263.4
3,78526431,516957074,13294635,53857928,224,114688,39620609309,46656584956,39761548582,164.74,23.69,282.1
4,69202683,382295687,20026579,106040962,224,114688,53581303463,41203854437,54266714205,184.46,26.76,273.0
5,64079236,277283042,14183949,46418220,56,28672,46826627053,55272430090,46359876222,167.57,23.63,259.3
6,32865669,212839294,11200816,55421551,1896,970752,34631331952,36002765230,34323979506,157.92,20.92,248.5
7,147364591,371784220,7098982,43111432,165504,84738048,49743205123,51127910474,50516523435,184.38,24.05,291.9
8,99765213,299979811,4447664,38492287,0,0,38950153738,31016419556,38991165582,189.47,25.03,298.8
9,179447600,533288093,4681979,55004555,0,0,66163967232,63321115041,67191787370,204.64,25.38,306.6
10,176327324,639119959,6202635,54304472,560,286720,75917579410,83701905825,75457735433,216.68,25.38,333.4
11,166932129,820966659,5335485,53186264,16512,8454144,87068651398,110771916598,87105799884,227.54,24.01,316.7
12,60670194,501124019,17361515,55355068,0,0,38292188713,52119802201,38213167652,173.12,18.87,252.2
13,64171289,563669663,15354048,54183840,0,0,41301633494,59366048125,40830208036,174.14,19.48,281.8
14,62104448,605053805,20194800,72609968,0,0,47016588399,58245378551,46781088508,191.46,22.09,282.3
15,61814561,643688636,18298613,73702575,0,0,47751907443,62111408808,47821157925,190.38,22.37,289.7
16,71408509,745620914,21372822,75615504,776,397312,52247849418,70813452365,52346325902,191.98,22.89,309.8
17,83842414,684571814,21632011,89175580,49832,25513984,59305813746,64503112628,59548934404,198.67,24.12,279.3
18,85331125,739720109,15970669,73253560,8408,4304896,46565406358,50824547666,47097995327,179.29,23.47,279.3
19,90114697,762558303,16278039,76479164,0,0,50341019299,56896975711,50520620011,184.1,24.45,285.6
20,96373832,847539540,20828335,85193246,560,286720,55454621085,50888524171,55626767831,195.84,25.83,293.7
