,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,pkg_pwr,ram_pwr,ref-cycles,power
0,41560,3789196,274,216138,0,0,443499319,315694470,27.28,5.56,481879511,101.4
1,10240,4431906,69,296642,664,339968,484511015,332912971,30.09,5.25,504388479,102.0
2,120371,7347640,1876,518863,0,0,845109771,625456128,30.41,5.43,886716292,93.3
3,62676,4484608,232,242558,0,0,525005656,377777786,28.24,5.4,569850917,93.2
4,17757,4243675,217,268620,56,28672,465672966,323290049,30.53,5.25,506055612,93.2
5,42513,7945244,1086,527054,10304,5275648,823556757,597656779,31.48,5.34,904155772,93.1
6,148142,3118399,11694,187794,664,339968,378096788,301864572,27.95,5.52,433874859,93.6
7,56969,8973602,15243,617527,0,0,976869086,699357759,32.03,5.37,1027558347,107.1
8,34961,3911135,290,248182,0,0,418931344,296168659,31.69,5.41,454121908,107.3
9,198650,6932018,5800,461232,56,28672,757116246,602719973,32.18,5.61,864975915,107.3
10,170941,5600345,6246,348728,0,0,597660024,462836307,33.16,5.46,654281624,107.3
11,138106,7175293,5314,463178,720,368640,778796269,589177788,30.76,5.46,841034951,115.1
12,53057,6510293,542,425029,0,0,681158678,473829801,29.87,5.26,737805902,106.3
13,135802,4670110,4144,231921,0,0,457720778,390088435,27.49,5.48,614721549,106.8
14,167465,4402149,10186,316231,0,0,556665806,456993361,28.29,5.46,629627087,113.2
15,24348,4627003,336,302646,0,0,530931838,367401634,27.53,5.26,571177071,113.3
16,9498,4597695,116,299961,272,139264,510499817,342233070,27.25,5.13,560674932,113.0
17,5795,3754052,797,222359,0,0,437143307,331449549,25.47,5.32,503314771,113.4
18,3963,4597679,378,306058,0,0,490693543,327524059,29.91,5.29,531057701,113.2
19,125824,4741067,1710,327295,0,0,592474210,457431250,26.97,5.4,618126005,104.4
20,7770,4770727,552,287249,0,0,559441260,372048346,27.15,5.26,595088594,104.3
21,7305,4440782,406,251432,272,139264,522289566,351388889,25.56,5.18,559361253,104.5
22,7786,3678387,311,246849,0,0,472674669,329478080,25.54,5.11,503379039,104.5
23,6448,5240907,383,346405,0,0,587053226,411913381,27.99,5.18,642553645,104.3
24,19852,5992939,648,398218,0,0,668238353,461480657,28.41,5.19,723541092,104.0
25,5798,3860105,547,257350,0,0,464858676,318855217,25.75,5.24,493808392,110.9
26,19082,4642230,1376,310721,1616,827392,554264400,387407271,27.2,5.22,595088928,102.2
27,4177,4253585,569,293372,0,0,447819696,311870691,29.79,5.17,491213392,102.2
28,56462,5350945,7010,365918,0,0,704014546,566275166,28.97,5.4,729763994,101.8
29,26907,4875419,1133,343864,0,0,577195579,400299051,27.71,5.41,619577347,101.8
30,7603,4510691,152,289952,0,0,505061023,347439083,27.82,5.25,555015435,102.2
31,14162,5008368,138,322846,272,139264,539796598,370637447,27.12,5.22,594361779,102.4
32,152281,7150075,14448,508371,0,0,861107426,829391284,29.84,5.82,905539807,102.3
33,590409,16111363,30975,1013243,56,28672,1607052801,1664875987,40.18,6.8,1651581095,102.8
34,496102,20793820,31449,1212018,0,0,2125854827,2546398190,40.42,6.89,2174359520,103.2
35,194458,9172156,9562,449406,48024,24588288,780656017,755854496,34.02,6.08,796060577,109.8
36,183709,4618083,11117,333863,832,425984,685382241,508847965,28.46,5.66,699335814,104.4
37,14656,4471264,428,274305,4200,2150400,518708977,359760749,26.11,5.52,560259393,104.2
38,28489,4367295,3287,289780,168,86016,594174887,408724238,24.31,5.32,617105468,103.9
39,18112,4822299,1968,328050,0,0,542797830,370795108,29.45,5.31,570211644,121.1
40,13677,4640879,901,305301,112,57344,537107786,368762925,27.36,5.32,579677011,131.2
41,32508,6437812,3737,465000,1056,540672,750134240,522303524,29.33,5.29,783315392,131.1
42,24885,3849372,1060,223508,0,0,471650231,330527442,26.1,5.24,514246211,112.6
43,7584,3836571,369,255505,0,0,470038786,324262618,25.8,5.25,510852495,102.4
44,53789,5311967,3659,346307,0,0,600487778,509346824,28.59,5.48,705742328,102.1
45,12739,4107294,3133,259741,0,0,498697907,341608949,26.15,5.34,525871900,102.0
46,66844,3774088,4565,264077,272,139264,524901977,364109975,26.02,5.34,554230418,107.6
47,50112,4516118,2709,294786,0,0,558771757,394690070,26.33,5.27,613742664,107.5
48,8842,3661445,216,208957,0,0,441787045,304386101,24.77,5.1,485008404,106.9
49,34898,4209442,1820,280675,496,253952,512330256,374110440,28.61,5.37,556410849,106.3
50,18476,4899221,2401,344343,0,0,535194407,374748358,27.45,5.3,625057696,105.9
51,9151,4140442,453,270206,0,0,527166562,352323348,26.12,5.26,534017248,105.6
52,32775,4257223,3579,296675,0,0,546764539,391594068,26.63,5.35,583920073,105.2
53,31458,5248994,2366,355669,0,0,623389660,433715370,28.09,5.37,672117573,104.6
54,9222,4205437,360,250476,272,139264,522290984,349522266,25.54,5.29,540632853,104.3
55,20789,3887317,532,263350,0,0,470821342,318887057,26.33,5.31,533760219,103.9
56,6114,4100935,418,280134,0,0,523951994,324378303,25.78,5.28,523186187,104.2
57,32500,5175836,4278,292604,0,0,629000422,465824528,25.51,5.17,682437843,103.9
58,28193,3151412,1729,217725,0,0,381108511,273777524,27.68,5.25,412445792,103.7
59,17786,5315956,766,373048,272,139264,640083112,437978550,28.25,5.29,663629072,103.8
60,28813,3308546,1686,219138,0,0,429498069,344912818,25.57,5.35,483141012,103.7
61,15514,5688899,433,348319,1120,573440,658010394,440986445,25.43,5.27,715807453,103.3
62,30947,3994459,3934,239125,0,0,534277504,354978955,26.02,5.22,552268833,103.0
