,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,2777638,13179322,166950,2359682,0,0,6319978378,6652128470,7421235836,103.52,12.72,157.7
1,13269700,20780354,441740,922054,2496,1277952,10693648710,8069733532,10753464790,110.43,14.66,158.2
2,27217890,33272646,237058,540114,2632,1347584,13324857134,8458579106,13447601102,110.61,14.97,173.5
3,20393032,25755566,271184,499062,0,0,10519664520,6769886756,10640208492,110.72,14.92,173.5
4,22004876,27274470,262424,524842,0,0,10910692746,7076609400,11032493960,110.53,14.94,173.5
5,6320036,12817644,187670,618444,0,0,5228168240,6214163394,5413692854,75.44,12.52,173.5
6,637436,6626222,156518,403186,384,196608,2350595900,4246971444,2619901064,65.29,12.25,142.2
7,855332,6740262,212960,383928,0,0,2674853884,4877783120,2849072008,63.47,12.18,120.3
8,463286,3516718,142582,330646,0,0,1894644448,3742059816,2075435906,63.79,12.04,120.2
9,910132,7773576,183788,370182,0,0,5858198664,9563428002,5964630220,96.69,12.19,120.5
10,800614,6671594,187902,434084,0,0,7633809298,8641524738,7803699988,100.77,12.07,147.4
11,13823558,18146254,395388,672238,720,368640,9974146688,6610414382,10019558390,109.75,14.5,159.6
12,21844448,26425652,175678,385484,0,0,10699018354,6644767998,10738152842,110.45,14.9,168.9
13,25377374,29659544,230254,622396,0,0,12807521716,7693827426,12861867938,110.7,14.93,169.4
14,21831206,26755956,183326,486648,0,0,10581763202,6579678802,10690282098,110.63,14.92,170.0
15,6553460,22713738,231384,1401016,168,86016,8240971098,10700120800,8575677194,101.22,14.13,170.4
16,900618,8080616,191480,462976,2792,1429504,2658809388,4705757062,2860700214,73.52,12.43,165.0
17,450234,2647846,87488,371324,56,28672,1990690786,3663511574,2088007076,63.58,12.17,138.5
18,763184,6833104,190988,550088,0,0,2694773062,4609733690,2862159158,62.84,12.02,118.6
19,534972,4402696,95628,370882,0,0,2101440780,3786904470,2241837028,62.74,12.01,118.8
20,661688,6066742,165542,547440,0,0,2621475986,4725583000,2805409654,63.61,12.12,119.0
21,741388,6936322,136734,452428,496,253952,2181860186,3858725418,2430348012,66.42,12.43,119.2
22,763048,7991328,151322,462492,0,0,2155906670,4051002812,2622187460,65.25,12.52,119.7
23,675888,6763666,162608,382196,0,0,2391523798,4356040036,2601177810,64.53,12.4,120.0
24,698050,6960948,192274,397900,0,0,2289389604,4135314618,2493673000,65.95,12.42,120.1
