,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,pkg_pwr,ram_pwr,ref-cycles,power
0,161069,3658369,8074,278491,0,0,605772661,885622270,29.2,5.83,685243750,105.5
1,82966,1461171,3825,128814,6,3072,255725815,233916755,22.95,5.35,339747460,115.4
2,57784,2060478,4997,60754,0,0,236782998,237498784,22.88,5.35,362635210,97.5
3,7055,1350093,338,62619,0,0,180926736,162986467,22.36,5.17,242264441,97.3
4,2772,902583,86,34965,496,253952,177300729,140764192,22.25,5.0,186027828,96.9
5,94418,1550719,4658,103876,2856,1462272,255693425,227994285,22.46,5.2,332562341,96.5
6,282337,1947149,11696,112321,168,86016,281331901,251538782,32.88,5.98,388267331,96.3
7,203361,1740511,1830,40154,0,0,172210066,216473424,39.75,6.08,287003920,108.2
8,50542,939332,1827,67468,0,0,196241564,168252716,39.79,5.91,212479094,129.0
9,38791,744236,431,45817,3408,1744896,147497495,119052260,39.85,5.91,151358622,128.9
10,156078,1122538,7919,71421,0,0,224065434,217954706,39.87,6.04,231370009,128.9
11,45561,850846,628,63418,0,0,161071502,146948983,39.78,6.01,188632090,128.9
12,177109,1548087,1086,28199,224,114688,193021809,199241660,39.9,6.04,262096411,128.9
13,34926,1030667,684,38875,0,0,81493444,92023356,39.95,5.97,166016104,128.9
14,31960,1021247,323,24472,608,311296,125275789,114926688,39.82,5.77,155658427,128.8
15,154763,1166470,4326,61303,0,0,167146569,161642362,39.91,6.02,239362239,128.8
16,43082,695639,749,44572,0,0,115239985,92712918,39.92,5.94,130764099,128.8
17,101579,1005465,898,57222,0,0,143844790,190060290,39.85,5.96,206686001,128.8
18,44129,790868,531,48597,0,0,168897973,140290610,39.88,5.8,190257213,128.8
19,21884,795781,300,33797,608,311296,139868631,131492101,39.9,5.67,157745949,128.7
20,136181,1194580,7131,23297,0,0,170956424,151458228,39.97,5.94,213941728,128.7
21,57983,816943,1665,45505,0,0,137720366,137008630,40.03,6.01,178603959,128.7
22,36269,942609,1273,47193,12432,6365184,162452881,144787961,40.01,5.86,183138135,128.7
23,20848,764407,714,39287,0,0,130841526,123747477,39.95,5.75,155397965,128.7
24,27422,901899,2542,37966,384,196608,130644148,131485616,40.02,5.81,166084844,128.7
25,203209,1239112,5005,59234,56,28672,199013167,221053034,40.03,5.99,239304087,128.7
26,48386,1002459,1693,79599,0,0,160473944,164695562,39.97,5.85,208900306,128.7
27,23964,844769,1205,47306,0,0,134944356,115238294,40.03,5.75,148688330,128.7
28,37414,983455,872,43469,0,0,104878584,106288644,40.07,5.74,147962471,128.7
29,14157,822834,751,29239,384,196608,120763024,105908717,40.03,5.71,130378954,128.7
30,154505,1274029,9719,71297,0,0,200461282,207321518,40.06,5.89,218072490,128.6
31,49981,927877,1328,63287,0,0,157259590,134242422,40.01,5.81,191452346,128.7
32,22152,619584,440,22033,0,0,128317172,107601654,40.0,5.72,139279444,128.7
33,30257,812587,676,47145,0,0,159781104,139436009,40.06,5.74,174736757,128.7
34,25075,800590,617,37240,47024,24076288,144160770,121390875,40.03,5.77,155360432,128.6
35,148222,1325906,13509,73872,0,0,173699793,188496155,40.03,5.96,253661444,128.6
36,44146,794045,1001,32185,0,0,117175572,98812680,40.08,5.9,134737266,128.7
37,29832,683037,67,44764,0,0,100755337,107669523,40.03,5.75,139526260,128.7
38,29296,929049,105,35857,0,0,143166190,142147605,40.08,5.73,172551293,128.7
39,29235,974868,119,38025,440,225280,152895783,134578122,40.12,5.77,173306202,128.7
40,167536,1268697,7245,64687,0,0,150296303,182817002,40.1,5.97,209492975,128.7
41,33458,860082,914,43724,0,0,93619444,86996672,40.02,5.84,136943688,128.8
42,26050,898095,677,57752,0,0,113403045,120813852,40.04,5.76,190325849,128.8
43,29814,627169,156,23631,0,0,69985958,77373514,40.0,5.75,110818631,128.8
44,20272,975060,36,34418,216,110592,113878530,114696247,40.05,5.71,169401557,128.7
45,157190,1157032,364,20430,0,0,171932209,185294843,40.06,6.0,202921123,128.7
46,43642,1031768,421,39944,0,0,125143721,144152446,39.98,5.81,201932395,128.7
47,21799,808423,212,19419,0,0,104827209,110968275,39.95,5.73,127282103,128.8
48,14380,753563,298,10124,0,0,111790911,95530767,39.9,5.7,128059966,128.7
49,29485,1023400,1275,40681,216,110592,110770994,133628043,39.94,5.7,176187648,128.7
50,148622,984421,8791,61925,0,0,207498936,209938351,39.9,6.02,221294855,128.7
51,36612,868370,985,32111,0,0,100417810,100881030,39.9,5.86,166064984,128.7
52,24660,628226,565,55703,0,0,124516229,98810872,39.87,5.73,127877944,128.7
53,19867,904480,443,61575,0,0,142633470,126333913,39.87,5.63,174360671,128.7
54,12060,683026,378,37036,216,110592,84817622,93206063,39.92,5.65,123343406,128.6
55,185168,1226083,9983,80061,0,0,219018230,221950088,40.03,5.96,282621764,128.6
56,37074,919016,85,23733,0,0,137741297,124606943,39.95,5.81,154336049,128.7
57,26259,906010,295,33692,0,0,135199346,112475085,39.93,5.7,151806184,128.8
58,18013,673194,75,18922,0,0,122966598,99870353,39.96,5.68,129934548,128.8
