,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,1012706,575572713,4105553,23631513,0,0,87115353787,111272698710,87503662696,173.27,15.02,243.5
1,854562,576136817,3744586,21567488,936,479232,89762200032,114117964098,89854847667,173.55,15.02,244.0
2,574577,572634152,3998488,22615811,0,0,89854062412,115005129827,89903408710,173.67,14.99,244.3
3,962908,582590141,3967621,23303470,30680,15708160,89664548858,114705967771,89802525933,174.06,15.01,244.7
4,1032005,570306254,4218473,20660649,0,0,89872478281,114993428516,89996866893,174.04,15.0,245.0
5,905636,577753373,3786877,22093438,392,200704,90570136196,115908130877,90705440792,174.15,15.0,245.4
6,1159593,708405796,5180384,27120569,48,24576,110916189721,142057987734,111139137564,174.21,15.01,245.8
7,829902,575662866,4236583,22384990,0,0,90293170773,116454844167,90355526756,174.26,15.01,246.1
8,1078164,553284991,4214323,21979388,0,0,90524990961,116110005361,90614351918,174.67,15.02,246.5
9,1962716,565912210,4488630,20890844,0,0,91175480251,115920468889,91349802145,175.31,15.19,246.8
10,620289,561824119,4173724,22857259,168,86016,89338827823,115552263333,89410168715,174.42,14.99,247.1
11,962874,548169006,4083982,21641469,48,24576,89660428481,115730488861,89720346028,174.62,15.02,247.6
12,769642,557636597,3879195,21580806,0,0,89902502116,115520415061,89993725558,174.6,15.01,247.8
13,964496,688305704,4812135,29935956,0,0,108988371160,140911467709,109090724159,174.28,14.99,259.2
14,811212,542016933,3758092,21027974,0,0,87870359816,112991373021,87974321987,174.49,14.97,251.6
15,710559,551758464,3699603,22339186,19208,9834496,88188350250,113468381905,88288597066,174.73,14.97,244.4
16,900425,531854937,4030180,20845283,9840,5038080,88604492010,114432696421,88735554159,174.68,15.01,249.7
17,534223,546329137,3422844,21018094,0,0,88642249682,114393512400,88685175699,174.96,15.01,249.7
18,973137,684774568,5178404,29228206,94552,48410624,110180419217,142326935142,110308508649,174.81,14.92,249.9
19,708466,551718315,3497639,21580442,0,0,88454062964,114465808940,88498068321,174.96,14.98,258.8
20,749210,550868298,3948371,22380808,336,172032,88327324882,114194916615,88398310962,175.06,14.96,245.5
21,833764,547689863,3940507,22269700,48,24576,88460282035,114154263460,88516141087,174.94,14.99,250.8
22,793581,555661819,4066726,22002946,0,0,88522901634,114514767105,88623879758,174.9,14.98,259.6
23,781987,560450240,3682050,22106644,0,0,89630451082,115691102170,89708577221,174.99,14.99,244.8
24,957908,701637236,4917935,27145380,0,0,111221584231,143922903224,111307200435,174.94,14.97,251.1
25,637025,541994959,3650674,21355991,0,0,87569698152,113008415863,87640521963,175.07,14.95,251.0
26,811461,544481651,4197933,23015824,216,110592,88113720262,113754414821,88200212769,175.0,15.0,251.1
27,787180,550066543,3664519,20551569,0,0,88315211116,113487528767,88423782054,174.95,15.0,251.2
28,765107,555606495,3963321,23200079,0,0,88866443343,114866107611,88910191883,175.05,14.96,261.2
29,803928,686943608,4677488,28321605,0,0,109614841384,141905792675,109691326020,175.03,15.0,254.4
30,802842,546583049,3967401,22258698,0,0,88135054196,113869010602,88180904402,174.98,14.97,246.4
31,940673,558135122,4034355,20203119,160,81920,88822304938,114361575026,88921631544,175.08,15.03,259.6
32,855370,539704982,3966389,22909410,6608,3383296,88876212839,114756616718,88954772940,175.04,15.02,254.1
33,411288,541875911,3670556,20070480,0,0,87863409434,113522974758,87919134092,174.99,14.96,254.1
34,1029271,695979556,4652060,27767294,0,0,110116309759,142094882771,110256142137,174.91,14.96,254.2
35,676793,564081087,3880339,22831210,0,0,89672110010,115982443015,89744177172,175.1,14.98,254.2
36,989746,544115117,4079376,21386075,160,81920,88170314366,113642103050,88236756659,175.12,15.05,247.5
37,781899,551817044,3965681,23931409,0,0,88353198960,114068211669,88436155074,175.16,15.01,261.4
38,823192,558920159,3995458,21653916,0,0,88582206165,114545570106,88645830016,175.15,15.0,254.7
39,724025,553600131,3693039,22071362,0,0,87974113737,113455774800,88035135217,175.29,14.93,246.4
40,906506,683133552,4793485,25484695,0,0,110032684549,141866417655,110117287348,175.27,14.95,261.2
41,747320,547753705,3919370,21031135,160,81920,87805471748,113195471526,87885949600,175.27,14.99,254.7
42,653857,550516307,3934134,22165295,0,0,87952067332,113466002472,88016805904,175.22,14.97,245.9
43,753465,555329718,3661472,22016520,0,0,88025603337,113710939490,88088975139,175.14,14.99,261.8
44,851905,684548106,4702039,26593570,0,0,109808404279,141813498901,109879971244,175.36,15.0,255.1
45,802724,550634550,3919360,22402305,0,0,87804929014,113113326937,87878847043,175.29,14.98,255.0
46,847208,560738703,3921682,22563539,160,81920,88407154755,114352901164,88512084703,175.41,15.04,255.0
47,824528,541240576,3836486,21377588,0,0,88384618588,113800684127,88492412853,175.38,14.98,254.9
48,610317,554507317,3604873,19859111,0,0,88146315803,114029728658,88229156672,175.27,14.96,255.0
49,938488,685989295,4764892,27317778,184248,94334976,109751800525,141401710040,109814277336,175.38,14.94,255.1
50,378825,544119825,3773178,20107723,0,0,87662742795,113342350023,87710619112,175.28,14.97,255.1
51,1004471,555592853,3921589,21634825,272,139264,89128297312,114760165931,89234627401,175.53,15.05,255.1
52,832343,546018206,4215588,21536667,0,0,88730422558,114479055424,88846078976,175.39,15.06,255.2
53,741911,565395326,3687822,21984698,0,0,88031139031,113816203002,88139571788,175.42,15.01,255.3
54,922802,668692851,4751518,27173258,56,28672,109737468481,141755806169,109821661638,175.46,14.98,255.3
55,771854,557844600,3934500,21198638,0,0,88868367259,114367984639,88954987908,175.55,15.0,255.3
56,1040570,556109210,4077376,24311947,160,81920,88546199937,114242182760,88665173322,175.58,15.05,255.3
57,487862,544962553,3682855,20419568,0,0,88077424164,113879992158,88126982874,175.32,14.99,255.4
58,816223,545130237,3830860,23185664,0,0,87860405747,113532600712,87948547837,175.44,14.96,255.4
59,744944,551043457,3690186,20754031,0,0,88497022467,114065256576,88561827616,175.33,14.98,255.3
60,925233,687737104,5027988,26225439,0,0,111331213298,143460784275,111437991372,175.46,15.0,255.4
61,897376,554884520,3962923,22932895,160,81920,88634400770,114156778129,88715459363,175.38,15.06,255.4
62,804168,542027873,3970228,21707220,0,0,89264932887,114870961911,89332604457,175.47,15.05,248.5
63,732532,549444144,3832899,21091362,0,0,89191186179,114850928995,89243948101,175.39,14.99,262.0
64,579251,538481541,3955223,21915982,0,0,88665335039,114433566861,88734482503,175.34,15.04,255.7
65,595377,556432292,3489514,21559652,0,0,87978994404,113709375304,88037551237,175.34,14.98,255.6
66,1506944,678477215,5312875,28334352,216,110592,110309437447,141664942192,110483732836,175.58,15.11,255.6
67,854031,556580225,4172841,22493411,0,0,89966803167,115597705631,90010105251,175.4,15.02,255.6
68,710541,542643102,3806609,23015351,0,0,88049380180,113756812696,88099695246,175.4,15.04,255.6
69,738462,560039779,3928349,23601093,126056,64540672,90098963339,116226818306,90150105022,175.46,15.06,255.6
