,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,166965,1564842,5693,55971,0,0,220671258,241400415,341918909,25.45,5.7,115.7
1,65161,1690716,6401,82608,3464,1773568,292978590,305084826,403025604,23.02,5.48,101.0
2,204567,2589909,16121,94155,0,0,357282407,415016923,509682264,23.78,5.65,95.9
3,67589,1940123,11980,76137,0,0,344559985,346956499,438831355,22.71,5.5,96.1
4,197302,2116410,18769,87339,0,0,337383965,345328118,440658222,23.17,5.72,95.9
5,172999,1716706,21120,93812,280,143360,325129990,344847722,436913102,23.22,5.64,96.0
6,239193,2220757,32640,120747,1504,770048,446316476,566142817,588679715,23.64,5.78,96.1
7,260990,2243370,24267,118633,0,0,461509331,519758837,573540873,23.22,5.66,96.2
8,38185,1721898,38050,111851,21336,10924032,291052836,370197517,424603466,23.08,5.63,96.3
9,352816,2715815,50434,175650,0,0,623255728,741198273,688461856,30.64,6.22,96.2
10,511469,3265892,33548,153645,1344,688128,609475286,765143944,816459295,28.08,6.05,112.4
11,324998,2982098,30468,161674,2344,1200128,560915048,653712414,766729460,27.08,6.22,106.9
12,503056,2391007,48458,158737,0,0,549925993,702420779,659920705,37.92,6.58,106.6
13,261949,3931374,84587,196590,0,0,742209653,957671432,973307440,26.57,5.88,127.2
14,399543,2366480,63434,160652,0,0,556111329,710107663,655995412,36.5,6.68,103.5
15,510480,3643618,33380,107819,0,0,699736901,893390303,871535555,31.29,6.01,124.2
16,197371,2679111,22674,105573,1000,512000,626183005,731396482,737697780,26.83,5.92,113.5
17,329143,2794079,71372,304950,0,0,808043575,985354126,973326644,25.87,6.01,104.3
18,422024,2268994,43301,191454,0,0,674392619,856653334,841830055,26.53,6.11,103.9
19,397243,2743646,47307,147834,0,0,643538422,946102015,888838811,40.34,6.89,103.9
20,606695,3045220,37952,278596,0,0,780063067,962214313,882469645,40.12,6.43,131.9
21,314879,2501810,82737,207415,1560,798720,827726040,1043689712,901152472,39.85,6.18,131.7
22,403563,2796468,57253,225671,0,0,795691533,999595176,922771402,39.83,6.11,131.4
23,403035,2894375,122978,195086,0,0,845761898,1109534133,976085938,39.86,6.06,131.2
24,382587,2891844,121544,109813,0,0,811415969,1013847354,887694655,39.89,6.2,131.0
25,414662,2682791,110202,189664,0,0,615979307,796944383,735996682,39.83,5.93,130.8
26,631144,3442010,29413,115433,328,167936,1107714291,1413540104,1235303064,39.94,6.26,130.6
27,254985,2390934,228765,65931,0,0,656549644,807453854,685272812,39.96,6.19,130.5
