,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,pkg_pwr,ram_pwr,ref-cycles,power
0,169887,1578665,5693,55971,0,0,223665294,244263294,25.45,5.7,345748800,115.7
1,67969,1709834,6401,82608,3464,1773568,296340673,308257946,23.02,5.48,407119397,101.0
2,208237,2603688,16121,94155,0,0,359854090,416873966,23.78,5.65,513197446,95.9
3,74650,1956045,11980,76137,0,0,352794635,362000069,22.71,5.5,447720027,96.1
4,203354,2135048,18769,87339,0,0,340949802,347759497,23.17,5.72,445654259,95.9
5,177826,1731917,21120,93812,280,143360,327745370,347646354,23.22,5.64,440387965,96.0
6,242597,2232569,32640,120747,1504,770048,447219128,567323750,23.64,5.78,592045903,96.1
7,268537,2259327,24267,118633,0,0,462209994,520621648,23.22,5.66,577495884,96.2
8,41179,1731430,38050,111851,21336,10924032,291461867,370660691,23.08,5.63,427270293,96.3
9,362807,2745683,50434,175650,0,0,624282869,743590026,30.64,6.22,694359378,96.2
10,514952,3286738,33548,153645,1344,688128,610375368,768206772,28.08,6.05,821113276,112.4
11,331558,3027855,30468,161674,2344,1200128,562649352,661312674,27.08,6.22,775347468,106.9
12,510236,2461251,48458,158737,0,0,553341425,718933627,37.92,6.58,672381669,106.6
13,267712,3954158,84587,196590,0,0,743467274,959811983,26.57,5.88,976269679,127.2
14,408029,2463023,63434,160652,0,0,558917214,731252192,36.5,6.68,671097396,103.5
15,516027,3667731,33380,107819,0,0,700760135,896758290,31.29,6.01,874780625,124.2
16,200927,2696904,22674,105573,1000,512000,627031312,732444094,26.83,5.92,739611541,113.5
17,337829,2811733,71372,304950,0,0,809177144,986172348,25.87,6.01,974936506,104.3
18,425244,2280050,43301,191454,0,0,675087438,857663622,26.53,6.11,843186572,103.9
19,407399,2867936,47307,147834,0,0,652055691,987149733,40.34,6.89,913305084,103.9
20,610379,3104961,37952,278596,0,0,781744020,974917182,40.12,6.43,891471408,131.9
