,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,thread-count,pkg_pwr,ram_pwr,power
0,33440048032692,345801481268761,7487297931960,45001649721532,0,0,64215074505106966,44877477958509840,64611277695716164,301,195.33,18.77,276.0
1,31884696961404,329717691442307,7139051516520,42908549734484,91306194,46748771328,61228326853706642,42790153402300080,61606101988938668,287,191.17,18.52,275.5
2,38328294256740,396350535009045,8581786666200,51579963966540,0,0,73601995695222270,51437640849454800,74056115631302580,345,184.07,18.79,276.0
3,40105838338212,414732009096421,8979782569560,53972078237452,45653097,23374385664,77015421582536926,53823154627980240,77490602153334004,361,182.74,17.73,276.7
4,33551144537784,346950323399222,7512172675920,45151156863464,13043742,6678395904,64428413623064132,45026572569667680,64825933103343128,302,186.79,18.38,276.9
5,42549961450236,440006535966563,9527026936680,57261235359956,0,0,81708882177594578,57103236073452720,82213021121127212,383,184.65,17.3,270.3
6,33217855022508,343503797007839,7437548444040,44702635437668,45653097,23374385664,63788396269192634,44579288736194160,64181966880462236,299,195.06,18.33,269.8
7,40772417368764,421625061879187,9129031033320,54869121089044,0,0,78295456290279922,54717722294927280,78778534599095788,367,197.15,18.11,270.1
8,40328031348396,417029693357343,9029532057480,54271092521316,0,0,77442099818451258,54121343850295920,77919912968587932,363,193.71,18.31,270.0
9,41105706884040,425071588270570,9203655265200,55317642514840,0,0,78935473644151420,55165006128400800,79422500821976680,370,193.82,18.27,282.1
10,35884171144716,371076008138903,8034542299080,48290806844036,0,0,68908535100164618,48157559403982320,69333696663509372,323,191.86,17.95,282.5
11,40772417368764,421625061879187,9129031033320,54869121089044,0,0,78295456290279922,54717722294927280,78778534599095788,367,188.27,18.18,282.6
12,40105838338212,414732009096421,8979782569560,53972078237452,39131226,20035187712,77015421582536926,53823154627980240,77490602153334004,361,187.5,18.08,282.5
13,39217066297476,405541272052733,8780784617880,52776021101996,0,0,75308708638879598,52630397738717520,75773358892318292,353,184.05,18.13,282.1
14,38772680277108,400945903530889,8681285642040,52177992534268,0,0,74455352167050934,52034019294086160,74914737261810436,349,186.69,18.12,275.3
15,45327374077536,468727589228088,10148895535680,60998913908256,0,0,87042360126523728,60830601352398720,87579406311801312,408,189.0,18.48,275.1
16,40216934843304,415880851226882,9004657313520,54121585379384,0,0,77228760700494092,53972249239138080,77705257560960968,362,199.16,17.97,269.8
17,40328031348396,417029693357343,9029532057480,54271092521316,39131226,20035187712,77442099818451258,54121343850295920,77919912968587932,363,194.33,18.68,270.2
18,40328031348396,417029693357343,9029532057480,54271092521316,0,0,77442099818451258,54121343850295920,77919912968587932,363,194.9,18.13,270.8
19,41105706884040,425071588270570,9203655265200,55317642514840,0,0,78935473644151420,55165006128400800,79422500821976680,370,192.22,18.18,287.6
20,40883513873856,422773904009648,9153905777280,55018628230976,0,0,78508795408237088,54866816906085120,78993190006722752,368,191.19,18.22,287.1
21,40883513873856,422773904009648,9153905777280,55018628230976,0,0,78508795408237088,54866816906085120,78993190006722752,368,189.25,18.84,286.7
22,33440048032692,345801481268761,7487297931960,45001649721532,32609355,16695989760,64215074505106966,44877477958509840,64611277695716164,301,187.77,18.95,280.5
23,40216934843304,415880851226882,9004657313520,54121585379384,0,0,77228760700494092,53972249239138080,77705257560960968,362,189.09,19.03,280.3
24,44882988057168,464132220706244,10049396559840,60400885340528,0,0,86189003654695064,60234222907767360,86720784681293456,404,194.09,18.63,279.9
25,39772548822936,411285482705038,8905158337680,53523556811656,0,0,76375404228665428,53375870794506720,76846635930453112,358,198.04,17.54,279.5
26,40439127853488,418178535487804,9054406801440,54420599663248,0,0,77655438936408424,54270438461453760,78134568376214896,364,191.26,18.77,279.3
27,39661452317844,410136640574577,8880283593720,53374049669724,32609355,16695989760,76162065110708262,53226776183348880,76631980522826148,357,196.65,18.84,279.5
28,41550092904408,429666956792414,9303154241040,55915671082568,0,0,79788830115980084,55761384573032160,80281122452484536,374,191.26,17.83,287.5
29,42883250965512,443453062357946,9601651168560,57709756785752,0,0,82348899531466076,57550519906926240,82856987344008104,386,188.77,18.03,279.9
30,41105706884040,425071588270570,9203655265200,55317642514840,0,0,78935473644151420,55165006128400800,79422500821976680,370,184.75,17.77,286.7
31,41438996399316,428518114661953,9278279497080,55766163940636,0,0,79575490998022918,55612289961874320,80066467044857572,373,187.56,18.18,280.4
32,40883513873856,422773904009648,9153905777280,55018628230976,26087484,13356791808,78508795408237088,54866816906085120,78993190006722752,368,186.96,18.41,280.2
33,38661583772016,399797061400428,8656410898080,52028485392336,26087484,13356791808,74242013049093768,51884924682928320,74700081854183472,348,186.48,18.11,270.8
34,45882856602996,474471799880393,10273269255480,61746449617916,32609355,16695989760,88109055716309558,61576074408187920,88652683349936132,413,192.82,18.24,271.4
35,38661583772016,399797061400428,8656410898080,52028485392336,19565613,10017593856,74242013049093768,51884924682928320,74700081854183472,348,196.54,18.15,271.9
36,41105706884040,425071588270570,9203655265200,55317642514840,19565613,10017593856,78935473644151420,55165006128400800,79422500821976680,370,193.25,18.52,272.3
37,40439127853488,418178535487804,9054406801440,54420599663248,39131226,20035187712,77655438936408424,54270438461453760,78134568376214896,364,194.55,18.45,279.6
38,40772417368764,421625061879187,9129031033320,54869121089044,0,0,78295456290279922,54717722294927280,78778534599095788,367,191.4,18.16,287.8
39,39550355812752,408987798444116,8855408849760,53224542527792,6521871,3339197952,75948725992751096,53077681572191040,76417325115199184,356,190.46,18.76,282.0
40,40883513873856,422773904009648,9153905777280,55018628230976,0,0,78508795408237088,54866816906085120,78993190006722752,368,189.17,18.43,282.5
41,40883513873856,422773904009648,9153905777280,55018628230976,0,0,78508795408237088,54866816906085120,78993190006722752,368,187.41,18.96,282.2
42,38661583772016,399797061400428,8656410898080,52028485392336,39131226,20035187712,74242013049093768,51884924682928320,74700081854183472,348,184.88,17.85,281.9
43,45660663592812,472174115619471,10223519767560,61447435334052,0,0,87682377480395226,61277885185872240,88223372534682204,411,196.17,18.68,281.7
44,40883513873856,422773904009648,9153905777280,55018628230976,0,0,78508795408237088,54866816906085120,78993190006722752,368,195.84,18.22,275.3
