,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,93139,596150,938,4708,0,0,310320863,773547998,378476660,62.78,12.11,142.9
1,172496,1166348,8116,75409,3304,1691648,498067745,1387452172,702870567,61.23,11.98,112.9
2,93149,657756,902,33708,9632,4931584,349758028,998317188,479283527,62.39,12.24,113.2
3,88438,858572,974,26360,1224,626688,548473841,1427179308,702521439,64.57,12.29,113.7
4,97406,903722,348,48843,0,0,600543325,1336622569,684189795,91.67,13.57,114.2
5,59451,660886,1082,20038,0,0,395745000,1148951900,546441310,60.82,11.94,114.6
6,19011,396671,472,31169,0,0,371178660,897638340,399801994,61.78,12.04,124.2
7,59399,507327,498,8936,18768,9609216,350080784,1059611811,465293186,60.35,11.82,147.4
8,3265,234621,710,9185,664,339968,228163344,797202253,339471424,60.14,11.64,116.5
9,189994,997895,4834,102960,56,28672,443766796,939194157,582287217,61.64,12.04,116.5
10,135342,809657,5341,86966,288,147456,440882157,992328149,560169030,60.19,11.89,116.4
11,37680,442963,2069,14161,48,24576,281461363,591917905,393070303,60.91,11.94,116.2
12,11519,591618,1100,26076,17960,9195520,425595869,711083755,459603466,59.95,11.9,116.4
13,51080,257936,632,11143,3464,1773568,248390097,512311926,340751826,59.99,11.84,116.2
14,47078,1117069,5481,50764,0,0,620311284,1191910691,683544140,74.63,12.92,116.2
15,47556,838424,9581,42544,0,0,1570718601,1994902404,1620638517,98.9,13.06,116.2
16,12201060,13583212,10101,26196,0,0,4101642838,3441878248,4150853562,104.67,13.94,116.0
17,16689,259049,1593,12081,16920,8663040,35721075348,37003306801,36355427232,127.94,12.2,134.1
18,69375107,167956375,8746469,14943623,832,425984,72425992207,77958697272,73144577835,152.71,17.3,157.6
19,223787108,481307476,31002398,39088927,0,0,98483426746,100555853733,98598561230,180.23,24.66,164.8
20,222631013,475545019,35787695,38691614,0,0,98493741054,99077514357,98509204785,180.2,24.78,190.3
21,89658678,212529712,10405830,10999889,336,172032,80314545927,72868735465,81097408102,166.58,19.32,234.0
22,26770231,83646149,570833,642072,14448,7397376,107998506716,84499848354,108125975004,172.57,16.76,268.1
23,26479043,82785334,709594,827883,1056,540672,107948432203,84449287414,108021456332,172.53,16.71,268.0
24,26282280,82479179,550749,650625,0,0,107640230535,84223852639,107673990423,172.64,16.72,244.2
25,26711742,82729011,632428,728012,0,0,107313610297,83952680708,107360969011,172.75,16.74,243.6
26,27359791,84487744,708592,739425,0,0,108323116538,84732106718,108404215927,172.75,16.78,243.9
27,26567560,82672512,644419,638240,12824,6565888,106717227998,83473042352,106776042107,172.63,16.76,244.2
28,26751506,83450790,686390,760015,440,225280,108223499725,84597857306,108263207544,172.7,16.75,244.4
29,27430519,84829606,663901,702332,0,0,109579584577,85900390231,109751770641,172.73,16.79,244.7
30,27343278,83927199,593307,681411,392,200704,108391138957,84786243210,108457413365,172.75,16.8,244.9
31,17492136,61694182,478736,1149932,56,28672,67258370322,54505429720,67391117745,142.6,16.13,245.2
32,165667473,373291364,18750339,32150485,13552,6938624,76303656644,82284901357,76626470853,181.64,24.75,245.5
33,306027627,597709731,22842016,36785100,1448,741376,113586370836,102789574440,113621367143,177.45,25.22,245.8
34,32608540,91353836,773951,1028467,0,0,88727578737,70916678458,89197434273,166.94,16.82,212.6
35,34476279,94197105,472912,491313,4200,2150400,107559918967,83718046748,107565117243,173.11,17.06,277.2
36,50284382,109442775,432065,504829,112,57344,108323404157,83807777104,108464885388,173.61,17.69,269.5
37,38541399,99293069,494960,549996,14128,7233536,110170446768,85858870268,110218627562,173.3,17.06,235.1
38,34740974,94403156,437977,590038,1000,512000,105212655356,82049701456,105250884982,173.3,17.06,249.4
39,36545287,95972335,493275,630427,0,0,105928855577,82638517686,105994007979,173.35,17.0,249.5
40,39805615,106384406,508625,686296,0,0,119668914178,93392478694,119793805174,173.34,17.03,249.5
41,29611165,77825017,358368,453490,392,200704,86937169090,67814362919,86991074254,173.46,17.07,249.5
42,38627727,100567021,483223,560004,0,0,111055399194,86715684931,111088397128,173.39,17.03,249.5
43,35724672,95139095,457199,496268,14488,7417856,107476290785,83870035426,107574279486,173.37,17.04,249.6
