,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,31864,390357,1303,12356,0,0,220090034,488497323,238086492,62.86,12.32,138.5
1,48571,522291,8354,18381,11920,6103040,293111515,783560409,383306462,60.62,11.83,114.0
2,12317,295750,3085,2618,0,0,173055793,488378918,232671288,60.31,11.82,113.7
3,42373,646433,13053,41234,0,0,299630382,714147912,369849358,60.6,11.93,114.3
4,42004,556661,1269,29239,392,200704,247320756,569770564,292957956,61.05,12.05,114.5
5,203450,14393412,16303,2705368,0,0,2601953690,3482604539,2697817991,79.24,13.16,114.7
6,2008501,72356789,1311529,10899117,1392,712704,9942839907,13759052971,10018610010,114.86,14.77,114.9
7,3017634,102076226,2164495,10307067,392,200704,11864701673,17295736532,11902664523,123.64,15.23,115.0
8,8820296,156407585,3846533,12922278,560,286720,14834040430,22793763547,14921666729,123.97,15.98,115.4
9,4019280,89527175,2209618,10775501,0,0,11673220883,16839501678,11832530641,122.85,15.42,168.9
10,13537001,222244591,6179168,22773601,2800,1433600,23392707985,34563336425,23445881626,133.67,16.5,186.8
11,9631982,137940427,3789934,10129284,3088,1581056,14665635932,22941242913,14683961417,127.03,16.3,186.6
12,2859178,91156216,1808385,9596517,119480,61173760,11555661679,17932599150,11639021366,119.73,15.12,186.3
13,5995317,53611205,2535824,16473706,1792,917504,7041451034,6631396167,7364231836,116.01,15.25,195.6
14,73979562,583297992,20438121,93365099,4736,2424832,61251336681,44785959941,61798480568,169.78,19.39,202.2
15,32371075,358053605,13913388,46712519,0,0,40510614898,28230430042,40777979631,164.0,18.53,185.7
16,16900151,238040206,11882807,38733737,0,0,29031363354,15996766928,29242555351,154.5,17.24,171.4
17,22928065,280268051,14563511,47968723,12208,6250496,33984535154,17353662515,34536330214,153.73,17.28,225.2
18,20843585,230555477,11902611,39379634,0,0,28134612583,14446917253,28409416174,153.77,17.36,245.0
